,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,10,0,3,0,2,0,4,1,1,25,33,-0.7011093727641935,False,BRONZE
1,5,10,0,2,1,1,3,3,0,1,32,48,-6.4509242244809,False,BRONZE
2,2,9,0,2,0,0,2,1,0,1,38,45,-1.4516472682616808,False,BRONZE
3,8,10,2,1,0,2,2,4,1,1,41,52,-2.3182279268648287,False,BRONZE
4,10,5,2,0,0,1,3,2,1,1,41,34,4.102332784794896,True,BRONZE
5,8,11,2,3,0,2,2,4,2,0,28,42,-5.920739921558358,False,BRONZE
6,5,7,0,1,1,1,4,3,0,2,37,39,-2.5270223439120656,False,BRONZE
7,1,8,0,3,0,2,1,3,0,1,23,32,-0.8409031350081264,False,BRONZE
8,9,1,2,0,0,1,0,3,2,0,37,24,8.200394516800863,True,BRONZE
9,7,8,1,2,1,1,3,2,1,1,47,59,-3.068909104739369,True,BRONZE
10,9,8,1,1,1,1,3,3,1,1,45,52,10.05748024426886,True,BRONZE
11,0,11,0,3,0,1,1,3,0,2,14,30,-9.057663621907885,False,BRONZE
12,6,9,0,1,0,1,0,3,0,1,18,35,-7.641514584462477,False,BRONZE
13,7,8,1,1,1,0,4,0,0,2,25,27,0.9700705724346008,True,BRONZE
14,9,3,2,0,2,0,4,3,1,0,48,42,5.282684658179718,True,BRONZE
15,10,3,3,0,1,1,4,2,0,2,46,50,2.0602255534554104,True,BRONZE
16,10,1,3,0,0,0,3,1,1,0,45,26,5.195062969326997,True,BRONZE
17,8,8,1,0,1,1,3,2,0,2,50,32,6.515828514805747,True,BRONZE
18,9,6,3,0,2,0,5,2,0,2,53,33,11.584197212071615,True,BRONZE
19,11,3,3,0,0,0,3,1,1,0,42,18,11.263379398290141,True,BRONZE
20,11,6,3,0,2,0,4,2,0,2,47,29,7.8518765322170765,True,BRONZE
21,10,3,2,0,3,0,4,2,0,1,43,38,-0.3723126818716125,True,BRONZE
22,10,0,2,0,1,0,3,0,0,2,38,9,17.120541779561936,True,BRONZE
23,9,6,1,0,1,0,1,2,0,1,35,26,11.885636577499064,True,BRONZE
24,11,3,3,0,1,0,4,1,0,0,41,33,1.629061590766689,True,BRONZE
25,11,5,3,0,1,0,3,2,0,2,49,50,3.4659846715933753,True,BRONZE
26,11,6,3,1,2,1,4,2,0,2,54,47,5.366085437659933,True,BRONZE
27,10,9,3,3,2,0,4,1,1,1,55,44,2.08994383286025,True,BRONZE
28,0,10,0,2,0,1,0,3,0,2,15,27,-5.849722926081583,False,BRONZE
29,5,9,0,2,1,1,2,5,0,1,49,56,1.8404041871280228,False,BRONZE
30,5,3,0,0,0,0,3,0,1,1,41,15,13.521821472120301,True,BRONZE
31,5,10,0,3,1,1,2,4,0,1,35,52,-4.738385064896072,False,BRONZE
32,11,1,4,0,0,0,3,1,1,1,28,16,11.72278473861978,True,BRONZE
33,10,1,1,0,0,0,3,1,1,0,32,26,1.4891971642190711,True,BRONZE
34,2,10,0,4,0,2,1,5,0,2,42,54,-6.001495762570315,False,BRONZE
35,5,2,0,0,0,0,3,1,0,1,38,17,10.784120364924402,True,BRONZE
36,9,3,2,0,0,0,2,1,1,1,40,31,7.891336244633699,True,BRONZE
37,3,11,0,3,0,2,1,4,0,1,15,49,-13.824464648573535,False,BRONZE
38,7,2,1,0,0,0,4,0,0,1,37,15,11.36090288533972,True,BRONZE
39,7,1,1,0,1,0,5,0,2,0,20,18,2.3385536672423015,True,BRONZE
40,9,10,3,1,0,3,3,5,0,1,57,54,-2.26306170286486,False,BRONZE
41,5,10,1,2,1,0,2,5,1,0,56,50,1.8126573004876292,False,BRONZE
