,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,1,0,2,1,4,2,0,21,34,-8.915326917520403,False,SILVER
1,0,11,0,4,0,1,1,3,0,2,16,34,-9.802444999570355,False,SILVER
2,11,3,3,0,1,0,4,1,1,1,47,28,10.19545868385405,True,SILVER
3,5,8,0,1,0,1,3,3,2,0,39,52,-4.999071482563494,False,SILVER
4,4,9,0,2,1,1,2,3,0,1,25,34,-3.16892003748616,False,SILVER
5,11,4,3,0,0,0,1,3,2,0,32,29,0.9157038217585054,True,SILVER
6,7,2,1,0,0,0,4,0,1,0,36,14,15.007535429148412,True,SILVER
7,2,10,0,3,1,0,1,4,0,2,34,49,-5.47879011503197,False,SILVER
8,3,11,0,4,0,2,1,4,1,1,46,50,-1.3083891286832738,False,SILVER
9,0,9,0,1,0,1,2,2,0,2,14,30,-6.932343128083318,False,SILVER
10,9,3,1,0,1,0,2,2,1,0,40,35,5.12639561623844,True,SILVER
11,8,5,1,0,0,0,1,1,1,1,34,17,12.33399207145812,True,SILVER
12,6,2,0,0,0,0,3,0,2,0,26,13,8.330134069343728,True,SILVER
13,3,11,0,4,0,1,1,4,0,1,10,31,-10.605048741717887,False,SILVER
14,10,0,2,0,1,0,4,0,2,0,27,12,12.821442198355726,True,SILVER
15,11,3,3,0,1,0,2,3,0,1,46,18,12.358384493451396,True,SILVER
16,5,11,0,3,0,1,1,3,2,0,26,38,-6.887685964191284,False,SILVER
17,3,6,0,0,0,0,2,1,0,1,26,45,-7.0032551055167005,False,SILVER
18,2,11,0,3,0,1,1,4,1,1,29,34,-1.4036638465858644,False,SILVER
19,9,3,2,0,1,0,1,2,0,1,23,13,10.090880390384982,True,SILVER
20,5,11,1,3,0,2,2,3,1,1,26,42,-8.384396193295444,False,SILVER
21,10,7,2,2,1,1,1,3,1,1,35,60,-8.827183191286139,False,SILVER
22,8,1,1,0,0,0,3,0,1,0,37,14,12.438297631201607,True,SILVER
23,4,10,0,2,0,0,2,3,2,0,21,45,-14.01184395238284,False,SILVER
24,10,8,6,1,2,0,3,4,1,1,55,51,0.868012859940194,False,SILVER
25,2,10,0,2,0,1,1,3,1,0,22,47,-8.86529501396705,False,SILVER
26,11,9,4,1,2,0,1,4,0,1,50,33,1.6887399014360653,True,SILVER
27,10,4,2,0,0,1,3,2,1,0,47,33,2.805083993040867,True,SILVER
28,4,2,0,0,0,0,1,2,1,0,30,12,10.74406879821548,True,SILVER
29,2,7,0,1,0,1,1,2,0,2,24,36,-9.427372140976566,False,SILVER
30,7,6,1,0,1,0,1,3,0,1,50,43,5.275898964260605,True,SILVER
31,1,7,0,1,0,1,0,3,2,0,12,30,-15.528687313535382,False,SILVER
32,11,2,1,0,1,0,3,0,2,0,23,9,8.665160471474167,True,SILVER
33,10,1,2,0,0,0,3,0,2,0,45,17,12.813480072279013,True,SILVER
34,10,4,2,0,1,0,4,0,0,2,38,34,2.9163098416561937,True,SILVER
35,3,11,0,2,0,1,2,3,1,1,11,25,-10.863142280479146,False,SILVER
36,0,10,0,2,0,1,0,4,0,2,17,40,-12.20524894597493,False,SILVER
37,0,10,0,3,0,1,0,4,0,2,17,38,-6.697518683510225,False,SILVER
38,8,3,1,0,1,0,4,0,0,0,28,17,8.450454259772528,True,SILVER
39,6,8,1,1,0,1,3,2,0,2,28,31,2.5610337292661782,False,SILVER
