,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,1,3,1,1,34,41,-5.641878032792924,False,GOLD
1,2,11,0,3,0,1,0,4,1,0,17,28,-13.655976965495064,False,GOLD
2,10,2,2,0,1,0,3,0,1,0,40,24,10.496278496801708,True,GOLD
3,6,9,0,2,0,1,0,5,0,1,35,46,-0.5288574624653606,False,GOLD
4,8,3,1,0,0,0,4,0,0,1,38,19,8.750868380217092,True,GOLD
5,1,8,0,2,0,1,0,4,0,1,25,40,-11.814736020559,False,GOLD
6,10,3,2,0,1,1,2,2,2,0,35,17,9.017407382043231,True,GOLD
7,11,9,2,1,1,1,4,2,0,1,39,42,-0.5793222773104674,True,GOLD
8,4,10,1,2,0,1,2,2,0,0,19,45,-12.13845511699462,False,GOLD
9,7,7,1,1,0,2,2,3,1,1,32,39,-1.0126719145718113,True,GOLD
10,7,3,1,0,1,0,1,2,0,1,34,28,3.057101905189576,True,GOLD
11,0,9,0,2,0,1,0,3,0,2,11,29,-11.859638680945611,False,GOLD
12,6,9,2,2,0,1,0,4,1,0,54,43,0.43264558287598476,False,GOLD
13,8,0,1,0,1,0,2,0,1,0,33,23,7.38061470591952,True,GOLD
14,11,2,3,0,1,0,2,2,2,0,31,19,7.073323704816431,True,GOLD
15,8,9,2,1,0,1,2,3,0,2,55,38,4.206665826756328,True,GOLD
16,9,9,4,2,2,0,4,1,0,1,53,38,8.377296241419636,True,GOLD
17,0,10,0,2,0,1,0,4,0,2,19,34,-9.88563176467266,False,GOLD
18,10,3,2,0,2,0,3,3,2,0,53,36,4.069763658184812,True,GOLD
19,11,5,5,0,2,0,3,2,0,1,42,32,3.828287168857564,True,GOLD
20,0,11,0,3,0,1,0,3,0,1,20,41,-14.326812320519718,False,GOLD
21,10,6,3,0,3,0,3,3,0,1,51,45,1.736326775106626,True,GOLD
22,11,2,4,0,1,0,4,1,0,1,43,36,2.1484665682488924,True,GOLD
23,11,7,5,1,3,1,4,2,0,2,74,43,9.55947563689729,True,GOLD
24,11,1,3,0,1,0,3,1,0,1,35,14,14.723755303518303,True,GOLD
25,2,11,0,3,0,1,0,4,0,1,29,50,-5.937814819251706,False,GOLD
26,6,10,1,3,0,1,2,3,0,2,42,54,-0.23889912607426567,False,GOLD
27,11,0,3,0,1,0,3,0,1,0,28,13,12.060741943038046,True,GOLD
28,9,7,1,0,2,0,3,2,1,1,41,33,4.795023076260648,True,GOLD
29,11,5,3,0,2,0,4,1,1,1,53,27,11.526387842883551,True,GOLD
30,9,1,3,0,1,0,3,0,2,0,38,8,15.89540283955764,True,GOLD
31,4,8,0,1,0,1,2,2,0,1,24,31,-7.558319353815371,False,GOLD
32,10,0,2,0,0,0,2,2,2,0,45,17,15.498932247844035,True,GOLD
33,4,10,0,2,0,1,0,4,1,1,32,52,-2.7108669166114794,False,GOLD
34,9,8,2,1,1,1,4,2,0,1,30,44,-3.590962449436013,True,GOLD
35,11,3,2,0,1,0,2,0,2,0,34,19,11.163613149015362,True,GOLD
36,3,10,0,2,1,1,1,4,0,2,29,39,-3.8427516030544027,False,GOLD
37,1,9,0,2,0,1,1,3,0,1,15,33,-7.10376266411005,False,GOLD
