,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,3,2,0,2,0,4,1,1,0,56,34,8.553911921708341,True,BRONZE
1,5,10,0,2,0,1,0,5,0,2,43,44,-0.7042900060810311,False,BRONZE
2,4,5,0,1,0,0,1,2,0,2,38,13,7.252813735106223,True,BRONZE
3,8,9,3,1,0,2,2,4,0,1,31,53,-9.69459307841997,False,BRONZE
4,4,11,0,2,1,0,3,2,0,2,47,51,-3.050025363224222,False,BRONZE
5,2,4,0,0,0,0,2,2,0,1,16,33,-12.3875118349279,False,BRONZE
6,11,0,4,0,1,0,4,0,2,0,32,30,0.681256440882386,True,BRONZE
7,1,11,0,3,0,0,1,2,0,2,11,27,-16.620726135400293,False,BRONZE
8,5,9,0,2,0,1,2,4,0,1,30,47,-7.45954467837273,False,BRONZE
9,2,2,2,3,0,0,0,0,0,0,68,53,0.9329037784710081,True,BRONZE
10,2,4,1,1,0,0,0,0,0,0,62,71,-6.737597409181792,False,BRONZE
11,4,2,2,1,0,0,0,0,0,0,71,65,0.5973585016085465,True,BRONZE
12,7,8,1,2,0,1,1,3,0,2,59,49,2.036974112497255,True,BRONZE
13,8,3,1,0,0,1,3,1,0,0,47,35,2.156893143876651,True,BRONZE
14,7,6,1,0,1,1,2,2,2,0,40,34,5.19942714144873,True,BRONZE
15,9,7,1,1,1,1,3,3,1,0,50,51,0.08306535020364691,True,BRONZE
16,4,4,0,0,1,0,3,1,1,1,39,20,8.818381060584784,True,BRONZE
17,2,11,0,3,0,0,2,2,1,0,14,41,-12.610650393618204,False,BRONZE
18,7,5,1,0,1,0,2,2,0,1,54,33,9.264344426137392,True,BRONZE
19,9,6,2,2,1,0,4,1,0,1,42,25,2.5815296081970374,True,BRONZE
20,9,4,1,0,1,0,3,1,0,1,41,35,1.7116242031061546,True,BRONZE
21,10,3,1,0,1,0,4,0,1,1,54,16,16.504751698246547,True,BRONZE
22,5,7,0,1,0,0,1,2,0,2,29,35,-5.254813275558014,False,BRONZE
23,7,4,0,0,0,0,2,2,0,1,47,28,8.092005693461218,True,BRONZE
24,5,7,0,1,0,1,0,3,1,1,28,34,-6.0956597072388945,False,BRONZE
25,5,6,0,0,1,0,2,1,1,1,43,48,-4.037392092343907,False,BRONZE
26,4,2,1,1,0,0,0,0,0,0,62,66,-2.153093853529562,True,BRONZE
