,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,1,1,2,3,1,0,30,44,-1.3433587645835843,False,DIAMOND
1,11,0,3,0,1,0,3,0,0,2,44,27,7.502044034828337,True,DIAMOND
2,4,9,0,1,0,2,2,3,1,1,28,43,-6.739181235425924,False,DIAMOND
3,0,10,0,2,0,1,0,3,0,2,7,35,-16.188528079367543,False,DIAMOND
4,3,7,0,2,0,1,0,2,0,2,13,26,-3.858568015588915,False,DIAMOND
5,2,11,0,3,0,2,1,3,1,1,19,25,-1.485564506968693,False,DIAMOND
6,11,3,3,0,1,0,3,1,1,1,47,19,9.890358271822421,True,DIAMOND
7,6,8,1,1,0,2,3,1,1,0,45,44,1.6478960419211077,False,DIAMOND
8,11,2,4,0,2,0,2,2,2,0,23,9,10.385896896025997,True,DIAMOND
9,3,11,0,5,0,2,1,4,2,0,14,27,-9.699844015637218,False,DIAMOND
10,9,0,2,0,1,0,3,0,2,0,37,20,10.181811191179023,True,DIAMOND
11,10,4,2,0,0,1,2,2,1,0,28,26,0.09866285212156356,True,DIAMOND
12,9,5,1,0,1,1,3,2,0,2,51,31,7.286115283576329,True,DIAMOND
13,1,6,0,0,0,1,1,1,1,1,27,28,-0.9920323438303456,False,DIAMOND
14,7,4,1,0,0,2,1,4,1,1,24,31,-0.7707027736865442,False,DIAMOND
15,2,11,0,4,0,1,2,2,0,2,15,23,-4.861761714007947,False,DIAMOND
16,0,8,0,1,0,1,1,3,0,2,9,20,-14.144530389423196,False,DIAMOND
17,4,10,0,2,0,1,1,2,1,1,22,30,-3.023229305723355,False,DIAMOND
18,6,1,1,0,1,0,2,1,2,0,32,23,11.442423197884438,True,DIAMOND
19,10,2,3,0,1,0,4,1,1,1,35,21,6.547350610732103,True,DIAMOND
20,2,9,0,1,0,1,1,3,1,1,32,29,1.0772738973511409,False,DIAMOND
21,11,3,4,0,2,0,4,1,0,2,33,30,2.234629606880965,True,DIAMOND
22,5,8,0,1,1,1,0,3,1,1,26,33,-1.555653385974665,False,DIAMOND
23,2,10,0,1,0,2,2,3,1,1,34,43,-2.79753382511457,False,DIAMOND
24,4,10,0,1,0,2,2,3,0,2,60,62,1.1299455673444356,False,DIAMOND
25,4,10,0,3,0,3,3,3,2,0,38,31,1.131472566914134,False,DIAMOND
26,8,8,1,2,2,0,3,2,2,0,29,39,-4.646022826421337,False,DIAMOND
27,7,2,0,0,1,0,2,1,2,0,33,19,7.3419298513862685,True,DIAMOND
28,9,3,1,0,1,0,4,0,2,0,45,20,11.755071823932688,True,DIAMOND
29,8,4,1,0,2,1,2,3,2,0,38,25,5.346228586317473,True,DIAMOND
30,3,11,0,4,0,2,1,4,0,2,10,21,-5.198141275266117,False,DIAMOND
31,8,5,1,0,1,0,3,1,1,1,35,29,1.3098393971719062,True,DIAMOND
32,2,10,0,1,0,2,1,3,0,2,24,33,-4.05003733406933,False,DIAMOND
33,3,10,0,2,0,2,0,4,2,0,19,38,-4.473113685909361,False,DIAMOND
34,8,8,2,1,0,1,0,4,2,0,29,40,-6.710106907209294,False,DIAMOND
35,4,11,0,4,0,2,1,3,1,1,17,27,-4.170933636936709,False,DIAMOND
