,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,7,1,1,1,1,1,2,1,0,61,47,2.5308743982077786,True,DIAMOND
1,9,1,1,0,0,0,2,1,1,0,53,28,7.289453262480421,True,DIAMOND
2,1,8,0,1,0,1,1,3,1,0,25,30,0.6877802786926352,False,DIAMOND
3,11,1,3,0,1,0,3,1,1,1,41,31,3.9195769966425402,True,DIAMOND
4,8,8,1,2,1,2,4,1,0,2,40,39,2.3885286656587112,True,DIAMOND
5,3,8,0,1,0,2,1,3,0,2,21,36,-7.426400184279686,False,DIAMOND
6,9,3,2,0,1,0,1,2,1,1,32,17,6.976674298631302,True,DIAMOND
7,2,4,0,2,0,0,0,0,0,0,50,50,1.5328451741978668,False,DIAMOND
8,4,4,1,1,0,0,0,0,0,0,64,76,-2.921938890148269,True,DIAMOND
9,7,1,1,0,1,0,4,0,0,2,26,17,7.836101962369291,True,DIAMOND
10,11,8,4,1,2,2,3,3,1,1,45,48,0.8567468593423229,True,DIAMOND
11,8,1,1,0,0,1,3,1,0,2,44,26,7.927285097306104,True,DIAMOND
12,7,2,0,0,1,0,2,3,1,1,32,24,7.925315031108369,True,DIAMOND
13,3,11,0,3,0,2,0,5,0,2,17,30,-3.8580411490400195,False,DIAMOND
14,10,3,3,0,1,2,3,3,1,1,49,46,-1.1844968399308158,True,DIAMOND
15,3,7,0,1,0,1,1,2,0,2,21,29,-0.7015201013408756,False,DIAMOND
16,2,10,0,2,0,1,0,4,1,1,18,31,-6.301999220485079,False,DIAMOND
17,1,7,0,0,0,1,1,2,2,0,15,24,-4.727337868296779,False,DIAMOND
18,7,3,1,0,1,0,4,0,0,2,27,15,9.253691850343465,True,DIAMOND
19,8,0,1,0,1,0,3,0,1,1,32,15,9.830140777597165,True,DIAMOND
20,2,11,0,3,1,1,1,4,1,1,32,40,-4.048689639320678,False,DIAMOND
21,8,5,1,1,3,0,2,3,1,1,40,48,-2.757212149320594,True,DIAMOND
22,0,11,0,3,0,1,2,1,0,2,22,44,-6.783003536414952,False,DIAMOND
23,11,1,3,0,1,0,2,1,2,0,37,17,13.553181065231534,True,DIAMOND
24,11,5,3,0,1,0,1,3,2,0,39,24,8.811880684332777,True,DIAMOND
25,5,10,0,5,1,2,0,4,1,0,22,41,-9.484537909215675,False,DIAMOND
26,9,0,2,0,1,0,4,0,2,0,31,14,7.095130933222279,True,DIAMOND
27,7,3,3,0,1,1,5,0,0,1,45,35,6.145946805688631,True,DIAMOND
28,7,7,1,1,0,2,4,1,1,1,40,33,3.369955910902263,True,DIAMOND
29,8,2,2,0,1,0,2,2,0,2,30,15,14.192226769998321,True,DIAMOND
30,8,4,2,0,2,0,4,1,2,0,44,23,8.423857378799369,True,DIAMOND
31,3,3,0,0,1,0,1,2,0,2,30,13,7.221486137483389,True,DIAMOND
32,2,9,0,1,0,1,1,3,0,2,19,32,-8.23866310690989,False,DIAMOND
