,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,2,2,0,0,0,0,0,0,55,64,-1.3483388895218695,False,SILVER
1,7,2,2,0,1,0,4,0,1,1,34,23,3.867727394492924,True,SILVER
2,11,1,3,0,2,0,3,1,2,0,35,23,4.821977820694535,True,SILVER
3,8,1,1,0,1,0,0,3,2,0,31,13,9.231977006733697,True,SILVER
4,11,2,5,0,2,0,3,2,2,0,40,26,1.7359157403425272,True,SILVER
5,11,0,3,0,1,0,2,1,2,0,29,15,9.199532856396623,True,SILVER
6,1,9,0,1,0,0,0,3,0,2,15,31,-9.931941398120713,False,SILVER
7,0,6,0,0,0,0,1,2,0,2,14,21,-4.082860212892157,False,SILVER
8,7,8,1,1,1,0,1,3,0,0,45,44,4.6886746598068,True,SILVER
9,9,2,3,0,1,0,4,1,2,0,42,30,6.680116339744181,True,SILVER
10,3,4,1,3,0,0,0,0,0,0,81,70,2.105367231001658,False,SILVER
11,4,3,1,2,0,0,0,0,0,0,94,69,0.8888940584214069,True,SILVER
12,4,1,2,0,0,0,0,0,0,0,65,58,-0.14582003435261726,True,SILVER
13,2,9,0,1,0,1,0,4,2,0,17,39,-10.961477568810736,False,SILVER
14,3,7,0,2,1,0,0,3,0,1,25,42,-8.309462915855725,False,SILVER
15,3,4,1,3,0,0,0,0,0,0,79,76,-0.2056913385818362,False,SILVER
