,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,10,0,3,1,1,2,2,0,2,37,44,-2.783840656591451,False,IRON
1,3,10,0,2,0,2,2,4,0,1,38,45,3.95535025523224,False,IRON
2,11,2,3,0,0,0,4,0,0,1,39,27,2.5584850851881527,True,IRON
3,1,11,0,3,0,0,0,3,2,0,10,27,-11.130225848258888,False,IRON
4,7,11,3,3,0,2,3,3,0,2,39,50,-3.9097698593623917,False,IRON
5,11,4,5,0,2,1,3,4,1,1,47,57,0.09875366935165175,True,IRON
6,2,4,1,1,0,0,0,0,0,0,48,58,-2.370759678265294,False,IRON
7,4,4,1,2,0,0,0,0,0,0,49,82,-4.199785881464166,False,IRON
8,1,4,0,2,0,0,0,0,0,0,78,64,2.522053167185433,False,IRON
9,4,1,2,0,0,0,0,0,0,0,86,54,5.239322713377732,True,IRON
10,4,2,1,1,0,0,0,0,0,0,65,63,2.0404363160682237,True,IRON
11,4,2,1,1,0,0,0,0,0,0,59,70,-4.062306337356169,True,IRON
12,11,5,3,1,1,0,1,3,2,0,46,23,6.5776553911917475,True,IRON
13,2,2,1,1,0,0,0,0,0,0,73,54,5.852613003693946,True,IRON
14,2,4,0,2,0,0,0,0,0,0,70,77,-1.1206950203068828,False,IRON
15,0,4,0,3,0,0,0,0,0,0,52,99,-9.366698931227411,False,IRON
16,4,2,1,1,0,0,0,0,0,0,65,52,2.3326202166107066,True,IRON
17,4,3,2,1,0,0,0,0,0,0,52,43,0.7736810602691477,True,IRON
18,4,0,2,0,0,0,0,0,0,0,47,47,-1.0998127082954525,True,IRON
