,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,1,1,0,1,2,1,2,0,27,35,-4.9233370544753186,False,CHALLENGER
1,2,6,0,1,0,1,1,1,0,2,20,32,-8.9936610966366,False,CHALLENGER
2,11,4,3,0,2,0,3,0,1,1,56,33,8.71083990514417,True,CHALLENGER
3,1,9,0,2,0,1,0,3,1,1,14,37,-9.402552518298037,False,CHALLENGER
4,8,4,1,0,1,0,2,1,2,0,29,21,4.1905884419097745,True,CHALLENGER
5,7,3,1,0,1,0,1,3,0,2,33,26,1.2651507578865804,True,CHALLENGER
6,1,5,0,0,0,1,0,3,0,2,15,36,-11.385945253376626,False,CHALLENGER
7,3,10,0,2,0,1,0,4,2,0,19,37,-7.5158445669032545,False,CHALLENGER
8,9,2,2,0,0,0,2,1,0,1,42,27,7.221972759068848,True,CHALLENGER
9,7,8,1,2,1,1,1,4,1,1,34,64,-5.801379576383603,False,CHALLENGER
10,11,8,4,1,2,0,3,1,1,1,32,22,3.25400097191266,True,CHALLENGER
11,2,8,0,2,0,1,2,2,1,1,18,29,-9.142503131239472,False,CHALLENGER
12,3,10,0,2,0,2,0,4,0,2,23,48,-6.301382309792416,False,CHALLENGER
13,9,1,1,0,1,0,1,1,2,0,29,28,1.130073838329423,True,CHALLENGER
14,4,9,0,1,1,0,3,1,1,1,38,19,6.382464002374576,False,CHALLENGER
15,9,2,1,0,1,0,1,3,2,0,34,9,13.456232439203468,True,CHALLENGER
16,7,7,1,1,0,1,3,1,0,2,37,42,-4.516214113399762,True,CHALLENGER
