,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,3,1,0,0,0,3,0,1,0,37,17,11.158242259098841,True,SILVER
1,0,11,0,3,0,0,2,1,1,1,13,32,-7.6949772250885005,False,SILVER
2,10,4,2,0,0,1,4,0,1,0,42,27,3.336004842417587,True,SILVER
3,6,11,0,4,1,1,0,4,2,0,38,44,-6.081462216607491,False,SILVER
4,11,7,6,1,2,1,4,2,1,1,44,43,0.06329528491810521,True,SILVER
5,4,4,0,0,1,0,3,0,0,2,36,28,6.073154749761301,True,SILVER
6,11,2,2,0,1,0,3,0,2,0,27,6,13.715244848754832,True,SILVER
7,9,4,1,0,1,0,3,1,2,0,33,16,11.344858863766966,True,SILVER
8,2,9,0,2,0,0,1,2,2,0,13,22,-6.751823457635339,False,SILVER
9,3,7,0,1,0,1,3,1,0,0,24,23,0.28816456622438125,True,SILVER
10,9,4,3,0,1,0,4,1,2,0,45,33,3.28935864585565,True,SILVER
11,11,2,3,0,0,0,4,0,2,0,51,24,10.379976539569867,True,SILVER
12,10,2,2,0,1,0,0,3,0,1,34,28,2.53616244748563,True,SILVER
13,3,11,0,5,0,2,2,3,1,0,34,38,-3.928597822367273,False,SILVER
14,9,9,1,1,0,1,2,2,1,0,20,41,-7.8690587410741415,True,SILVER
15,11,2,3,0,1,0,4,0,2,0,37,30,2.3504328199943814,True,SILVER
16,3,11,0,5,0,2,2,3,0,1,23,28,-2.369324074929253,False,SILVER
17,8,6,1,1,2,0,3,2,1,0,55,40,6.97481244752894,True,SILVER
18,5,11,0,1,0,2,2,2,2,0,27,34,-5.876070202122669,False,SILVER
19,10,6,1,0,1,0,4,0,0,1,54,32,4.525202566350352,True,SILVER
20,6,9,0,2,0,2,2,2,1,0,48,51,6.627751633508296,False,SILVER
21,2,11,0,6,0,3,0,5,0,1,28,44,-9.378913275644138,False,SILVER
22,3,9,0,1,0,2,1,3,0,2,23,38,-8.089647521423423,False,SILVER
23,2,10,0,3,0,1,0,4,0,1,18,43,-6.238135524707012,False,SILVER
24,3,11,0,2,0,1,0,4,0,1,16,26,-8.374972507677022,False,SILVER
25,4,2,1,0,0,0,0,0,0,0,58,55,0.2877122247545856,True,SILVER
