,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,2,0,1,0,4,0,2,0,38,27,7.214635733355607,True,BRONZE
1,0,11,0,4,0,0,1,2,1,1,24,40,-7.562548128947739,False,BRONZE
2,1,11,0,3,0,1,1,2,0,2,27,34,-0.9438618403607251,False,BRONZE
3,9,3,2,0,1,0,3,0,0,1,44,24,6.494641746640745,True,BRONZE
4,11,3,4,0,2,0,3,2,0,2,43,34,3.219940199357353,True,BRONZE
5,9,1,1,0,0,0,1,2,2,0,33,22,3.943108620400672,True,BRONZE
6,2,11,0,3,0,1,0,4,0,2,16,29,-11.373365328790733,False,BRONZE
7,2,10,0,2,0,1,1,3,1,1,19,32,-8.049985561401925,False,BRONZE
8,11,2,3,0,1,0,2,2,1,1,40,21,9.222686068104132,True,BRONZE
9,6,4,1,0,0,0,3,0,0,1,46,19,10.558179748903378,True,BRONZE
10,3,9,0,3,2,0,1,3,1,0,20,40,-11.735252732709888,False,BRONZE
11,6,8,1,1,1,2,1,4,2,0,42,38,1.410448452576766,False,BRONZE
12,10,6,2,0,1,0,2,2,1,1,35,22,13.398218765595782,True,BRONZE
13,3,10,0,2,0,1,1,3,1,0,26,28,2.24154103555621,False,BRONZE
14,9,8,4,2,2,1,0,5,2,0,29,43,-9.215131883630406,False,BRONZE
15,9,4,2,0,1,0,4,1,0,2,52,34,1.3569053232019073,True,BRONZE
16,4,1,0,0,0,0,3,0,1,1,37,9,17.719754925129607,True,BRONZE
17,4,5,0,0,0,0,1,3,0,2,34,36,-1.040238679501556,False,BRONZE
18,2,10,0,2,0,1,1,3,1,0,29,46,-7.230670155406841,False,BRONZE
19,7,0,1,0,0,0,1,2,1,0,34,21,2.057888416800779,True,BRONZE
20,10,0,2,0,1,0,3,0,1,1,47,27,8.804922664850984,True,BRONZE
21,3,10,0,1,0,1,2,2,1,1,21,31,-6.065007598118385,False,BRONZE
22,7,3,2,0,0,0,2,3,2,0,31,35,-6.45338211729112,True,BRONZE
23,11,4,3,0,2,0,2,3,2,0,41,32,5.193428817146376,True,BRONZE
24,2,5,0,0,0,0,0,3,0,1,19,30,-7.445589538620716,False,BRONZE
25,10,2,1,0,1,0,4,0,1,1,54,16,15.443538380815585,True,BRONZE
26,5,9,1,1,0,2,1,4,2,0,22,43,-8.086323077771866,False,BRONZE
27,5,5,0,0,0,1,4,1,2,0,36,25,8.202761789561706,True,BRONZE
28,9,3,2,0,1,0,3,2,1,0,44,30,4.594195853125953,True,BRONZE
