,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,2,0,1,0,4,0,0,2,31,19,9.140390379296768,True,BRONZE
1,3,11,0,3,0,0,0,4,0,0,19,41,-11.080702547676466,False,BRONZE
2,11,8,3,0,1,0,4,1,1,1,46,39,4.578964757162609,True,BRONZE
3,10,6,4,1,1,2,4,1,1,1,50,57,2.0154559589631944,True,BRONZE
4,4,2,2,1,0,0,0,0,0,0,83,72,1.636534450838326,True,BRONZE
5,11,5,3,0,2,0,3,2,2,0,57,37,0.19506528444744475,True,BRONZE
6,4,8,0,1,0,1,0,4,0,1,30,52,-10.083238948396946,False,BRONZE
7,5,3,0,0,1,0,3,1,1,0,42,36,4.8421298656872125,True,BRONZE
8,11,4,2,0,1,0,4,1,1,1,50,34,8.205224925309736,True,BRONZE
9,9,5,1,0,0,1,2,2,0,2,32,28,2.8135633151109545,True,BRONZE
10,3,11,1,3,0,1,2,2,0,2,27,40,-8.295987855275442,False,BRONZE
11,6,9,1,1,0,1,0,3,0,1,20,37,-8.865781953747529,False,BRONZE
12,0,11,0,3,1,0,1,3,1,0,31,39,-1.7623899805635688,False,BRONZE
13,11,1,5,0,1,0,3,1,2,0,29,30,-4.098468994818241,True,BRONZE
14,3,10,0,3,0,1,2,3,1,1,40,63,-9.620605270369907,False,BRONZE
15,8,2,2,0,1,0,0,3,1,1,45,23,10.13647658103661,True,BRONZE
16,2,10,0,2,0,1,1,3,0,0,24,34,-5.994838485992773,False,BRONZE
17,8,4,1,1,0,1,4,0,0,1,48,38,8.059996373421669,True,BRONZE
18,8,6,1,1,1,2,2,3,1,1,36,41,-2.3637992112333848,True,BRONZE
19,2,9,0,1,0,0,1,3,0,1,28,51,-11.781396433230562,False,BRONZE
20,7,10,1,2,0,1,2,2,0,1,37,38,-0.03483017535992161,False,BRONZE
21,0,11,0,4,0,1,1,3,0,1,27,39,-6.839751075476492,False,BRONZE
22,1,9,0,2,0,0,1,3,0,2,23,35,-9.907602841831014,False,BRONZE
23,9,5,1,0,0,0,1,3,0,0,59,54,-3.0848448365677186,True,BRONZE
24,11,4,3,0,2,0,3,2,1,0,47,23,9.552167666411492,True,BRONZE
25,2,6,0,0,0,1,0,3,0,2,23,32,-5.866095933265065,False,BRONZE
26,11,2,3,0,1,0,1,1,1,0,47,30,7.99341800695111,True,BRONZE
27,4,9,0,2,0,1,4,1,1,0,35,29,2.214363367680491,False,BRONZE
28,1,11,0,3,0,1,1,1,0,2,17,37,-12.514919294095012,False,BRONZE
29,10,7,4,1,2,1,0,6,0,2,43,50,-4.542409967550292,True,BRONZE
30,5,9,0,1,0,0,3,2,0,2,30,36,-3.8512201559573995,False,BRONZE
31,1,11,0,4,0,2,1,3,1,1,32,46,-3.5640886298913443,False,BRONZE
32,5,5,0,0,1,1,4,2,0,1,51,35,5.017479039269666,True,BRONZE
