,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,4,3,0,3,0,3,3,0,2,37,26,2.533744078350942,True,CHALLENGER
1,3,7,0,1,0,1,3,1,1,1,27,34,-6.578674269733405,False,CHALLENGER
2,1,7,0,1,0,1,2,2,0,2,17,35,-10.233697603161914,False,CHALLENGER
3,9,3,1,0,1,0,3,1,1,1,32,20,5.776992602471367,True,CHALLENGER
4,11,2,3,0,1,0,3,0,1,1,32,16,8.606842788279998,True,CHALLENGER
5,1,9,0,1,0,1,0,3,0,2,15,30,-5.892639246139339,False,CHALLENGER
6,11,3,2,0,1,0,3,1,1,1,41,26,6.0154596900658035,True,CHALLENGER
7,3,11,0,3,1,1,2,3,1,1,29,45,-7.254045630553819,False,CHALLENGER
8,8,5,1,0,1,0,3,0,0,2,40,17,11.27750997489182,True,CHALLENGER
9,1,9,0,1,0,1,0,3,1,1,16,40,-11.45356538918157,False,CHALLENGER
10,7,3,0,0,1,1,3,2,1,1,23,15,3.8973063172318874,True,CHALLENGER
11,9,2,1,0,1,0,3,1,1,1,26,12,8.078095939670767,True,CHALLENGER
12,2,10,0,2,0,1,1,3,0,2,16,27,-6.58708942082243,False,CHALLENGER
13,2,8,0,1,0,0,1,2,0,2,16,34,-11.57301923127524,False,CHALLENGER
14,8,3,1,0,1,0,2,0,1,1,31,26,2.7799061940299126,True,CHALLENGER
15,2,9,0,1,0,1,2,2,0,2,18,27,-6.564153447142999,False,CHALLENGER
16,3,11,0,2,0,1,2,2,1,1,29,38,-7.6238809071964795,False,CHALLENGER
17,9,6,1,1,1,1,4,1,1,1,30,28,0.040123229972884644,True,CHALLENGER
18,4,10,0,2,0,1,1,3,0,2,17,22,-2.4246705978593823,False,CHALLENGER
19,2,10,0,2,0,1,2,2,0,2,9,28,-11.835843012862007,False,CHALLENGER
20,2,11,0,3,0,1,2,2,0,2,22,31,-2.5003855976511176,False,CHALLENGER
21,2,8,0,1,0,1,0,4,1,1,31,45,-6.554305517083257,False,CHALLENGER
22,11,2,4,0,1,1,3,2,1,0,22,24,-1.8186288947003675,True,CHALLENGER
23,7,9,1,3,0,1,3,2,0,2,22,36,-4.632755685035335,False,CHALLENGER
24,0,9,0,2,0,0,1,1,0,2,13,28,-9.592452879077591,False,CHALLENGER
25,4,10,0,1,0,1,2,1,1,1,21,43,-10.987365968599171,False,CHALLENGER
26,1,11,0,3,0,1,0,4,1,1,20,27,-7.614659346165006,False,CHALLENGER
27,4,11,0,2,0,1,0,4,1,1,17,38,-12.694258536953498,False,CHALLENGER
