,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,3,0,1,1,3,1,1,26,28,0.5378834259285483,False,SILVER
1,8,6,1,0,1,0,2,1,1,1,44,30,6.595742015494622,True,SILVER
2,7,4,1,0,1,0,4,0,0,2,26,16,7.394458867688073,True,SILVER
3,3,5,0,0,0,0,1,2,1,0,17,28,-9.736842011452694,False,SILVER
4,9,5,2,0,0,1,1,3,1,1,38,39,-6.274491227785525,True,SILVER
5,9,3,3,0,1,0,4,0,0,2,36,26,5.714903905561606,True,SILVER
6,10,7,1,0,2,0,3,3,0,2,55,34,3.87104721378207,True,SILVER
7,8,9,1,2,1,1,2,3,1,1,49,34,5.8989060735887335,True,SILVER
8,10,1,2,0,1,0,3,0,0,1,43,20,10.715346781124879,True,SILVER
9,8,2,1,0,1,0,4,0,1,0,27,19,6.982647477572407,True,SILVER
10,8,10,1,3,2,1,2,5,1,1,51,61,-2.8783664232461774,False,SILVER
11,11,2,3,0,1,0,1,2,0,2,37,16,10.640724402702695,True,SILVER
12,11,1,3,0,1,0,3,1,1,1,45,42,2.4833944729849478,True,SILVER
13,6,10,0,1,0,1,2,2,2,0,26,37,-11.439331140303814,False,SILVER
14,9,4,1,0,2,0,3,1,0,2,44,43,0.740410286861092,True,SILVER
15,11,2,4,0,2,0,5,0,1,1,33,30,6.409077092632259,True,SILVER
16,2,9,0,1,0,1,3,1,0,1,21,39,-10.870253280593879,False,SILVER
17,2,9,0,2,1,0,3,0,0,2,24,28,-4.83722962637178,False,SILVER
18,4,10,0,2,0,1,1,3,0,2,21,33,-10.148819701829161,False,SILVER
19,10,8,3,1,1,1,3,2,0,2,46,33,8.219628606552057,True,SILVER
20,10,2,2,0,1,0,4,0,0,0,42,28,8.971306987611364,True,SILVER
21,11,4,5,0,0,1,4,2,1,0,53,47,0.5294450748140065,True,SILVER
22,9,6,1,1,1,0,3,2,0,1,35,30,1.272447663860575,True,SILVER
23,11,3,3,1,1,0,1,3,2,0,41,27,2.676360073029464,True,SILVER
24,3,11,0,4,0,1,2,3,0,2,40,52,-3.5574128398723133,False,SILVER
25,6,6,1,0,1,0,3,2,1,0,40,33,1.905726178479,True,SILVER
26,8,6,1,0,1,0,2,2,2,0,36,23,3.08029423923373,True,SILVER
27,8,7,1,2,1,1,4,2,1,0,57,48,-0.08608368754076423,False,SILVER
28,10,7,2,1,1,0,4,1,1,1,47,27,12.629150862322568,True,SILVER
29,2,11,0,4,0,1,0,3,0,2,20,27,-9.62864232216635,False,SILVER
30,3,9,0,1,0,1,1,3,2,0,28,49,-8.883198009794569,False,SILVER
31,11,0,2,0,1,0,3,0,2,0,27,17,0.9417129988685389,True,SILVER
32,2,11,0,4,0,2,3,2,1,1,49,57,-3.430619904214417,False,SILVER
33,0,8,0,1,0,1,1,2,0,2,19,42,-11.653403185027678,False,SILVER
34,11,6,3,0,1,0,3,0,1,1,34,26,7.844882304513575,True,SILVER
35,11,4,3,0,1,0,4,1,1,1,46,40,1.336647116015449,True,SILVER
36,11,5,4,0,1,1,3,2,1,1,66,45,5.627975985639075,True,SILVER
37,1,11,0,2,0,0,0,3,0,2,15,36,-16.94091717995687,False,SILVER
38,2,10,0,2,0,1,0,4,0,2,31,43,-5.528602281579751,False,SILVER
39,11,1,3,0,1,0,4,0,2,0,35,13,14.80770793987704,True,SILVER
