,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,10,0,2,0,1,0,3,2,0,19,43,-10.298237575127978,False,DIAMOND
1,3,11,0,2,0,2,2,2,2,0,36,40,1.3652821770381252,False,DIAMOND
2,7,10,2,2,1,1,4,2,1,1,29,31,-2.5463985251328296,False,DIAMOND
3,2,7,0,1,0,1,2,2,1,1,28,44,-10.770691720005175,False,DIAMOND
4,11,5,3,0,2,0,4,2,2,0,39,35,-1.4064303619231566,True,DIAMOND
5,3,9,0,1,1,0,3,1,1,1,30,34,-0.569301802684123,False,DIAMOND
6,10,8,2,1,1,1,4,1,0,2,44,33,1.5714457590525512,True,DIAMOND
7,5,7,0,1,1,1,0,4,0,2,27,35,-2.8333677288809795,False,DIAMOND
8,11,1,2,0,1,0,2,0,1,1,28,17,6.61854461677828,True,DIAMOND
9,10,5,3,0,2,2,4,3,2,0,35,47,-1.9947939431976778,True,DIAMOND
10,8,5,2,0,2,0,3,0,1,1,38,27,6.360046563310725,True,DIAMOND
11,11,0,4,0,2,0,3,0,2,0,39,28,3.7206185240570377,True,DIAMOND
12,7,4,2,0,2,0,2,3,0,2,57,30,7.612351877394531,True,DIAMOND
13,8,2,1,0,1,0,4,0,2,0,28,19,1.7582814780038234,True,DIAMOND
14,10,2,2,0,1,0,2,1,1,1,37,18,9.932022083002515,True,DIAMOND
15,9,4,1,0,2,0,3,1,2,0,30,30,0.20847888128329828,True,DIAMOND
16,10,5,2,0,2,0,4,1,1,1,46,19,13.874294011862439,True,DIAMOND
17,11,1,3,0,1,0,4,0,2,0,41,26,6.309518106500271,True,DIAMOND
18,1,9,0,2,0,1,1,2,0,1,30,50,-6.2717438650689346,False,DIAMOND
19,10,2,1,0,2,0,4,0,2,0,37,21,7.1484070320099065,True,DIAMOND
20,8,3,1,0,1,0,3,0,1,1,35,16,12.064459779799087,True,DIAMOND
21,3,9,0,2,1,0,1,3,1,1,16,25,-6.303273458994163,False,DIAMOND
22,3,4,0,0,1,0,4,0,2,0,33,19,6.798183299358492,True,DIAMOND
23,10,2,2,0,1,0,4,0,1,1,43,22,7.848669049732777,True,DIAMOND
24,10,4,2,0,2,0,4,1,1,1,54,42,6.1498620257222285,True,DIAMOND
25,3,6,0,1,0,1,3,1,1,1,24,31,-4.555890400456782,False,DIAMOND
26,8,6,1,1,1,1,2,3,0,2,33,36,-1.3245323631536294,True,DIAMOND
27,11,0,2,0,1,0,1,2,2,0,42,27,6.61582601203974,True,DIAMOND
28,8,3,1,0,1,0,2,2,0,2,35,20,6.308275142348826,True,DIAMOND
29,3,10,0,2,0,1,0,3,1,0,23,34,-4.484066399454967,False,DIAMOND
