,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,11,1,3,0,2,4,2,1,0,37,66,-3.1064478187116293,False,DIAMOND
1,4,4,2,2,0,0,0,0,0,0,87,86,1.5227897072586742,True,DIAMOND
2,3,11,0,5,1,2,3,3,0,2,52,59,0.06571380348789546,False,DIAMOND
3,7,7,1,1,0,1,4,1,2,0,38,41,-5.372902349300347,False,DIAMOND
4,9,9,3,2,2,0,1,4,2,0,64,35,8.63760043017956,True,DIAMOND
5,3,10,0,2,0,1,2,1,1,0,12,40,-13.339299976052637,False,DIAMOND
6,4,4,1,2,0,0,0,0,0,0,64,69,-1.6089836476606507,True,DIAMOND
7,3,4,1,2,0,0,0,0,0,0,73,81,0.005967695228846992,False,DIAMOND
8,7,10,1,1,0,2,2,4,0,1,45,58,-6.6241579023840345,False,DIAMOND
9,2,10,0,2,0,1,1,2,0,2,20,46,-9.460632108752108,False,DIAMOND
10,11,2,6,0,0,2,3,3,2,0,44,36,3.5875645090013393,True,DIAMOND
11,1,4,0,2,0,0,0,0,0,0,56,72,-1.0407432566083443,False,DIAMOND
12,11,1,3,0,2,0,4,0,1,0,47,19,14.570735873810246,True,DIAMOND
13,10,3,2,0,0,0,2,1,1,1,46,29,7.182758715693254,True,DIAMOND
14,5,6,0,0,1,1,2,2,1,0,50,52,1.5043478152528351,True,DIAMOND
15,2,6,0,1,0,0,0,3,1,0,19,34,-3.802058114488659,False,DIAMOND
16,9,5,2,0,1,0,1,3,1,0,44,40,2.0133709027601583,True,DIAMOND
17,10,5,3,1,0,0,2,2,1,0,66,47,5.604114467193703,True,DIAMOND
18,1,10,0,2,0,0,0,3,0,1,20,43,-13.49131094240018,False,DIAMOND
19,9,5,2,1,0,1,5,0,0,1,55,42,4.318636320740858,True,DIAMOND
20,2,11,0,3,0,0,1,1,1,1,16,44,-14.51295721698467,False,DIAMOND
21,1,6,0,1,0,1,1,3,1,0,14,46,-15.416426747952826,False,DIAMOND
22,1,4,0,2,0,0,0,0,0,0,43,73,-5.572811881780524,False,DIAMOND
23,8,8,1,1,1,1,2,4,0,1,57,55,2.676129037540747,True,DIAMOND
