,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,11,0,3,0,1,0,4,0,2,28,36,-5.167088842302348,False,GOLD
1,9,2,2,0,0,0,2,2,1,0,26,23,4.962944785316935,True,GOLD
2,4,1,0,0,1,0,3,0,1,1,27,16,7.3046754328515675,True,GOLD
3,5,9,0,1,0,1,0,4,1,1,23,37,-5.2655113204969695,False,GOLD
4,9,7,1,0,1,0,3,2,0,2,34,19,7.281670830972338,True,GOLD
5,6,11,0,3,0,2,1,4,2,0,21,41,-4.926099808222894,False,GOLD
6,11,4,3,0,1,0,3,0,1,1,39,17,10.863898364501928,True,GOLD
7,9,6,2,1,2,0,3,1,1,1,43,28,6.241258650328774,True,GOLD
8,3,9,0,1,0,1,1,3,0,2,22,35,-8.319912139133663,False,GOLD
9,8,10,3,3,2,0,2,3,1,1,39,59,-5.14016967113308,False,GOLD
10,7,11,2,5,1,2,2,5,2,0,25,48,-11.382750531480276,False,GOLD
11,2,8,0,2,0,1,0,3,0,2,30,37,-3.5295229920328524,False,GOLD
12,9,4,1,0,0,0,1,2,2,0,45,35,3.5602845584362584,True,GOLD
13,2,10,0,1,0,0,1,3,1,0,23,41,-8.6607393870977,False,GOLD
14,7,8,0,1,0,2,2,3,2,0,28,37,-4.695518933919104,False,GOLD
15,9,2,1,0,1,0,3,0,2,0,35,18,10.46409815109891,True,GOLD
16,10,8,2,1,2,0,3,1,0,1,23,24,0.8770861058849349,True,GOLD
17,9,4,1,0,1,0,3,0,1,1,27,24,2.510808075678348,True,GOLD
18,8,1,1,0,1,0,2,1,2,0,37,23,10.615543705893657,True,GOLD
19,8,7,1,1,0,1,1,3,1,1,27,48,-9.698651956352002,False,GOLD
20,7,9,1,1,2,0,3,2,0,2,40,56,-6.769206864874825,False,GOLD
21,9,5,1,0,1,0,1,4,0,2,43,44,-0.8278362765691512,True,GOLD
22,7,5,1,0,0,0,1,2,1,0,32,26,1.3758024751794267,True,GOLD
23,11,3,3,0,1,0,4,1,0,2,36,21,10.503083223186785,True,GOLD
24,11,2,3,0,1,0,3,0,2,0,25,13,8.808832376056657,True,GOLD
25,3,11,0,3,0,1,1,3,2,0,16,44,-12.564175969060017,False,GOLD
26,10,3,3,0,1,0,3,1,2,0,30,30,4.571283080217455,True,GOLD
27,8,8,1,2,1,1,1,3,1,1,33,37,-0.6565423356973952,True,GOLD
28,3,9,0,1,0,1,0,3,1,1,21,37,-8.638234222123188,False,GOLD
29,10,10,2,5,1,1,1,4,0,2,35,48,-4.327741930277689,False,GOLD
30,10,6,4,1,2,0,3,2,1,1,35,18,5.140912674747085,True,GOLD
31,10,6,3,0,1,0,2,2,1,1,28,44,-1.7625098239374708,True,GOLD
32,1,8,0,2,0,0,0,3,0,2,17,37,-10.7363322554138,False,GOLD
33,11,1,3,0,1,0,4,0,1,1,39,16,12.16265501722745,True,GOLD
34,7,4,1,0,1,0,2,2,1,1,26,22,4.332057546608098,True,GOLD
35,8,4,1,0,1,0,0,2,0,1,36,38,-4.090268640566805,True,GOLD
36,8,1,1,0,1,0,1,2,1,0,28,19,4.483952407677364,True,GOLD
37,3,9,0,1,0,2,3,2,0,2,22,29,-3.4014523328280717,False,GOLD
38,9,6,1,1,1,1,3,1,1,1,48,26,5.580709542031762,True,GOLD
39,3,11,0,5,0,2,2,4,2,0,29,47,-6.200193001319214,False,GOLD
40,5,2,0,0,0,1,0,4,2,0,21,33,-8.944563883064596,False,GOLD
41,1,7,0,0,0,1,1,0,0,2,26,38,-8.190975175184008,False,GOLD
