,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,9,2,3,2,0,2,2,1,1,55,60,-2.48500659869773,False,GOLD
1,10,3,2,0,0,1,4,0,1,0,45,23,7.686781184748057,True,GOLD
2,2,9,0,1,0,1,1,3,0,1,28,50,-9.946362122538467,False,GOLD
3,1,11,0,2,0,1,1,3,0,2,19,37,-8.028426655719983,False,GOLD
4,9,4,2,0,0,1,3,1,1,1,47,35,2.251962656609642,True,GOLD
5,11,4,3,0,0,1,2,2,1,0,58,44,4.725816805035265,True,GOLD
6,6,1,0,0,0,0,1,1,2,0,38,25,6.7154921867967445,True,GOLD
7,2,11,0,2,0,1,2,2,0,2,18,26,-5.516966093398224,False,GOLD
8,4,10,0,2,0,2,1,4,0,2,31,41,-3.0574693287422576,False,GOLD
9,4,11,0,3,0,1,2,2,1,0,23,29,-3.1097322468912054,False,GOLD
10,2,10,0,3,0,1,3,2,1,1,26,34,1.0649297397453878,False,GOLD
11,10,3,3,0,1,0,2,1,1,1,35,25,7.241425758443455,True,GOLD
12,11,4,5,0,0,1,2,2,1,0,38,40,-5.0024728086985135,True,GOLD
13,11,2,2,0,2,0,3,1,2,0,42,20,12.436555378870274,True,GOLD
14,8,0,1,0,1,0,3,1,2,0,36,29,2.721006675119625,True,GOLD
15,11,1,3,0,0,0,4,0,2,0,34,22,2.8779720610598574,True,GOLD
16,11,1,4,0,1,0,3,2,0,1,47,33,1.2456572007948523,True,GOLD
17,7,11,0,4,0,2,3,2,1,1,35,54,-6.295486999073482,False,GOLD
18,3,7,0,1,0,1,1,2,1,1,19,35,-10.609321132228231,False,GOLD
19,11,1,3,0,1,0,3,1,2,0,56,28,4.3685802936650475,True,GOLD
20,1,10,0,2,0,0,0,4,1,0,21,52,-14.752977040718115,False,GOLD
21,4,9,0,3,0,1,2,2,1,1,20,34,-12.432066401448047,False,GOLD
22,3,6,0,1,0,1,2,2,0,2,27,38,-3.2285692342295746,False,GOLD
23,10,3,2,0,0,0,2,2,1,0,35,33,-0.14293406476794956,True,GOLD
24,8,6,1,1,1,0,1,3,2,0,43,27,1.1235119630807162,True,GOLD
