,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,3,0,1,1,4,1,2,0,29,22,2.2149900449605227,True,GOLD
1,6,2,0,0,1,0,3,0,1,0,33,20,5.7659675070519185,True,GOLD
2,4,5,0,0,1,0,3,2,0,2,38,25,8.201942648927115,True,GOLD
3,10,2,2,0,1,0,3,1,2,0,40,18,10.190366716839726,True,GOLD
4,6,8,1,1,0,1,4,1,2,0,38,38,2.406404832959872,False,GOLD
5,0,9,0,3,0,1,0,3,1,1,16,28,-8.364273142617911,False,GOLD
6,2,7,0,0,0,1,2,2,0,2,23,33,-3.125856371061488,False,GOLD
7,11,3,4,0,1,0,2,3,1,1,40,25,9.162773113582404,True,GOLD
8,2,8,0,2,0,1,2,1,0,2,18,21,2.8311216438507927,False,GOLD
9,9,3,1,0,1,0,4,0,2,0,27,11,13.72189626340257,True,GOLD
10,3,7,0,1,0,1,3,1,0,1,32,39,-4.520506574238738,False,GOLD
11,0,11,0,4,0,1,0,3,0,1,23,51,-10.617047866663604,False,GOLD
12,10,2,2,0,1,0,2,1,2,0,39,18,10.485602483868306,True,GOLD
13,1,11,0,4,0,1,0,3,1,1,24,31,-1.0708746400641473,False,GOLD
14,11,2,3,0,1,0,3,1,1,1,38,28,4.803155294951019,True,GOLD
15,4,8,0,1,0,1,3,2,0,1,33,33,0.4020667749831759,False,GOLD
16,11,2,3,0,1,0,3,1,1,1,44,16,10.161899394828524,True,GOLD
17,10,2,2,0,1,0,2,0,2,0,39,16,10.202770914124653,True,GOLD
18,10,3,2,0,1,0,2,1,1,0,34,21,4.68355364465755,True,GOLD
19,9,8,1,2,1,0,3,2,0,2,26,40,-7.069711700106929,False,GOLD
20,1,8,0,1,0,1,1,3,0,2,26,39,-6.912454491132564,False,GOLD
21,4,7,0,1,0,1,0,3,1,1,19,32,-11.293768094190426,False,GOLD
22,5,8,0,1,0,1,2,2,0,2,20,35,-3.5862929694482872,False,GOLD
23,11,2,2,0,1,0,4,0,1,1,41,24,7.910038089053771,True,GOLD
24,3,9,0,1,0,1,1,3,1,0,15,33,-10.370296071812035,False,GOLD
25,4,7,0,1,0,1,2,1,0,2,25,36,-5.1060174122541895,False,GOLD
26,10,4,1,0,2,0,3,2,1,1,36,38,-1.863224917727834,True,GOLD
27,10,4,3,0,0,2,3,3,2,0,47,40,7.032013120001473,True,GOLD
28,1,11,0,3,0,1,1,1,1,1,25,34,-3.5648580236750007,False,GOLD
29,3,10,0,1,0,1,0,4,0,2,27,32,-5.561411267209337,False,GOLD
