,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,4,1,0,1,0,3,1,0,2,36,28,5.138984286596042,True,SILVER
1,3,8,0,1,0,1,0,4,1,1,8,28,-16.810733564367254,False,SILVER
2,9,5,2,1,2,0,2,3,1,0,37,22,6.742051634327311,True,SILVER
3,10,4,4,0,2,0,3,2,2,0,49,31,6.414448392033478,True,SILVER
4,10,5,2,0,0,1,3,1,2,0,45,22,12.497582384170038,True,SILVER
5,5,11,0,5,1,2,4,2,1,1,47,43,2.4312487654542636,False,SILVER
6,11,3,3,0,1,0,2,1,0,2,44,27,7.41928723868476,True,SILVER
7,3,10,1,3,0,0,1,3,1,1,30,39,-1.2031305912251042,False,SILVER
8,2,10,0,2,1,1,2,3,1,0,31,44,-6.155343228007837,False,SILVER
9,10,3,2,0,1,0,4,0,1,0,50,26,7.920829884521098,True,SILVER
10,6,10,0,2,0,2,3,3,1,1,36,56,-10.668320531966216,False,SILVER
11,11,8,3,2,2,2,5,2,0,1,52,47,2.8032773881034245,True,SILVER
12,3,8,0,1,0,1,1,3,0,2,22,25,-7.101745453149512,False,SILVER
13,11,3,3,0,1,1,4,1,1,1,29,29,3.288542646716465,True,SILVER
14,11,2,3,0,2,0,3,2,1,0,47,32,7.8379807614232675,True,SILVER
15,7,1,2,0,1,0,2,0,1,0,31,6,17.672568865558837,True,SILVER
16,8,6,2,0,0,0,1,3,0,2,41,44,-1.2987212540584991,True,SILVER
17,11,0,2,0,1,0,3,0,2,0,43,13,15.533387754668315,True,SILVER
18,10,4,2,0,2,0,4,1,1,0,52,32,5.01203882184366,True,SILVER
19,9,5,1,0,0,1,4,0,0,2,25,24,-0.4591613446468017,True,SILVER
20,9,4,1,0,1,0,4,0,0,1,44,28,8.967988341393706,True,SILVER
21,2,11,0,3,0,1,0,3,0,2,8,23,-17.717736592392754,False,SILVER
22,6,4,0,0,0,0,4,1,0,1,44,21,12.274833567432765,True,SILVER
23,4,4,2,1,0,0,0,0,0,0,77,71,0.7214033477169508,True,SILVER
24,4,10,0,2,0,0,2,3,0,0,51,78,-4.406907939151509,False,SILVER
25,10,1,2,0,1,0,4,0,1,1,30,19,8.162708674435322,True,SILVER
26,11,3,3,0,1,1,3,2,0,1,39,25,4.675347345920031,True,SILVER
27,11,2,3,0,0,1,5,0,2,0,40,30,0.19841580774914291,True,SILVER
28,11,1,4,0,1,0,4,0,2,0,37,16,16.518041768534303,True,SILVER
29,6,3,1,0,1,0,3,0,0,1,34,15,10.041621355628749,True,SILVER
30,5,9,0,2,0,0,0,4,0,2,33,39,1.647841548631554,False,SILVER
31,5,8,0,1,0,1,2,2,1,1,22,42,-9.761319736891615,False,SILVER
32,11,1,3,0,2,0,2,2,2,0,26,11,9.078086189571565,True,SILVER
33,2,11,0,3,0,2,3,1,0,1,31,48,-5.950765107204205,False,SILVER
34,7,10,0,1,0,1,1,4,2,0,30,43,-4.928842588738149,False,SILVER
35,10,2,2,0,0,0,3,0,1,0,34,26,7.525823751487756,True,SILVER
36,3,6,0,0,0,1,2,1,0,2,23,40,-6.041903218566219,False,SILVER
37,9,8,3,3,2,1,3,3,2,0,61,51,0.9734270725188026,True,SILVER
38,4,9,0,2,0,1,4,0,0,2,32,28,-3.203569848841063,False,SILVER
39,2,9,0,2,0,1,1,3,0,1,29,54,-10.045057814787967,False,SILVER
40,9,3,2,0,1,0,3,1,0,0,28,13,6.841980020709684,True,SILVER
41,10,4,4,0,2,0,3,1,0,2,39,36,-0.39157373463368117,True,SILVER
42,9,11,7,5,3,2,3,6,1,0,50,62,-4.912008262447593,False,SILVER
43,6,0,1,0,0,0,3,0,2,0,32,23,6.229066459070268,True,SILVER
44,5,11,0,5,1,1,2,4,1,1,36,43,-3.490580738252632,False,SILVER
