,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,8,0,1,0,2,2,3,0,2,30,31,3.5123982581549313,False,IRON
1,7,4,1,0,1,0,4,0,0,2,44,27,10.73330590801509,True,IRON
2,10,1,2,0,1,0,2,1,0,2,37,32,-1.96470011243332,True,IRON
3,6,1,1,0,1,0,3,0,2,0,30,14,10.946016831978362,True,IRON
4,3,10,0,2,0,1,1,2,1,0,25,33,-4.6364555070657545,False,IRON
5,5,3,0,0,1,0,2,1,0,0,33,24,10.099136334370883,True,IRON
6,10,6,4,1,2,0,4,1,1,0,46,27,16.51385156960977,True,IRON
7,10,4,2,0,1,0,4,1,1,1,39,31,7.0412577203169775,True,IRON
8,9,2,2,0,0,0,4,0,1,1,41,23,7.2848580385601664,True,IRON
9,4,9,0,1,0,1,2,3,0,2,26,50,-9.684910041037341,False,IRON
10,6,3,1,0,1,0,1,3,1,1,40,25,5.896741821695663,True,IRON
11,3,8,0,1,0,0,0,3,1,0,13,28,-8.776873602909,False,IRON
12,5,7,0,2,1,1,1,4,0,1,26,36,-1.8635093024667455,False,IRON
13,2,4,0,0,0,1,1,3,0,1,21,33,-7.940758067891487,False,IRON
14,9,3,2,0,0,0,3,0,1,1,46,29,9.137335603579508,True,IRON
15,7,5,1,0,1,0,3,1,0,1,43,29,7.672748998505959,True,IRON
16,4,7,0,1,0,1,2,3,2,0,29,56,-12.308531717631531,False,IRON
17,5,7,0,0,0,1,2,2,0,2,24,44,-13.967774765894216,False,IRON
18,9,3,2,0,1,0,4,0,0,1,41,27,8.985425477915548,True,IRON
19,7,4,1,0,0,0,2,2,1,1,32,19,6.740520868101143,True,IRON
20,6,8,0,1,0,1,3,2,0,2,30,41,-1.3122445420220288,False,IRON
21,11,4,4,0,0,0,1,4,1,0,48,58,-5.765933217615391,True,IRON
22,1,4,0,0,0,0,0,2,0,2,24,24,3.216279345058254,False,IRON
