,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,3,0,1,0,3,0,2,0,47,22,11.99284261647869,True,SILVER
1,9,9,1,2,0,1,1,4,2,0,29,45,-5.8358509236253155,False,SILVER
2,8,1,1,0,0,1,3,1,2,0,38,18,10.235909010429154,True,SILVER
3,5,7,0,2,0,2,1,4,1,0,40,51,-1.5359911027305984,False,SILVER
4,7,10,2,2,0,2,3,1,2,0,49,46,-6.504653888270703,False,SILVER
5,3,9,0,2,0,1,2,1,0,2,23,31,-5.810929528030513,False,SILVER
6,7,9,1,1,0,2,2,4,1,0,47,48,1.7614628308494886,False,SILVER
7,10,4,2,0,2,0,2,2,0,2,49,40,2.508060575376234,True,SILVER
8,8,2,2,0,1,0,4,0,1,0,42,27,3.7831481759361623,True,SILVER
9,6,9,0,2,1,0,0,3,1,1,24,50,-10.525250193972276,False,SILVER
10,7,8,1,1,0,1,3,0,1,0,34,31,-2.536120825262124,False,SILVER
11,4,11,0,5,0,2,3,2,0,2,27,43,-5.049047567769314,False,SILVER
12,3,10,0,1,0,1,0,3,0,2,23,39,-9.630185449953174,False,SILVER
13,5,10,0,2,1,1,0,4,1,1,42,35,2.9893659668960737,False,SILVER
14,11,2,2,0,1,0,3,1,2,0,32,28,2.631463634956873,True,SILVER
15,6,7,0,1,0,1,1,3,0,1,34,37,-2.346531192617263,False,SILVER
16,9,4,2,0,0,1,2,3,1,0,40,45,-4.8009709380238235,True,SILVER
17,4,4,2,2,0,0,0,0,0,0,82,88,0.004975706446380457,False,SILVER
18,10,4,5,0,3,0,4,2,2,0,44,54,-8.411322797893455,True,SILVER
19,10,6,1,0,1,1,3,1,1,1,39,32,4.60388412273052,True,SILVER
20,5,4,0,0,1,0,4,1,0,1,43,29,3.1168163900608263,True,SILVER
21,9,6,2,1,1,1,6,1,0,2,44,43,0.02918708356929045,True,SILVER
22,11,4,2,0,1,0,4,0,1,0,48,18,5.43669711537121,True,SILVER
23,8,1,1,0,1,0,2,0,0,1,35,26,-1.1607075325858034,True,SILVER
