,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,8,2,1,1,0,3,2,1,1,54,40,6.62585821133699,True,SILVER
1,10,4,3,0,0,0,3,2,0,2,40,23,11.081338300602503,True,SILVER
2,4,9,0,1,0,1,1,4,2,0,22,41,-12.481588863673139,False,SILVER
3,11,3,4,0,0,0,3,1,1,1,45,37,1.7895553224390568,True,SILVER
4,9,11,1,2,1,1,1,2,2,0,28,43,-3.855352994222038,False,SILVER
5,9,9,1,2,2,1,4,2,1,1,58,61,2.8975350524543657,True,SILVER
6,11,1,4,0,1,0,2,1,2,0,29,15,11.038776137567364,True,SILVER
7,2,11,0,3,0,1,0,4,1,1,26,48,-8.217726799366986,False,SILVER
8,2,9,0,2,0,0,0,3,0,2,6,28,-16.400253496621666,False,SILVER
9,9,2,2,0,1,0,3,1,0,1,29,35,-3.8244008905985822,True,SILVER
10,2,9,0,1,0,1,0,4,0,2,13,33,-10.21895068587176,False,SILVER
11,9,3,2,0,1,0,1,3,1,0,22,17,7.657050324484544,True,SILVER
12,1,11,0,5,0,2,2,3,1,1,30,38,-4.093853440793644,False,SILVER
13,8,11,3,5,0,2,0,5,2,0,33,35,-3.363802049594497,False,SILVER
14,4,3,0,0,0,0,1,3,0,1,28,35,-6.798446942495829,False,SILVER
15,8,3,1,0,2,0,3,1,2,0,38,23,5.261011159963253,True,SILVER
16,11,2,3,0,1,0,3,1,0,2,33,24,2.97226015045095,True,SILVER
17,4,11,0,4,1,0,3,3,0,1,55,65,-2.1795634242805875,False,SILVER
18,5,2,1,0,1,0,4,0,0,1,38,15,10.009708286704758,True,SILVER
19,11,2,3,0,1,0,3,1,1,1,35,28,-0.6381685796528487,True,SILVER
20,10,3,3,0,2,0,5,0,0,2,61,45,5.3518166482224885,True,SILVER
21,7,7,1,1,0,0,3,0,0,1,30,25,4.048396379683908,True,SILVER
22,2,9,0,2,0,1,0,3,0,1,12,35,-14.70685029110221,False,SILVER
23,9,0,2,0,0,0,1,2,2,0,42,25,5.721648027784283,True,SILVER
24,5,9,0,1,0,2,1,3,2,0,37,52,-5.291930558668298,False,SILVER
25,11,2,3,0,1,0,3,0,0,1,30,21,5.3856216129885155,True,SILVER
26,11,2,2,0,1,1,3,0,1,0,33,26,-0.06843946407773416,True,SILVER
27,4,11,0,2,0,0,0,4,0,2,38,50,-0.8877468864323745,False,SILVER
28,10,3,2,0,1,0,3,1,1,1,52,34,5.272504767776091,True,SILVER
29,10,0,2,0,0,0,2,0,2,0,32,9,13.400101007983586,True,SILVER
30,11,6,5,0,2,0,2,2,0,1,36,33,-1.094701752883104,True,SILVER
31,5,5,2,0,1,0,5,0,0,2,51,35,6.417926830619024,True,SILVER
32,0,11,0,4,0,1,0,4,0,2,27,38,-4.150707062250731,False,SILVER
33,4,9,0,2,0,1,0,3,0,1,24,34,-10.500895056669734,False,SILVER
34,11,6,6,0,0,1,5,1,0,1,47,38,2.4557140683418837,True,SILVER
35,11,6,3,1,0,1,3,2,0,1,41,26,6.530561976429603,True,SILVER
36,3,9,1,2,0,2,0,5,0,2,39,48,-1.4971777664378507,False,SILVER
37,11,1,4,0,0,0,1,2,0,1,26,15,6.473397780539159,True,SILVER
38,11,2,3,0,1,0,1,3,1,1,43,32,1.6914117478403838,True,SILVER
39,10,2,2,0,1,0,3,1,1,0,30,39,-3.5201268045146676,True,SILVER
40,8,10,3,2,0,2,1,4,1,1,30,46,-3.897197284620731,False,SILVER
41,3,11,0,3,0,2,2,2,0,2,25,36,-5.6096326938822045,False,SILVER
