,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,1,0,1,1,3,1,0,18,33,-7.528061409231796,False,DIAMOND
1,3,10,0,2,0,2,0,4,1,1,25,45,-6.344544082639281,False,DIAMOND
2,10,2,1,0,0,1,3,1,2,0,29,29,-1.9054736999411546,True,DIAMOND
3,2,11,0,3,0,1,2,1,0,2,17,20,-0.7479584017125518,False,DIAMOND
4,1,10,0,2,0,1,0,3,0,2,13,29,-9.786960487897389,False,DIAMOND
5,11,4,3,0,2,0,3,1,0,2,34,23,0.9127154200692758,True,DIAMOND
6,10,0,2,0,1,0,4,0,2,0,29,13,7.712820143341219,True,DIAMOND
7,9,10,1,5,1,3,6,1,1,1,52,46,4.841056624628656,True,DIAMOND
8,11,2,4,0,2,0,5,0,1,1,33,21,7.51778800721268,True,DIAMOND
9,11,3,4,0,2,0,4,1,2,0,48,25,8.129910917845848,True,DIAMOND
10,9,4,3,0,2,0,2,3,2,0,51,42,1.9547253662227604,True,DIAMOND
11,10,0,1,0,0,0,3,0,1,0,43,25,10.73290978412279,True,DIAMOND
12,10,3,2,0,1,0,4,0,1,1,35,25,2.8123392893078787,True,DIAMOND
13,9,5,2,0,1,1,2,2,0,2,40,40,2.793622804023883,True,DIAMOND
14,5,2,0,0,1,0,2,1,2,0,38,23,6.807714382186681,True,DIAMOND
15,10,5,2,0,2,0,2,3,0,2,31,32,-0.8325391475971529,True,DIAMOND
16,6,7,1,1,2,0,3,1,0,2,32,27,-2.6237037366543703,True,DIAMOND
17,11,2,5,0,2,0,3,1,2,0,52,36,2.2525059657714976,True,DIAMOND
18,8,1,1,0,0,0,3,0,1,1,22,15,6.543411887332688,True,DIAMOND
19,10,3,3,0,2,0,3,2,1,1,42,34,6.15818979250335,True,DIAMOND
20,6,11,1,4,1,4,2,5,1,1,38,41,1.7230428173147914,False,DIAMOND
21,10,4,2,0,2,0,4,1,1,1,33,23,4.929913079030456,True,DIAMOND
22,8,8,1,1,0,1,3,1,1,1,23,35,-6.277826839187092,False,DIAMOND
23,6,11,0,3,1,1,1,3,1,1,37,42,-3.1080523708239696,False,DIAMOND
24,11,6,6,1,2,1,2,4,1,1,37,36,4.260669591595082,False,DIAMOND
25,9,3,2,0,1,0,3,1,0,2,41,23,8.979842171538529,True,DIAMOND
26,6,6,0,1,1,1,2,3,1,1,26,32,0.5998747892534624,False,DIAMOND
27,2,11,0,3,1,1,1,3,0,2,23,42,-5.753992997067634,False,DIAMOND
28,7,7,1,0,1,2,2,3,1,1,31,41,-4.8233293400507975,True,DIAMOND
29,10,11,5,3,1,2,4,3,1,1,65,54,-1.050917540569408,False,DIAMOND
30,3,11,0,3,0,1,1,3,2,0,26,39,-3.0921813134833798,False,DIAMOND
31,11,1,3,0,1,0,1,2,2,0,47,22,11.321432080361085,True,DIAMOND
32,4,8,0,2,1,0,1,2,0,2,16,32,-11.459035929396663,False,DIAMOND
33,9,4,2,0,2,0,2,3,1,1,47,41,4.627416296966999,True,DIAMOND
34,2,3,0,0,1,0,1,3,0,2,18,40,-9.032362639170707,False,DIAMOND
35,3,10,0,1,0,1,1,3,2,0,14,34,-10.246086434543543,False,DIAMOND
36,5,7,0,1,0,1,0,4,1,1,21,31,-4.586855991618229,False,DIAMOND
37,7,8,2,1,2,0,1,3,1,1,40,28,8.324243521151736,True,DIAMOND
38,10,3,2,0,1,1,3,2,2,0,30,26,-0.7017382425107641,True,DIAMOND
39,6,8,1,2,1,1,0,4,1,1,23,43,-8.834394571211533,False,DIAMOND
