,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,2,0,1,0,0,0,0,0,0,79,71,2.6495559453515227,False,GOLD
1,4,2,2,2,0,0,0,0,0,0,80,67,5.325743138928807,True,GOLD
2,4,2,2,1,0,0,0,0,0,0,50,56,0.11210289491499736,True,GOLD
3,1,4,0,2,0,0,0,0,0,0,70,62,2.5670880224461285,False,GOLD
4,4,0,2,0,0,0,0,0,0,0,70,48,6.491706765970505,True,GOLD
5,4,3,3,1,0,0,0,0,0,0,83,75,2.2193307778317077,True,GOLD
6,1,4,0,1,0,0,0,0,0,0,94,90,1.3052148659071392,False,GOLD
7,4,3,2,1,0,0,0,0,0,0,83,67,3.614821789243287,True,GOLD
8,4,2,2,1,0,0,0,0,0,0,53,52,-2.4388889747608147,True,GOLD
9,4,1,2,0,0,0,0,0,0,0,68,58,2.2898641040344003,True,GOLD
10,4,4,2,2,0,0,0,0,0,0,62,56,0.08989074451991286,False,GOLD
11,4,2,2,0,0,0,0,0,0,0,47,57,-0.7168748847900019,True,GOLD
12,5,9,0,1,1,1,1,4,1,1,42,42,-2.689727668437392,False,GOLD
13,5,10,0,2,1,1,2,3,1,1,38,50,-3.1911932257047013,False,GOLD
14,8,6,1,1,2,0,1,3,1,1,34,19,9.272357951866624,True,GOLD
15,4,1,2,0,0,0,0,0,0,0,60,41,2.2898984549511994,True,GOLD
