,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,9,0,2,0,2,0,4,1,0,25,43,-11.052512343564992,False,SILVER
1,11,8,4,1,1,0,2,3,0,1,51,40,5.974321470988876,True,SILVER
2,3,10,0,2,0,1,0,4,1,0,8,24,-14.511979686935245,False,SILVER
3,3,11,0,3,0,2,0,5,1,1,13,33,-9.925582447538453,False,SILVER
4,11,1,3,0,0,0,3,0,1,1,41,25,7.468130500759685,True,SILVER
5,10,8,2,1,2,1,6,0,1,1,54,53,0.7076183033418602,True,SILVER
6,10,4,2,0,1,0,4,1,0,1,41,32,5.762302851265254,True,SILVER
7,1,10,0,2,0,1,0,3,1,1,27,46,-5.58756894713882,False,SILVER
8,6,3,1,0,1,0,3,1,2,0,42,23,11.181542710736416,True,SILVER
9,5,9,0,1,0,2,1,3,1,1,29,44,-6.885613471384886,False,SILVER
10,2,9,0,1,0,1,1,3,1,0,20,39,-9.70310821436393,False,SILVER
11,10,6,2,0,1,1,3,2,0,1,34,22,-5.013893837914139,True,SILVER
12,11,1,2,0,1,0,4,1,2,0,41,29,-0.43335514083886295,True,SILVER
13,2,11,0,4,0,1,0,4,0,2,12,34,-13.161881006969892,False,SILVER
14,3,10,0,3,0,2,3,3,0,1,39,56,-5.01458893885907,False,SILVER
15,0,9,0,2,0,1,0,3,0,2,14,34,-14.487487775306402,False,SILVER
16,10,6,2,0,0,2,2,3,0,2,31,31,2.0157653323019815,True,SILVER
17,11,0,2,0,1,0,4,0,1,0,39,13,12.810396960243757,True,SILVER
18,9,11,2,3,1,2,3,3,0,2,40,50,-9.178295485160056,False,SILVER
19,11,5,3,0,1,0,4,0,1,1,42,25,6.143017897387928,True,SILVER
20,9,2,2,0,0,0,1,2,0,1,39,22,13.29435139414165,True,SILVER
21,2,9,0,1,0,0,0,4,0,1,31,43,-3.361975600622081,False,SILVER
22,1,9,0,2,0,1,2,2,1,1,20,27,-2.2964884494510542,False,SILVER
23,10,5,2,0,2,0,2,2,0,2,35,23,11.550383297799826,True,SILVER
24,2,9,0,2,0,1,2,1,0,2,21,29,-0.23875900391794858,False,SILVER
25,10,2,2,0,1,0,2,2,2,0,40,19,11.338339390987116,True,SILVER
26,3,11,0,4,0,0,0,3,0,0,45,43,0.784687449007123,False,SILVER
27,1,11,0,2,0,1,0,4,0,1,14,28,-8.667014426855026,False,SILVER
28,11,2,6,0,2,0,4,1,1,0,59,45,3.71409537890154,True,SILVER
29,9,4,2,0,1,1,4,1,1,1,40,25,5.812791648923856,True,SILVER
30,6,1,1,0,0,0,1,2,0,1,28,23,3.6929861363628476,True,SILVER
31,7,10,2,2,1,1,1,5,0,1,48,49,-3.5785380043874895,False,SILVER
32,9,2,2,0,0,0,3,1,0,1,36,12,16.820735927072747,True,SILVER
33,3,10,0,2,0,2,2,3,0,2,33,45,-0.7365622483797267,False,SILVER
34,7,7,0,1,1,0,3,2,0,1,35,35,-0.3942264617832194,False,SILVER
