,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,0,5,0,2,1,3,0,2,26,26,3.6154409455309136,False,DIAMOND
1,3,11,0,4,1,2,2,3,0,2,28,33,1.4019385649729443,False,DIAMOND
2,10,4,2,0,1,0,3,1,2,0,32,22,6.266994468137703,True,DIAMOND
3,9,2,2,0,1,0,2,1,2,0,24,15,2.191257418372537,True,DIAMOND
4,0,11,0,3,0,1,0,4,0,2,14,30,-9.435484026370155,False,DIAMOND
5,10,7,3,0,2,0,4,1,0,2,49,30,2.924235739822535,True,DIAMOND
6,3,11,0,3,0,1,0,3,1,1,13,28,-9.969855063955265,False,DIAMOND
7,3,9,0,2,0,1,1,2,0,2,32,36,-0.9352264676643216,False,DIAMOND
8,10,4,2,0,1,0,4,0,2,0,28,17,8.917343150134528,True,DIAMOND
9,2,10,0,2,1,2,2,4,0,2,33,50,-4.4613433578860295,False,DIAMOND
10,3,8,0,1,0,1,1,3,2,0,22,32,-3.3225867986621154,False,DIAMOND
11,3,10,0,3,0,2,2,3,0,2,24,30,-1.516458444710473,False,DIAMOND
12,8,4,1,0,2,0,4,0,1,1,35,13,8.07089305497886,True,DIAMOND
13,7,6,0,0,2,0,4,1,1,0,34,25,3.9535041125293375,True,DIAMOND
14,4,10,0,2,0,1,2,2,0,1,30,41,-7.705939714905732,False,DIAMOND
15,2,11,0,3,0,1,0,4,1,1,10,33,-12.09954321292053,False,DIAMOND
16,7,3,1,0,0,1,2,1,1,1,28,17,6.105897380476868,True,DIAMOND
17,8,7,1,0,0,1,3,1,0,1,48,29,5.877441780677671,True,DIAMOND
18,1,7,0,0,0,1,2,1,0,2,25,37,-10.16825475514041,False,DIAMOND
19,2,10,0,2,0,2,1,3,0,1,25,50,-8.132998058800538,False,DIAMOND
20,3,10,0,3,0,2,0,5,1,0,34,49,-5.333885622089312,False,DIAMOND
21,5,8,0,1,1,1,3,2,1,0,32,40,-5.770152240539041,False,DIAMOND
22,7,5,1,0,0,2,3,2,1,1,33,21,6.4839635178378145,True,DIAMOND
23,9,1,1,0,0,1,3,0,2,0,34,21,8.195403126350634,True,DIAMOND
24,10,5,1,1,1,0,3,1,1,1,37,21,6.631764212835684,True,DIAMOND
25,10,1,2,0,0,1,2,1,2,0,37,16,11.2745359996322,True,DIAMOND
26,2,11,0,2,0,2,2,1,1,1,33,55,-5.640224155328966,False,DIAMOND
27,3,9,0,1,0,1,1,3,2,0,18,29,-5.226289588897046,False,DIAMOND
28,2,11,0,3,0,1,2,3,2,0,28,33,0.508711557649832,False,DIAMOND
29,3,10,0,2,0,1,1,2,1,1,17,33,-14.606036409391479,False,DIAMOND
30,4,3,0,0,0,0,3,1,2,0,27,15,7.210833769998594,True,DIAMOND
