,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,3,2,0,0,0,0,0,0,77,64,1.6136518498842065,True,SILVER
1,2,4,1,2,0,0,0,0,0,0,59,62,1.0768207996089885,False,SILVER
2,2,4,0,2,0,0,0,0,0,0,73,70,0.5233540892827975,False,SILVER
3,4,1,1,0,0,0,0,0,0,0,56,49,1.3620582999600828,True,SILVER
4,4,4,2,2,0,0,0,0,0,0,88,83,-1.007787279120592,True,SILVER
5,1,4,0,1,0,0,0,0,0,0,75,78,0.5565424721133354,False,SILVER
6,4,4,1,1,0,0,0,0,0,0,72,80,-1.808267328620559,False,SILVER
7,2,3,1,1,0,0,0,0,0,0,71,80,-2.917109067259574,False,SILVER
8,1,4,0,2,0,0,0,0,0,0,61,83,-2.45703507234947,False,SILVER
9,5,11,0,3,0,1,0,3,2,0,13,21,-8.040699296163652,False,SILVER
10,10,2,1,0,1,0,3,1,1,0,39,24,6.140586426996258,True,SILVER
