,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,10,0,2,0,1,1,2,0,2,10,15,-4.126402554746889,False,BRONZE
1,9,6,1,0,1,1,6,0,0,1,34,16,7.159684230465039,True,BRONZE
2,10,6,2,1,0,0,2,2,1,1,35,22,9.401357221354083,True,BRONZE
3,10,0,3,0,1,0,2,1,2,0,40,20,9.344119675915849,True,BRONZE
4,9,8,3,1,0,1,0,5,0,1,25,44,-12.772553226938328,False,BRONZE
5,11,3,3,0,0,0,3,1,2,0,36,24,5.477241230469083,True,BRONZE
6,5,5,0,0,1,0,3,1,1,1,38,22,4.276930950302933,True,BRONZE
7,0,10,0,2,0,1,2,3,0,1,22,28,-1.3132410524655072,False,BRONZE
8,11,6,4,1,2,0,2,2,0,2,30,33,-2.332647616633885,True,BRONZE
9,10,4,2,0,1,0,4,0,1,0,45,22,7.817496094695002,True,BRONZE
10,0,5,0,0,0,0,0,2,0,2,2,31,-21.165334858993344,False,BRONZE
11,8,7,1,0,0,1,4,1,1,1,37,28,6.025496873110008,True,BRONZE
12,7,7,1,1,1,0,4,1,1,0,34,28,4.833809773935279,True,BRONZE
13,10,7,2,1,1,0,4,2,2,0,58,38,8.785656440827879,True,BRONZE
14,4,6,0,0,0,1,0,3,1,1,14,32,-15.448005067417483,False,BRONZE
15,4,10,0,2,0,0,0,4,1,0,30,48,-10.360741827516684,False,BRONZE
16,4,8,0,1,0,1,1,3,1,0,42,43,-3.6667236654317676,False,BRONZE
17,7,4,1,0,1,0,4,0,2,0,38,31,7.32574014288128,True,BRONZE
18,4,11,0,7,0,2,3,4,1,0,45,55,-5.3432530104838065,False,BRONZE
19,2,9,0,1,0,0,1,2,0,2,18,30,-9.683546312849472,False,BRONZE
20,11,4,3,0,1,0,5,0,1,0,41,36,2.473134460440974,True,BRONZE
21,9,1,3,0,0,0,2,1,1,0,36,21,7.389344322016619,True,BRONZE
22,2,5,0,0,0,0,1,2,1,0,23,41,-8.902870688640874,False,BRONZE
23,5,9,0,2,3,0,3,4,1,1,45,48,-1.6118159897843896,False,BRONZE
24,5,9,0,1,1,0,3,3,1,0,40,35,0.4949372299848491,False,BRONZE
25,10,4,2,0,0,0,3,2,0,1,33,17,15.369610777874062,True,BRONZE
26,4,11,0,2,0,1,1,4,1,1,27,38,-2.0014193836868657,False,BRONZE
27,0,7,0,0,0,0,0,3,0,1,11,17,-7.947731520975765,False,BRONZE
28,11,0,3,0,0,0,3,0,2,0,39,13,17.08591144244038,True,BRONZE
29,8,11,1,4,0,2,5,1,0,2,46,25,11.43732944198996,True,BRONZE
30,2,4,0,0,0,0,1,2,0,2,15,29,-7.77474777073116,False,BRONZE
31,2,9,0,1,0,1,2,2,1,1,28,43,-7.989575104577106,False,BRONZE
32,11,2,2,0,1,0,2,2,0,2,26,15,7.969024836786431,True,BRONZE
