,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,1,1,0,1,0,2,1,2,0,27,16,3.9184875174642215,True,DIAMOND
1,7,9,2,1,1,2,1,4,0,2,56,52,2.464555612217808,True,DIAMOND
2,2,11,0,3,0,2,2,2,1,1,21,32,-3.212300389428229,False,DIAMOND
3,9,4,3,0,1,1,4,0,2,0,31,19,5.306106290915444,True,DIAMOND
4,8,5,1,1,2,0,0,4,0,2,30,29,0.7389499562856656,True,DIAMOND
5,10,3,2,0,1,0,3,1,1,1,52,38,4.856152829427316,True,DIAMOND
6,6,2,0,0,1,0,1,3,2,0,38,37,1.1654358529118625,True,DIAMOND
7,8,8,1,1,0,1,1,2,1,0,24,33,-4.180601611683741,True,DIAMOND
8,9,3,1,0,2,0,4,0,1,0,33,17,8.729213921300456,True,DIAMOND
9,2,11,0,2,0,1,2,1,0,2,12,31,-11.403888709033922,False,DIAMOND
10,9,2,1,0,1,0,3,0,1,1,44,16,14.9046418567231,True,DIAMOND
11,6,9,0,2,1,1,1,4,0,1,37,44,-3.9722975407235808,False,DIAMOND
12,5,7,0,2,0,2,1,4,2,0,24,28,-0.7850774531572995,False,DIAMOND
13,6,6,0,1,0,1,3,1,1,1,31,29,-0.5949575702598509,False,DIAMOND
14,9,6,2,1,3,0,2,4,2,0,37,41,-1.3097665416511717,False,DIAMOND
15,10,2,1,0,1,0,3,0,2,0,23,7,12.386482633856055,True,DIAMOND
16,9,2,2,0,1,0,3,0,2,0,42,19,9.887701696194029,True,DIAMOND
17,7,8,0,1,1,1,2,3,2,0,23,40,-8.210528470670404,False,DIAMOND
18,11,5,3,0,1,1,2,3,1,1,37,28,1.2662684112114562,True,DIAMOND
19,8,6,2,1,1,1,1,4,1,1,27,39,-7.879358831191901,False,DIAMOND
20,9,4,2,0,2,0,4,1,2,0,39,21,7.103986201915198,True,DIAMOND
21,4,10,0,2,0,2,2,3,0,1,32,42,-8.450936709929884,False,DIAMOND
22,9,6,2,1,1,0,3,2,1,1,34,33,-2.3451177174714175,False,DIAMOND
23,7,4,1,0,1,0,1,2,1,1,28,21,3.8257701225893896,True,DIAMOND
24,6,4,0,0,2,0,4,2,1,1,46,43,0.369042940272017,True,DIAMOND
25,4,11,0,5,1,2,1,4,0,2,30,31,0.785507003731297,False,DIAMOND
26,2,11,0,3,0,1,1,1,1,1,18,34,-11.5726011145371,False,DIAMOND
27,6,2,1,0,1,0,4,0,2,0,39,24,8.750956702623093,True,DIAMOND
28,11,7,2,1,2,1,3,2,1,1,38,31,1.2933611941119025,True,DIAMOND
29,11,3,3,0,1,0,2,2,1,1,34,24,4.362213385628031,True,DIAMOND
30,7,8,1,0,1,1,2,2,0,2,37,26,5.921137624223412,True,DIAMOND
31,7,8,1,1,1,1,5,1,1,1,35,29,1.0484360400289745,True,DIAMOND
32,2,8,0,2,0,1,1,2,1,0,19,28,-7.553815958103542,False,DIAMOND
33,10,5,2,0,2,0,4,1,2,0,29,28,-1.4074555123292285,True,DIAMOND
34,11,0,3,0,1,0,3,0,2,0,30,14,11.258430779649665,True,DIAMOND
35,2,8,0,2,0,1,2,2,1,1,16,23,-5.0064033598915145,False,DIAMOND
36,10,2,2,0,1,0,3,1,1,1,35,28,5.733293252534878,True,DIAMOND
37,3,10,0,2,1,1,1,3,1,1,17,43,-12.064081182251776,False,DIAMOND
