,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,8,0,2,0,0,0,4,2,0,32,47,-6.098923654734058,False,SILVER
1,11,4,4,0,1,0,3,1,1,1,40,38,-4.223767275779039,True,SILVER
2,10,4,1,0,0,1,3,2,1,0,44,29,6.049186562658257,True,SILVER
3,6,11,0,4,0,2,1,4,0,2,33,46,-2.859157695816087,False,SILVER
4,6,11,1,6,1,2,3,4,0,2,50,60,0.3359715263705283,False,SILVER
5,7,4,1,0,0,0,3,1,1,1,32,16,10.635133111367018,True,SILVER
6,1,7,0,0,0,1,0,4,0,2,15,28,-10.862564115727896,False,SILVER
7,5,5,0,0,0,0,2,1,0,2,21,12,5.7747017621680925,True,SILVER
8,2,11,0,3,0,0,0,2,1,1,14,28,-10.10013376914742,False,SILVER
9,5,9,0,3,1,2,4,1,1,0,42,51,-0.6465235179911346,False,SILVER
10,8,9,1,2,0,1,1,4,2,0,39,40,-0.22385372446359497,False,SILVER
11,2,9,0,1,0,1,0,3,1,0,22,32,-4.940232479836148,False,SILVER
12,3,9,0,1,0,0,0,2,1,0,21,46,-11.721790009618683,False,SILVER
13,8,1,2,0,0,0,2,1,0,2,46,28,6.995512283013504,True,SILVER
14,2,10,0,2,0,1,1,3,1,1,24,41,-13.419013744355574,False,SILVER
15,2,5,0,1,0,1,0,3,0,0,20,36,-7.422058374387781,False,SILVER
16,9,7,1,1,2,0,4,2,0,2,43,33,8.333863524017595,True,SILVER
17,11,4,3,0,1,0,5,0,0,2,36,21,8.089005910308309,True,SILVER
18,8,6,1,0,1,0,4,1,1,1,29,36,0.11112753189183877,True,SILVER
19,10,2,2,0,1,0,2,3,1,0,37,16,9.297033794825808,True,SILVER
20,0,8,0,2,0,0,2,1,2,0,9,29,-14.469750838223582,False,SILVER
21,7,9,2,4,0,1,3,2,1,1,34,29,7.906665024281416,True,SILVER
22,2,6,0,0,0,1,1,3,1,1,22,25,0.5747793558643721,False,SILVER
23,11,1,3,0,1,0,4,0,2,0,41,22,8.784244320831533,True,SILVER
24,8,8,1,1,1,0,4,1,1,1,56,32,12.276732693124316,True,SILVER
25,2,6,0,0,0,2,0,4,1,0,19,29,-6.704897841312352,False,SILVER
26,11,1,5,0,2,0,5,0,1,0,51,35,2.228479535660526,True,SILVER
27,6,10,0,2,0,2,3,3,2,0,31,51,-7.16551230396874,False,SILVER
28,4,9,0,2,0,1,0,4,1,0,24,32,-5.44173199449191,False,SILVER
29,5,11,2,6,2,1,3,6,0,2,59,52,-1.257438108145763,False,SILVER
30,1,11,0,3,0,1,0,2,0,2,15,21,3.5631059546248025,False,SILVER
31,9,4,2,0,2,0,4,1,1,1,47,56,-1.8700855821567046,True,SILVER
32,6,3,1,0,1,0,3,1,1,1,36,18,8.173597490575652,True,SILVER
33,10,6,2,0,1,0,3,2,1,1,52,45,8.193056339611594,True,SILVER
34,6,11,0,5,0,3,1,4,1,0,39,45,-0.07996449103916348,False,SILVER
35,2,10,0,2,0,1,0,3,1,1,10,31,-15.50198265581033,False,SILVER
36,10,10,2,1,1,3,5,2,1,1,57,53,4.931519993897481,True,SILVER
37,10,1,4,0,0,0,2,0,1,0,24,17,1.5457582989568621,True,SILVER
38,7,9,1,2,0,1,4,1,2,0,44,43,-1.6833797124256833,False,SILVER
39,8,0,0,0,0,0,4,0,1,0,33,21,6.34030173505289,True,SILVER
