,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,11,0,3,0,1,2,2,1,1,13,43,-15.386578749439359,False,PLATINUM
1,6,10,1,1,1,1,3,3,0,2,30,35,3.2568320496098977,False,PLATINUM
2,8,9,1,0,1,0,4,0,0,2,40,21,11.751853115985902,True,PLATINUM
3,9,9,2,2,1,1,3,3,1,1,36,49,-5.885497742833422,False,PLATINUM
4,6,10,0,2,1,1,1,4,1,1,31,58,-8.57123073163261,False,PLATINUM
5,4,8,0,1,1,0,2,2,0,2,35,39,-2.3765643746603544,False,PLATINUM
6,6,9,0,1,1,1,2,3,2,0,27,34,-3.054642957061361,False,PLATINUM
7,5,6,0,1,0,2,2,2,2,0,31,38,-3.1485400747347825,False,PLATINUM
8,10,0,2,0,1,0,2,1,1,0,33,17,9.721122033981267,True,PLATINUM
9,0,11,0,3,0,1,0,3,0,1,22,28,0.1878871276229006,False,PLATINUM
10,10,4,2,0,0,1,2,2,1,0,41,24,7.9980560341393385,True,PLATINUM
11,7,2,1,0,1,0,2,1,1,0,47,34,9.96232775358206,True,PLATINUM
12,0,11,0,3,0,1,0,2,1,1,19,39,-10.224821671719539,False,PLATINUM
13,1,11,0,4,0,1,0,4,1,1,25,33,-4.07706475182318,False,PLATINUM
14,5,10,0,2,1,1,1,3,2,0,25,45,-10.45282102875133,False,PLATINUM
15,3,11,0,3,0,1,1,2,0,2,19,33,-9.500449699234068,False,PLATINUM
16,7,11,1,3,1,2,1,5,0,2,58,55,4.241067910695342,True,PLATINUM
17,4,7,0,1,0,1,1,3,1,0,26,31,-1.9476643028575111,False,PLATINUM
18,6,11,1,3,1,1,2,2,1,0,40,45,-2.2851427851810655,False,PLATINUM
19,9,4,1,0,1,0,2,1,2,0,35,15,16.03583454873786,True,PLATINUM
20,9,4,2,0,2,0,4,1,0,2,35,23,7.8770349772431345,True,PLATINUM
21,3,10,0,2,1,1,0,5,0,2,30,52,-6.94229325710679,False,PLATINUM
22,2,11,0,3,0,2,1,3,2,0,15,35,-11.229695394857359,False,PLATINUM
23,11,4,4,0,1,0,1,3,0,1,29,19,4.783115923703015,True,PLATINUM
24,2,11,0,5,1,1,0,4,0,2,29,41,-2.452803772502243,False,PLATINUM
25,8,10,1,2,0,1,2,3,1,0,21,29,-4.196149173155689,False,PLATINUM
26,7,10,1,4,2,2,4,3,1,1,55,53,1.327071178122118,False,PLATINUM
27,9,3,1,0,1,1,4,1,0,1,39,36,-1.925692366665949,True,PLATINUM
28,10,5,3,0,1,0,3,1,1,1,42,24,9.180758268139435,True,PLATINUM
29,4,7,1,1,0,1,1,2,0,2,15,21,-1.3915499735781012,False,PLATINUM
30,9,10,3,2,1,2,5,1,1,1,64,62,0.40802636386881375,True,PLATINUM
31,11,1,4,0,1,0,3,2,2,0,45,25,7.949339038921551,True,PLATINUM
32,1,11,0,3,0,1,1,4,1,1,32,44,-2.241883612301187,False,PLATINUM
33,10,7,3,3,2,1,4,2,2,0,50,50,2.708064982627093,True,PLATINUM
