,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,11,0,3,0,1,1,2,1,0,34,45,-2.8583993415121256,False,BRONZE
1,10,11,2,5,2,2,5,2,2,0,57,40,3.8278683971311764,True,BRONZE
2,9,2,2,0,1,0,4,0,2,0,44,28,11.083055756623573,True,BRONZE
3,8,4,1,0,1,0,2,1,0,2,49,23,11.23159361906469,True,BRONZE
4,7,4,1,0,1,0,2,2,1,1,37,23,7.75954558826178,True,BRONZE
5,11,0,3,0,1,0,3,0,2,0,32,10,14.762262629307891,True,BRONZE
6,5,9,0,2,0,0,2,2,0,1,10,40,-17.242490474666855,False,BRONZE
7,5,11,0,3,0,1,1,4,0,2,34,39,-1.5422333643725352,False,BRONZE
8,11,3,2,0,0,0,3,1,0,0,47,41,-1.5744836565837517,True,BRONZE
9,6,8,0,1,0,1,2,2,0,2,31,42,-3.92764305626622,False,BRONZE
10,8,11,1,4,0,2,3,4,0,2,42,41,0.9522273207238641,True,BRONZE
11,6,9,0,2,1,1,4,1,1,1,43,46,-1.9752130314473888,False,BRONZE
12,3,11,0,3,0,1,1,3,0,1,20,35,-10.064170083871431,False,BRONZE
13,10,7,4,2,1,0,4,1,2,0,35,14,15.317122783611609,True,BRONZE
14,5,4,0,0,0,0,1,1,0,1,34,25,5.788112384939623,True,BRONZE
15,2,10,0,1,0,1,1,3,1,1,28,41,-3.02693435207334,False,BRONZE
16,7,9,1,1,1,0,3,2,0,2,39,44,-1.6916281816501666,False,BRONZE
17,6,8,0,1,1,1,2,3,1,0,29,43,-4.490929589163365,False,BRONZE
18,7,10,1,2,0,2,1,4,0,2,20,37,-6.627464931849026,False,BRONZE
19,7,7,1,0,1,0,4,0,0,2,47,27,7.411946250004576,True,BRONZE
20,4,10,0,2,0,1,0,5,0,2,34,49,-3.5440474484411126,False,BRONZE
21,2,11,0,4,0,2,2,3,0,1,37,48,-1.267085515980277,False,BRONZE
22,6,8,0,1,0,1,1,4,2,0,27,34,-4.85959050330019,False,BRONZE
23,7,5,1,0,2,0,3,2,0,2,38,25,6.300302212166805,True,BRONZE
24,10,7,2,1,1,1,4,1,1,1,45,22,14.20147130184679,True,BRONZE
25,6,6,0,1,1,1,2,3,1,0,29,40,-1.8624303506159237,False,BRONZE
26,7,8,1,1,0,2,4,0,0,1,25,50,-10.04083834381511,False,BRONZE
27,8,7,1,1,1,1,4,1,1,0,29,50,-4.283190073471822,False,BRONZE
28,5,10,1,2,0,1,3,2,0,1,24,42,-7.293436748162122,False,BRONZE
29,2,4,0,0,0,1,1,3,0,2,14,19,-3.765722647120505,False,BRONZE
30,3,11,0,3,0,1,2,3,1,0,24,38,-7.6948914571011,False,BRONZE
31,9,2,3,0,1,0,3,1,2,0,31,18,7.178484828284475,True,BRONZE
32,8,5,1,0,0,0,3,0,0,2,40,25,7.777582845043675,True,BRONZE
33,9,3,3,0,1,0,2,2,2,0,28,13,12.977520908452242,True,BRONZE
