,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,4,0,0,1,0,3,2,2,0,36,45,-4.117688444332273,False,SILVER
1,0,11,0,3,0,1,2,2,0,2,17,33,-9.185897039387214,False,SILVER
2,3,9,0,2,0,1,1,3,1,1,15,34,-11.547530451029665,False,SILVER
3,1,11,0,3,0,1,0,3,1,1,28,43,-9.005682663399952,False,SILVER
4,5,9,0,2,1,1,0,5,1,1,33,59,-7.646073180473969,False,SILVER
5,10,1,2,0,0,0,3,0,1,0,32,17,11.407710193901163,True,SILVER
6,9,9,1,1,0,1,0,3,0,1,36,31,4.908244699537626,True,SILVER
7,10,7,2,1,2,0,4,1,0,2,45,30,4.335426878900456,True,SILVER
8,8,3,1,0,0,0,2,1,1,1,41,24,9.649846966720055,True,SILVER
9,11,4,4,0,2,0,4,1,0,1,51,37,3.3872604491105918,True,SILVER
10,8,5,2,0,2,0,3,2,1,0,49,40,-0.8795493550356639,True,SILVER
11,11,1,2,0,1,0,4,0,1,1,45,36,5.151542487188237,True,SILVER
12,3,10,0,2,0,1,1,3,0,2,32,54,-3.9449795669049337,False,SILVER
13,2,6,0,0,0,1,1,3,1,1,21,40,-10.726160935189228,False,SILVER
14,4,11,0,3,1,1,0,4,0,1,28,50,-11.50826411598112,False,SILVER
15,9,7,2,3,2,0,4,2,0,2,44,36,2.4789209918333626,True,SILVER
16,4,8,0,1,0,1,2,2,1,1,26,30,-4.213285812689513,False,SILVER
17,2,9,0,1,1,0,1,3,0,2,25,38,-5.1191915168328705,False,SILVER
18,8,2,1,0,1,0,3,1,1,1,33,29,9.66216194118195,True,SILVER
19,6,9,1,2,0,1,1,3,1,1,21,34,-6.924828143128572,False,SILVER
20,6,10,1,2,0,1,1,4,1,1,32,44,-7.697393168877859,False,SILVER
21,2,10,0,2,0,2,1,3,0,1,37,54,-4.0500506297668935,False,SILVER
22,0,10,0,3,0,0,0,3,1,0,15,38,-14.33263706417899,False,SILVER
23,11,3,3,0,1,0,4,0,0,2,41,26,6.606105517331585,True,SILVER
24,10,3,1,0,1,0,2,1,1,1,36,22,8.479718402464812,True,SILVER
25,11,1,6,0,0,0,3,1,1,0,49,40,2.821405767545336,True,SILVER
26,10,3,3,0,1,0,2,0,1,0,39,26,7.871157135478441,True,SILVER
27,2,11,0,4,0,3,2,3,0,2,32,50,-3.889654091590188,False,SILVER
28,10,0,2,0,0,0,2,1,1,0,21,16,6.761383949424463,True,SILVER
29,10,5,2,0,2,0,5,0,1,0,51,25,11.8369885285559,True,SILVER
30,9,1,1,0,0,0,3,0,1,1,45,20,7.665916760709486,True,SILVER
31,10,2,2,0,0,0,2,2,1,1,39,16,11.614196009303534,True,SILVER
32,10,4,2,0,1,0,3,0,2,0,39,18,9.539129671848116,True,SILVER
33,9,4,2,0,1,0,1,2,1,0,34,20,8.10589907733322,True,SILVER
34,6,3,0,0,1,0,2,1,2,0,34,10,14.65278359019829,True,SILVER
35,10,3,3,0,0,1,5,0,0,2,74,43,7.085665427351977,True,SILVER
36,2,9,0,1,0,1,1,2,1,1,16,38,-11.941659170577104,False,SILVER
37,10,5,3,0,1,0,3,1,0,2,33,33,0.6702367382523207,True,SILVER
38,7,1,0,0,1,0,2,1,2,0,37,13,12.609195994629271,True,SILVER
39,11,2,3,0,1,0,2,1,2,0,28,13,12.714005381611052,True,SILVER
40,5,8,0,1,1,1,3,2,2,0,45,43,-3.4093151256302363,False,SILVER
41,11,7,3,1,2,0,1,3,1,0,37,42,-0.2482864315333586,True,SILVER
42,1,8,0,1,0,1,0,4,0,2,24,37,-2.8481943819044275,False,SILVER
43,8,1,2,0,1,0,3,0,1,1,37,14,12.03967686979119,True,SILVER
