,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,5,0,0,0,0,3,0,0,1,33,16,6.899798006650109,True,BRONZE
1,4,6,0,1,0,0,2,2,0,2,39,22,11.043995545214965,True,BRONZE
2,11,4,3,0,2,0,3,2,2,0,30,29,1.7049528376173342,True,BRONZE
3,5,3,0,0,0,0,1,2,1,0,34,13,11.865497806415618,True,BRONZE
4,2,9,0,1,0,1,0,3,0,2,9,35,-16.594469595636486,False,BRONZE
5,6,11,0,3,0,1,1,3,0,2,16,44,-13.931203102380575,False,BRONZE
6,3,10,0,2,0,1,3,2,0,0,29,34,-0.7818420821418499,False,BRONZE
7,1,10,0,2,0,0,1,3,0,1,25,42,-7.600008968289387,False,BRONZE
8,6,2,0,0,1,0,2,2,0,0,38,20,8.386640430731418,True,BRONZE
9,4,4,1,2,0,0,0,0,0,0,72,62,4.432175309859801,False,BRONZE
10,10,6,1,0,1,3,1,5,2,0,44,46,-0.45880481908765347,True,BRONZE
11,2,9,0,2,0,0,0,3,0,2,12,36,-9.100330076034957,False,BRONZE
12,8,2,1,0,0,0,2,1,0,1,47,30,8.693720369806243,True,BRONZE
13,0,11,0,3,0,0,1,2,0,2,19,33,-10.773722578197408,False,BRONZE
14,3,4,1,2,0,0,0,0,0,0,76,76,-1.3244085002415176,False,BRONZE
15,1,4,0,3,0,0,0,0,0,0,67,73,-1.8631816713715992,False,BRONZE
16,5,11,0,3,1,0,3,3,0,1,40,40,1.7062338755492519,False,BRONZE
17,4,7,0,1,0,1,0,5,0,0,22,39,-3.5108612751607993,False,BRONZE
18,9,9,3,2,2,0,2,4,0,1,51,39,4.715950415814326,True,BRONZE
19,1,11,0,3,0,1,1,3,0,2,20,26,-7.269618607242549,False,BRONZE
20,2,8,0,1,0,0,1,3,0,2,21,35,-9.235938161800192,False,BRONZE
21,8,9,0,1,0,1,2,4,2,0,50,53,-0.13836908253932023,False,BRONZE
22,2,11,0,4,0,1,1,4,1,1,26,23,3.5713786649699486,False,BRONZE
