,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,0,0,0,1,0,2,1,2,0,41,23,8.706695146688006,True,BRONZE
1,2,11,0,4,0,2,2,3,0,2,16,33,-9.283974106742392,False,BRONZE
2,10,0,2,0,1,0,3,0,1,0,40,27,9.370450371072671,True,BRONZE
3,10,5,2,0,1,1,4,1,0,1,49,34,4.391638122587565,True,BRONZE
4,3,5,0,1,0,1,1,2,0,2,24,34,-5.700703910139282,False,BRONZE
5,5,2,1,0,1,0,3,1,1,1,30,11,15.015671985052492,True,BRONZE
6,4,2,0,0,1,0,3,0,1,1,32,16,15.017895200047686,True,BRONZE
7,0,8,0,0,0,1,0,3,0,2,20,25,0.26424790540441734,False,BRONZE
8,3,9,0,2,0,1,3,2,0,2,26,24,2.891690194461134,False,BRONZE
9,5,11,2,3,0,2,1,4,0,2,32,49,-8.170050745366794,False,BRONZE
10,11,3,3,0,2,0,3,2,2,0,46,17,11.494312843344133,True,BRONZE
11,2,10,0,2,0,1,0,4,1,1,10,32,-13.925763996231066,False,BRONZE
12,3,9,0,2,0,2,1,4,1,1,38,47,-1.4078931985369465,False,BRONZE
13,4,10,0,2,0,2,1,4,0,1,41,48,-2.0287898194690897,False,BRONZE
14,9,4,2,0,1,0,5,0,1,0,43,38,3.2385256625632692,True,BRONZE
15,2,9,0,2,0,1,2,2,1,1,29,34,-2.142358519470818,False,BRONZE
16,8,5,1,0,1,1,2,3,2,0,49,45,2.1733050984151845,True,BRONZE
17,2,7,0,1,0,1,3,2,2,0,35,31,4.2085172038720415,False,BRONZE
18,7,4,1,0,1,0,0,4,2,0,25,32,-6.800606089432669,True,BRONZE
19,10,0,2,0,0,0,2,0,1,0,37,12,12.177435827429868,True,BRONZE
20,5,9,0,1,1,1,1,4,2,0,29,41,-3.8420625694880997,False,BRONZE
21,9,2,2,0,1,0,3,1,2,0,23,14,11.813742142959686,True,BRONZE
22,10,4,2,0,0,1,3,3,0,2,52,38,4.276949607875103,True,BRONZE
23,6,2,0,0,1,0,2,2,1,0,35,23,7.913088333613196,True,BRONZE
24,3,5,0,0,1,0,3,1,0,2,33,21,4.331383422632349,True,BRONZE
25,11,9,4,2,2,1,5,1,0,2,56,42,9.63889198068226,True,BRONZE
26,7,8,0,1,0,1,3,2,2,0,36,35,-0.45260325291211956,False,BRONZE
27,9,7,3,1,1,1,3,2,2,0,28,36,-0.9118081016379307,False,BRONZE
28,11,2,3,0,0,0,1,3,1,1,35,18,9.063149532934325,True,BRONZE
29,7,7,1,1,1,0,4,1,0,2,48,22,11.947850549827322,True,BRONZE
30,1,4,0,2,0,0,0,0,0,0,41,54,-2.0672436650860604,False,BRONZE
31,5,9,0,1,0,1,0,4,1,0,17,38,-16.476771210254817,False,BRONZE
32,4,8,0,2,0,1,1,4,1,1,31,38,-1.2261221023370368,False,BRONZE
33,1,5,0,0,0,0,3,2,1,0,29,38,-5.5658325120041425,False,BRONZE
34,6,8,1,4,1,2,5,2,0,1,49,37,5.149126479831942,True,BRONZE
35,8,2,1,0,1,0,4,0,1,1,51,22,12.600595742121762,True,BRONZE
36,1,10,0,2,0,1,0,4,2,0,17,42,-8.98408866947112,False,BRONZE
37,11,4,3,0,1,0,3,2,0,2,45,25,11.98685538246508,True,BRONZE
38,4,2,0,0,0,0,1,1,1,0,34,18,11.38904492860361,True,BRONZE
39,9,6,2,1,1,1,3,2,1,0,37,30,1.069173073259563,True,BRONZE
40,5,9,0,1,0,2,3,3,0,2,26,34,-6.921596843123346,False,BRONZE
41,3,8,0,1,0,1,3,4,0,2,38,38,-1.8113066753804716,False,BRONZE
