,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,7,0,0,0,1,0,3,0,1,11,40,-16.735277670291282,False,BRONZE
1,10,3,2,0,1,0,2,1,1,1,33,21,6.07064954505622,True,BRONZE
2,3,6,0,1,0,0,2,1,2,0,21,30,-3.5521682841970943,False,BRONZE
3,2,4,0,2,0,0,0,0,0,0,58,51,0.8687516666654815,False,BRONZE
4,1,4,0,2,0,0,0,0,0,0,49,59,-5.475887394381303,False,BRONZE
5,9,7,1,0,1,1,3,2,1,1,40,41,3.778772094953986,True,BRONZE
6,10,6,3,0,3,0,5,1,2,0,36,27,1.6587943871092747,True,BRONZE
7,2,9,0,1,0,2,1,3,1,0,24,35,-6.691000163301034,False,BRONZE
8,9,4,2,0,1,0,4,0,1,0,49,34,9.041224559337145,True,BRONZE
9,7,2,1,0,1,0,2,0,2,0,18,12,12.968922152897644,True,BRONZE
10,4,2,2,2,0,0,0,0,0,0,69,51,5.325407217613538,True,BRONZE
11,4,1,1,0,0,0,0,0,0,0,61,49,2.1556699693269934,True,BRONZE
12,6,5,1,0,0,0,3,0,2,0,32,20,5.447526442458944,True,BRONZE
13,8,4,1,0,1,0,4,0,2,0,40,21,6.461965184312504,True,BRONZE
14,4,4,0,0,1,0,4,0,2,0,28,19,7.747022690553905,True,BRONZE
15,4,3,2,1,0,0,0,0,0,0,69,65,0.10948461230508855,True,BRONZE
16,9,2,2,0,1,0,1,2,1,1,33,17,10.359457982459062,True,BRONZE
