,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,6,2,1,1,1,4,1,1,0,49,39,1.7082657581216552,True,BRONZE
1,4,10,0,2,0,1,3,2,1,1,30,56,-6.926542961746037,False,BRONZE
2,5,8,0,1,0,1,0,4,2,0,21,39,-7.3175401178849455,False,BRONZE
3,9,1,2,0,1,0,3,0,2,0,28,9,13.431787672531556,True,BRONZE
4,11,2,6,0,1,0,3,2,1,0,37,42,-2.3335286493123135,True,BRONZE
5,7,10,1,2,1,1,3,4,1,0,39,52,-3.885523738729688,False,BRONZE
6,3,7,0,2,0,1,0,3,2,0,23,40,-8.606596322067055,False,BRONZE
7,10,6,2,0,1,1,3,3,0,2,47,53,-3.6202052265852416,True,BRONZE
8,7,2,1,0,1,0,2,1,2,0,34,24,7.094089277765519,True,BRONZE
9,11,3,2,0,1,0,2,1,1,1,41,36,4.365232051555992,True,BRONZE
10,6,2,0,0,0,0,2,0,2,0,26,33,-2.8347863369937087,True,BRONZE
11,6,1,0,0,1,0,3,0,1,1,36,17,11.279907575364916,True,BRONZE
12,6,9,0,3,3,0,4,1,2,0,42,47,-4.027705332330584,False,BRONZE
13,9,8,2,2,0,1,2,3,0,1,46,48,3.0495158636483666,True,BRONZE
14,9,3,2,0,0,0,2,0,2,0,31,12,13.828790092119366,True,BRONZE
15,4,10,0,2,0,2,3,2,0,2,27,43,-9.941504356544435,False,BRONZE
16,11,2,5,0,2,0,4,1,2,0,45,33,4.031985559847165,True,BRONZE
17,10,2,3,0,1,0,3,2,1,1,46,38,0.4513923526211485,True,BRONZE
