,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,9,2,2,2,0,2,2,0,2,29,16,8.405560198434948,False,DIAMOND
1,11,5,3,0,0,1,3,0,1,1,31,14,8.71462484499439,True,DIAMOND
2,1,11,0,3,0,1,2,2,0,2,20,27,-4.589753207386607,False,DIAMOND
3,4,4,3,2,0,0,0,0,0,0,58,70,-1.4686874172593605,False,DIAMOND
4,3,10,0,2,0,1,2,1,0,2,24,38,-5.806086033923876,False,DIAMOND
5,4,9,0,1,0,1,0,3,1,1,9,27,-13.636715627584685,False,DIAMOND
6,10,10,3,2,0,2,1,4,2,0,47,38,2.9367031774328254,False,DIAMOND
7,8,6,2,1,0,2,3,3,1,1,45,38,0.8694292427836459,True,DIAMOND
8,8,1,2,0,1,0,1,2,0,1,26,15,6.522643449047386,True,DIAMOND
9,6,2,1,0,0,0,3,1,2,0,30,10,14.307259729841697,True,DIAMOND
10,2,7,0,1,0,1,0,4,0,2,16,28,-11.09986856309687,False,DIAMOND
11,8,4,2,0,1,0,3,1,0,2,36,22,8.769455477926925,True,DIAMOND
12,9,1,1,0,1,0,3,0,1,1,33,16,8.324004140493606,True,DIAMOND
13,0,10,0,1,0,1,1,2,0,2,13,32,-10.86313202512165,False,DIAMOND
14,10,3,2,0,2,0,3,2,0,2,45,38,2.1733652087856115,True,DIAMOND
15,10,2,2,0,1,0,2,0,2,0,26,12,4.297019150698482,True,DIAMOND
16,11,5,2,0,1,0,2,2,2,0,50,32,2.9881308932259856,True,DIAMOND
17,3,7,0,1,0,2,4,0,0,2,21,34,-4.300903131418259,False,DIAMOND
18,11,2,3,0,2,0,4,1,2,0,49,28,5.912239787599042,True,DIAMOND
19,3,7,0,1,0,1,0,4,0,2,12,31,-10.25785905054402,False,DIAMOND
20,4,10,0,2,1,1,0,4,1,1,28,34,-0.33339695829269544,False,DIAMOND
21,11,3,2,0,1,0,1,2,0,2,24,10,10.889170620326205,True,DIAMOND
22,9,3,2,0,1,0,3,0,1,1,28,14,11.9892673922819,True,DIAMOND
23,1,9,0,1,0,1,0,3,0,2,17,33,-9.667741424684564,False,DIAMOND
24,5,11,0,3,0,2,0,4,1,1,29,53,-9.419630734951511,False,DIAMOND
25,4,1,0,0,1,0,4,0,2,0,36,21,9.790191994458446,True,DIAMOND
26,10,1,2,0,0,0,2,0,1,1,41,16,14.655626160539683,True,DIAMOND
27,11,9,5,2,4,0,2,4,0,2,47,47,1.243351184714804,True,DIAMOND
28,3,11,0,3,0,1,1,2,0,2,19,32,-4.191843861890817,False,DIAMOND
29,11,5,2,0,1,1,0,4,1,1,48,32,7.849402683016528,True,DIAMOND
30,3,8,0,2,0,1,2,2,1,1,29,35,-0.25878660804813336,False,DIAMOND
31,3,7,0,1,1,0,1,3,2,0,24,32,-2.9777936993710696,False,DIAMOND
32,6,5,1,0,0,1,0,4,2,0,11,34,-12.539904075422399,False,DIAMOND
33,11,1,3,0,1,0,4,1,1,1,40,36,1.3424313200477584,True,DIAMOND
34,6,10,1,4,2,0,3,2,0,2,28,29,-0.5686414484775426,False,DIAMOND
35,11,0,3,0,1,0,3,0,1,1,21,8,5.985557165145252,True,DIAMOND
