,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,0,4,2,0,2,4,1,0,59,69,-1.8001020931462222,False,IRON
1,11,5,3,1,2,0,6,0,1,1,53,39,5.410268690603225,True,IRON
2,9,2,2,0,1,0,2,2,2,0,26,28,-1.9873966263029743,True,IRON
3,0,11,0,2,0,1,0,3,0,1,23,38,-16.803892702579855,False,IRON
4,11,1,3,0,1,0,1,2,2,0,36,20,8.355262748043792,True,IRON
5,1,11,0,3,0,1,2,2,2,0,28,43,-11.361242779034868,False,IRON
6,1,8,0,1,0,1,0,3,0,2,7,40,-17.609495082498295,False,IRON
7,3,11,0,4,1,1,0,5,0,2,29,30,-0.6532850997200654,False,IRON
8,8,6,1,0,2,0,3,2,0,1,42,39,3.245852236008595,True,IRON
9,2,11,0,4,0,1,1,3,0,2,18,42,-12.60578586737978,False,IRON
10,9,11,3,3,1,0,1,5,1,0,53,52,3.5722352158612125,False,IRON
11,2,6,0,1,0,1,2,1,0,2,26,34,-5.983811878148352,False,IRON
12,5,11,1,2,1,1,1,3,1,0,33,49,-3.6800594598987004,False,IRON
13,5,10,0,4,0,0,1,4,0,2,45,62,-6.106693438226692,False,IRON
14,11,7,3,1,0,1,4,3,1,1,42,33,6.210144629624125,True,IRON
15,10,1,2,0,1,0,2,1,1,1,42,14,12.294963819491652,True,IRON
16,5,9,0,2,1,1,3,2,0,2,49,61,-5.724328010196487,False,IRON
17,1,11,0,3,0,1,1,2,0,2,23,43,-12.694710296066312,False,IRON
18,11,0,2,0,0,0,2,1,1,0,32,13,15.252631110587487,True,IRON
19,7,11,2,4,1,1,0,6,0,2,45,55,-2.609723932535431,False,IRON
20,10,0,3,0,1,0,4,0,1,1,41,17,15.455820906210416,True,IRON
21,10,6,2,0,2,0,1,3,1,0,59,32,6.031946331265594,True,IRON
22,4,11,0,3,0,1,0,5,1,0,30,47,-9.307666203899977,False,IRON
23,7,11,0,4,1,1,1,3,0,2,37,44,-5.87717033974625,False,IRON
24,11,5,3,0,1,0,3,1,2,0,47,24,7.888353669772535,True,IRON
25,7,2,1,0,1,0,3,1,0,1,32,19,8.98483405842105,True,IRON
26,3,11,0,3,0,0,1,2,0,2,17,32,-16.856858180813028,False,IRON
27,4,3,0,0,0,0,2,0,1,1,30,13,13.809951789079658,True,IRON
28,1,8,0,1,0,0,0,4,1,1,16,38,-12.914516719551187,False,IRON
29,11,4,2,0,1,0,3,2,1,1,46,32,3.7957362930800613,True,IRON
30,10,5,2,0,1,0,3,1,0,2,48,41,2.80547148416629,True,IRON
31,4,11,2,3,1,1,1,4,1,0,40,45,-4.344551697131244,False,IRON
32,2,10,0,2,0,0,0,3,1,0,28,38,-8.085746121071494,False,IRON
33,9,4,1,0,1,0,3,0,0,2,37,25,8.493900134124772,True,IRON
34,9,9,1,4,2,0,3,3,1,0,57,37,6.577924802966642,True,IRON
35,2,11,0,4,0,2,1,4,0,2,32,43,-2.435402413942228,False,IRON
36,8,3,2,0,0,0,1,2,2,0,41,15,9.162537329641463,True,IRON
37,2,7,0,1,0,0,1,2,1,1,26,36,-7.2532992279557575,False,IRON
38,11,0,3,0,1,0,4,0,1,1,34,15,13.858874500546705,True,IRON
39,2,7,0,1,0,1,0,3,1,1,27,44,-8.717794625623327,False,IRON
