,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,2,0,2,1,4,1,1,22,46,-11.561392509674832,False,SILVER
1,5,11,0,3,1,0,3,1,0,2,21,37,-6.6756354665550575,False,SILVER
2,10,5,1,1,1,1,5,0,1,1,35,34,-0.6841590201163399,True,SILVER
3,3,8,0,1,1,0,0,4,0,1,27,34,-2.531739998847044,False,SILVER
4,9,7,2,0,0,2,5,1,1,1,47,45,1.1319244643246336,True,SILVER
5,10,1,1,0,2,0,4,0,2,0,42,32,6.771837517601163,True,SILVER
6,8,3,2,0,0,0,4,0,1,1,47,20,11.194576553750927,True,SILVER
7,0,11,0,3,0,1,0,3,0,2,15,36,-11.303009537859005,False,SILVER
8,0,10,0,2,0,1,2,3,0,2,16,40,-15.101417925043187,False,SILVER
9,2,11,0,3,0,1,0,4,0,1,12,43,-13.582161576967863,False,SILVER
10,2,10,0,3,0,1,1,3,0,2,29,35,-2.20809094617087,False,SILVER
11,4,8,0,1,0,1,3,2,2,0,31,45,-6.294184955334629,False,SILVER
12,9,2,1,0,2,0,2,2,2,0,46,34,5.225484685208187,True,SILVER
13,8,1,1,0,1,0,4,0,2,0,29,14,7.160246025573073,True,SILVER
14,9,3,3,0,1,0,4,1,2,0,28,15,8.057455175745126,True,SILVER
15,7,4,1,0,1,1,4,0,0,2,46,41,5.034717427678423,True,SILVER
16,8,8,1,2,2,2,3,5,1,0,43,46,-0.7950847342372356,False,SILVER
17,0,9,0,3,0,1,2,2,1,1,9,27,-14.93795989773243,False,SILVER
18,3,10,0,2,0,1,1,4,0,1,30,44,-7.789785084008656,False,SILVER
19,10,4,2,0,2,0,2,2,1,1,40,36,1.1819289163660116,True,SILVER
20,11,2,3,0,1,0,4,1,1,1,39,21,9.305709202978033,True,SILVER
21,10,6,2,0,1,0,4,1,0,1,48,32,9.780029211055663,True,SILVER
22,9,2,1,0,0,0,3,0,1,1,25,18,3.951996907409857,True,SILVER
23,6,10,0,2,0,1,1,5,1,0,35,42,-2.7167192229026185,False,SILVER
24,8,6,1,0,1,1,4,0,1,1,34,9,11.261404042447502,True,SILVER
