,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,1,1,0,1,0,3,0,2,0,38,21,9.521733063690043,True,BRONZE
1,11,8,6,3,3,0,4,4,0,2,40,50,-1.0592183763295537,True,BRONZE
2,0,11,0,2,0,1,0,4,0,2,15,34,-11.90442274072442,False,BRONZE
3,8,9,2,1,1,0,2,4,1,1,44,56,-3.111959482565865,False,BRONZE
4,1,4,0,2,0,0,0,0,0,0,75,76,-2.0863904696630797,False,BRONZE
5,4,0,3,0,0,0,0,0,0,0,65,67,-0.017937249102686792,True,BRONZE
6,8,9,1,1,0,0,1,3,2,0,38,32,3.8777532936086914,True,BRONZE
7,6,11,0,2,0,1,2,3,0,2,44,45,-0.898846706688154,False,BRONZE
8,9,3,1,0,1,0,1,2,0,0,32,28,2.5399942126631387,True,BRONZE
9,8,7,3,1,0,1,3,1,1,1,42,40,4.600301259514936,True,BRONZE
10,5,7,0,1,0,2,2,3,2,0,18,19,-4.475201883413185,False,BRONZE
11,2,4,0,2,0,0,0,0,0,0,49,57,-2.967685920095171,False,BRONZE
12,11,6,3,1,0,0,3,1,1,1,43,20,11.153645144470268,True,BRONZE
13,5,4,0,0,0,0,1,1,0,1,38,25,4.184327102587453,True,BRONZE
14,8,1,1,0,1,0,3,0,1,0,34,9,16.135788010162997,True,BRONZE
15,7,2,2,0,0,0,4,0,2,0,26,11,10.124615887091267,True,BRONZE
16,8,6,2,1,1,0,4,1,1,0,36,10,15.03456451136562,True,BRONZE
17,1,9,0,2,0,1,0,2,0,2,25,28,-0.8404441535896794,False,BRONZE
18,6,10,0,4,0,2,1,4,0,2,39,47,0.43299546911948283,False,BRONZE
19,2,4,1,2,0,0,0,0,0,0,75,62,1.9538100119654587,False,BRONZE
