,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,8,0,1,0,1,0,3,1,1,14,41,-11.366800905011416,False,MASTER
1,5,11,0,2,1,1,2,3,2,0,39,34,1.2052542172943035,False,MASTER
2,3,10,0,1,0,1,0,3,0,2,21,37,-8.522518256270907,False,MASTER
3,4,10,0,1,0,2,3,1,0,2,31,41,-5.922400467129613,False,MASTER
4,8,4,1,0,1,1,4,0,2,0,45,26,6.0803190407727215,True,MASTER
5,2,10,0,2,0,1,1,2,1,1,17,33,-11.882000397385234,False,MASTER
6,9,4,2,0,1,0,3,1,1,1,27,11,8.998584480414074,True,MASTER
7,1,10,0,1,0,1,1,2,1,1,8,26,-12.636867737229373,False,MASTER
8,10,2,2,0,1,0,4,1,0,2,29,15,5.319994754453639,True,MASTER
9,10,0,2,0,1,0,3,0,1,1,27,9,12.266194909795363,True,MASTER
10,2,4,2,1,0,0,0,0,0,0,61,55,0.1195448639570742,False,MASTER
11,4,3,2,2,0,0,0,0,0,0,89,80,-0.40258791474485633,True,MASTER
12,10,3,3,0,3,0,3,4,1,1,52,49,1.0620083738740789,True,MASTER
13,9,5,3,0,2,0,1,3,0,0,27,23,2.5361723759943047,True,MASTER
14,7,1,1,0,1,0,2,1,2,0,43,30,7.270989642692832,True,MASTER
15,1,7,0,1,0,1,0,4,0,2,10,23,-11.516950760922512,False,MASTER
16,2,11,0,3,1,0,2,2,0,2,13,28,-10.576685565881881,False,MASTER
17,10,8,2,0,1,0,2,3,2,0,49,26,5.832485623154085,True,MASTER
18,7,3,1,0,1,0,4,0,2,0,34,18,6.8374094304736275,True,MASTER
19,1,10,0,2,0,1,0,3,0,2,13,29,-10.135886838994075,False,MASTER
20,7,4,1,0,2,0,2,3,2,0,29,28,-3.3978827255447044,True,MASTER
21,2,9,0,1,0,1,1,3,0,2,23,38,-7.6843645306635295,False,MASTER
22,3,9,0,1,0,0,3,0,1,1,22,16,2.705853020262367,False,MASTER
23,8,7,2,1,1,1,4,1,2,0,31,28,2.9281047832098253,True,MASTER
24,0,9,0,1,1,0,1,3,1,1,19,41,-9.76007938023637,False,MASTER
25,2,9,0,2,0,1,3,2,1,1,23,34,-1.2895153542741227,False,MASTER
26,7,5,1,1,0,1,3,0,2,0,29,35,-6.190007102151171,False,MASTER
27,9,4,1,0,1,0,0,3,1,1,26,24,1.2680579765260234,True,MASTER
28,1,10,0,2,0,1,1,3,0,2,21,46,-10.489818363165764,False,MASTER
29,4,8,0,1,0,1,0,3,0,2,26,39,-4.207690404639173,False,MASTER
30,2,10,0,4,0,2,3,1,1,1,33,44,-2.4277461451014446,False,MASTER
31,2,8,0,1,0,2,1,3,0,2,27,33,-2.6100833720954455,False,MASTER
32,10,2,3,0,1,1,4,0,2,0,52,31,7.130684820906765,True,MASTER
33,8,9,1,2,1,2,4,3,0,2,42,41,2.005286489361694,True,MASTER
