,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,3,0,1,2,3,1,0,18,46,-12.418288632603307,False,BRONZE
1,0,10,0,2,0,1,1,2,0,2,18,27,-7.628472238079098,False,BRONZE
2,8,3,1,0,2,0,3,1,1,1,33,17,7.614970594787671,True,BRONZE
3,9,1,2,0,1,0,3,0,1,0,41,8,20.233771096780565,True,BRONZE
4,7,9,0,2,0,1,2,2,2,0,53,49,-3.2420301512067056,False,BRONZE
5,3,8,0,2,0,1,3,1,0,1,36,50,-1.8639837065634737,False,BRONZE
6,2,6,0,1,0,0,0,2,0,1,26,40,-8.690787206927453,False,BRONZE
7,9,2,2,0,0,0,1,1,1,0,36,33,2.713027999513969,True,BRONZE
8,2,8,0,0,0,0,1,2,1,0,23,40,-3.7655414099109024,False,BRONZE
9,2,5,0,0,0,0,2,1,1,1,35,32,-3.1621940704561737,True,BRONZE
10,10,1,2,0,1,0,2,1,2,0,48,23,10.410254887188671,True,BRONZE
11,3,11,0,3,0,0,4,1,1,1,40,40,-2.5433979514208005,False,BRONZE
12,9,9,2,1,2,0,3,2,0,2,58,45,-5.385397772203831,False,BRONZE
13,3,6,0,1,1,0,0,4,0,2,30,34,-3.188200802403287,False,BRONZE
14,6,2,1,0,0,1,1,1,1,0,24,19,-6.244299684818397,True,BRONZE
15,4,7,0,1,0,0,1,2,1,1,24,27,-1.9010631237653044,False,BRONZE
16,5,10,0,2,0,1,2,3,1,1,36,39,-4.797406816896654,False,BRONZE
17,1,8,0,1,0,0,0,2,1,1,15,41,-14.686434845815384,False,BRONZE
18,11,5,3,0,2,1,4,2,0,1,43,56,-3.474948510888595,True,BRONZE
19,11,5,3,0,2,0,4,2,1,0,65,43,4.831384189854575,True,BRONZE
20,1,11,0,3,0,0,1,2,1,1,20,49,-12.228042712000942,False,BRONZE
21,0,10,0,2,0,0,0,3,0,2,17,44,-15.782989426390877,False,BRONZE
22,6,8,1,1,0,0,2,2,1,0,22,24,0.80270641056795,False,BRONZE
23,4,7,0,1,0,1,0,4,1,1,15,36,-10.280283356129168,False,BRONZE
24,11,3,3,0,2,0,3,2,1,1,45,29,8.53316119003437,True,BRONZE
25,4,4,0,0,0,1,4,0,1,1,38,24,13.295432000326272,True,BRONZE
26,7,2,1,0,1,0,4,0,0,1,35,22,8.913193796515934,True,BRONZE
27,11,4,2,0,1,0,2,2,1,1,51,30,8.226777376025204,True,BRONZE
28,9,5,2,1,1,0,2,1,1,0,46,21,12.883195477481198,True,BRONZE
29,6,8,1,2,2,0,2,4,2,0,49,43,0.2834568842653695,False,BRONZE
30,5,7,0,0,0,0,1,2,0,2,22,34,-2.3199778812678673,False,BRONZE
31,11,5,3,0,1,0,0,2,0,2,29,27,1.422770710523288,True,BRONZE
32,3,10,0,2,0,0,3,2,0,2,29,51,-9.052389073450023,False,BRONZE
