,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,8,1,3,1,1,4,2,0,1,49,26,8.277473624575599,True,IRON
1,1,10,0,1,0,1,2,2,1,1,15,35,-6.079820365904993,False,IRON
2,10,3,2,0,0,0,1,2,0,2,36,29,5.823480745205714,True,IRON
3,10,3,2,0,1,0,2,2,2,0,25,8,14.416268102098183,True,IRON
4,5,10,0,4,1,0,4,1,1,1,38,12,12.973043296672287,False,IRON
5,2,10,0,4,0,0,1,3,0,2,29,32,-3.134073368817951,False,IRON
6,2,10,0,3,1,0,1,4,1,0,25,39,-7.059835816548038,False,IRON
7,10,5,2,0,1,0,4,2,0,1,24,24,3.8465447938634867,True,IRON
8,3,11,0,3,0,1,2,3,1,1,38,38,1.290633922583737,False,IRON
9,11,5,3,0,0,0,3,1,0,2,60,14,18.143328577814295,True,IRON
10,2,11,0,4,0,1,0,4,1,0,34,29,1.0124055433491108,False,IRON
11,4,7,0,1,0,1,2,2,1,0,31,26,0.3506591281231124,False,IRON
12,10,6,1,1,1,0,2,3,1,0,31,21,8.866128710452806,True,IRON
13,6,8,0,1,1,0,2,2,1,1,38,36,-2.20754844367692,False,IRON
14,11,1,3,0,1,0,1,1,1,1,35,14,13.398715877634935,True,IRON
15,10,5,1,0,0,0,4,2,1,0,34,22,3.571551813858669,True,IRON
16,4,2,2,2,0,0,0,0,0,0,60,62,-0.7299510471587212,True,IRON
17,2,11,0,4,0,1,1,2,0,2,21,35,-7.206490678675721,False,IRON
18,10,5,3,0,0,2,4,1,1,0,54,26,13.059253626580265,True,IRON
19,8,11,2,3,1,2,5,3,0,0,51,46,3.361766240194349,False,IRON
20,4,7,0,1,0,0,0,3,1,0,15,26,-5.898776010387323,False,IRON
21,7,11,2,3,1,1,5,0,1,1,46,36,3.8127103673589957,False,IRON
22,0,10,0,2,0,0,1,2,0,2,17,26,-8.84996462955143,False,IRON
23,10,7,1,1,2,0,3,3,0,2,65,40,4.099295544119698,True,IRON
24,4,11,0,3,0,2,1,4,0,2,46,33,7.000102531523289,False,IRON
25,9,1,2,0,0,0,2,0,2,0,32,14,12.804448511248303,True,IRON
26,6,5,0,0,1,1,4,1,0,2,32,27,3.096077977603997,True,IRON
27,9,8,1,2,1,2,3,4,0,2,52,41,2.518834902511067,True,IRON
28,5,7,0,2,0,2,1,4,1,1,42,29,4.128154146167233,False,IRON
29,11,1,3,0,1,0,3,1,0,2,51,27,9.196015842035997,True,IRON
30,9,11,1,4,0,2,4,0,2,0,31,23,2.9510870381662073,True,IRON
31,0,11,0,1,0,1,0,3,1,0,21,40,-8.784105314632676,False,IRON
32,2,11,0,4,0,2,1,4,0,2,12,19,-5.875768000253643,False,IRON
33,2,11,0,2,0,1,0,3,0,2,35,46,-2.351031881654478,False,IRON
34,10,4,2,0,1,0,2,3,0,2,36,21,10.146114381723706,True,IRON
35,1,8,0,1,0,1,0,4,0,1,7,20,-12.762566693513108,False,IRON
36,11,4,1,0,2,0,4,1,1,1,38,24,7.444895116948217,True,IRON
37,1,11,0,4,0,2,1,4,0,1,30,37,-3.113055510793984,False,IRON
38,11,10,6,2,2,0,5,2,2,0,54,34,7.318199106828125,True,IRON
