,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,11,1,4,0,2,3,3,0,1,51,39,3.223267627517558,True,SILVER
1,4,10,0,2,0,0,0,3,1,0,14,33,-11.020354230757963,False,SILVER
2,11,1,3,0,1,0,4,0,1,1,34,14,10.396404582927822,True,SILVER
3,11,2,4,0,1,0,3,1,1,0,49,28,4.721166302369596,True,SILVER
4,2,11,0,3,0,0,0,3,0,1,16,33,-10.966799255446922,False,SILVER
5,7,7,0,1,1,0,4,0,2,0,33,35,-3.4340659507679945,False,SILVER
6,6,6,0,0,2,0,5,0,0,2,55,29,12.84517618914473,True,SILVER
7,4,9,0,1,1,0,2,2,1,0,32,39,-1.9039313409826093,False,SILVER
8,5,11,0,5,1,1,1,4,1,1,43,40,-1.421208322978913,False,SILVER
9,2,11,0,4,0,1,0,3,1,1,9,33,-14.963104451401477,False,SILVER
10,9,4,2,0,1,0,4,0,0,2,42,17,13.034445254150448,True,SILVER
11,10,4,2,0,1,0,4,0,0,2,37,17,12.88494131264778,True,SILVER
12,11,3,5,0,1,1,3,3,2,0,42,52,-3.3834092208778728,True,SILVER
13,6,11,3,5,0,1,4,1,0,2,22,27,-0.3202944918385171,False,SILVER
14,5,11,0,3,0,1,0,4,1,1,15,36,-14.437864199469725,False,SILVER
15,6,11,0,3,0,1,2,3,1,0,36,35,-0.24525210839919964,False,SILVER
16,11,3,3,0,1,0,3,0,1,0,34,14,13.61437136350903,True,SILVER
17,6,8,0,1,0,2,1,3,1,1,21,33,-2.0960672873708646,False,SILVER
18,8,4,1,0,0,1,2,1,1,1,36,20,8.135056426364045,True,SILVER
19,10,6,2,0,2,0,4,1,0,2,42,23,11.136618742187721,True,SILVER
20,9,1,2,0,1,0,4,0,0,2,39,27,9.077314982699171,True,SILVER
21,6,11,1,4,1,2,1,5,0,2,31,58,-10.158418611879263,False,SILVER
22,6,2,1,0,0,0,3,1,0,2,24,18,3.712747583036588,True,SILVER
23,4,8,0,2,0,2,0,4,1,1,35,54,-4.832763694965202,False,SILVER
24,10,4,2,0,1,0,4,0,0,2,39,34,1.1008433244292917,True,SILVER
25,10,2,2,0,1,0,1,2,1,0,43,32,5.620527080870822,True,SILVER
26,6,8,1,1,0,1,0,4,0,1,35,43,-5.392641850277954,False,SILVER
27,9,2,1,0,0,0,2,1,1,0,39,30,5.198280629838763,True,SILVER
28,11,4,3,0,0,1,2,3,2,0,38,32,-0.13674552461002776,True,SILVER
29,10,2,2,0,1,0,4,0,2,0,27,17,5.535561787577194,True,SILVER
30,5,9,0,1,0,1,2,2,1,1,29,41,-10.015222619447556,False,SILVER
31,9,4,1,0,1,0,3,0,0,1,44,35,3.5643482771300157,True,SILVER
32,4,9,0,2,0,2,0,4,2,0,31,46,-8.264318416079917,False,SILVER
33,4,9,0,3,1,1,2,4,1,1,45,43,-0.566204833280544,False,SILVER
34,6,3,0,0,1,0,1,2,1,0,27,30,-2.8461538378907747,True,SILVER
35,1,11,0,3,0,1,1,1,0,2,24,34,-5.625078291163213,False,SILVER
36,9,4,2,0,0,0,2,1,2,0,24,33,-4.306553594481002,True,SILVER
37,10,1,2,0,0,0,3,0,2,0,54,16,13.185848751093317,True,SILVER
38,10,4,2,1,1,1,5,0,2,0,45,41,-3.2130013267206223,True,SILVER
39,5,7,0,1,0,1,1,1,0,1,21,21,-4.1530534279466735,False,SILVER
40,11,2,3,0,0,1,3,1,0,1,51,39,5.535320692285282,True,SILVER
