,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,3,2,0,2,0,4,0,2,0,47,26,9.344185031037263,True,SILVER
1,7,7,1,2,2,0,2,3,1,1,52,54,-0.4682650930179406,True,SILVER
2,3,6,0,0,0,1,0,2,1,1,16,29,-6.319040922711743,False,SILVER
3,3,11,0,3,0,1,1,3,2,0,36,38,-1.7201542684195985,False,SILVER
4,8,4,2,0,1,0,4,1,1,1,38,33,4.406565926638244,True,SILVER
5,9,1,1,0,1,0,4,0,2,0,27,17,7.009272847147699,True,SILVER
6,7,5,2,1,1,0,3,1,2,0,33,24,1.4068632130653498,True,SILVER
7,10,5,2,1,1,0,4,0,0,2,38,23,7.056676670048589,True,SILVER
8,6,11,1,4,0,2,2,4,1,1,35,60,-6.126639139779996,False,SILVER
9,5,3,0,0,0,0,3,0,1,1,34,23,4.5333948626844105,True,SILVER
10,7,10,0,3,0,2,2,4,2,0,49,62,-6.003260038601681,False,SILVER
11,9,0,3,0,1,0,3,0,1,1,36,13,11.58193960217779,True,SILVER
12,2,7,0,1,0,1,2,2,0,1,21,41,-11.627322343659408,False,SILVER
13,9,3,1,0,0,1,4,0,1,1,45,22,12.039776846354975,True,SILVER
14,10,3,2,0,1,0,3,0,2,0,50,31,10.309840895657516,True,SILVER
15,7,1,0,0,1,0,3,0,2,0,29,20,6.0147655157442586,True,SILVER
16,11,6,2,0,4,0,4,2,2,0,62,53,0.7057434902726527,True,SILVER
17,10,6,3,0,2,0,3,1,2,0,34,37,-3.5379110696827567,True,SILVER
18,2,8,0,1,0,1,1,3,1,1,26,31,-4.849952847534716,False,SILVER
19,3,10,0,3,0,2,1,4,1,1,12,32,-7.18593593580831,False,SILVER
20,10,3,2,0,1,0,4,0,2,0,51,20,11.707865919299422,True,SILVER
21,5,11,0,3,1,1,2,3,2,0,45,62,-5.528106835555086,False,SILVER
22,5,6,0,0,0,0,2,2,0,1,50,39,6.191477896889026,True,SILVER
23,11,4,10,0,3,1,5,1,1,1,57,54,-0.2578001042302205,True,SILVER
24,2,10,0,2,0,1,0,4,1,1,22,54,-15.146357944735538,False,SILVER
25,11,3,3,0,2,0,2,3,2,0,52,45,2.6745866880673077,True,SILVER
26,2,9,0,2,0,1,1,2,1,1,18,47,-11.298855531060205,False,SILVER
27,3,10,0,2,0,1,2,3,1,1,19,34,-5.796857817963627,False,SILVER
28,6,7,0,1,0,1,2,2,0,2,27,42,-6.984167396477467,False,SILVER
29,9,9,1,3,0,1,2,4,2,0,55,55,-4.456848895122775,False,SILVER
30,9,4,2,0,1,0,5,0,0,1,47,37,-6.677800168991894,True,SILVER
31,2,11,0,3,0,2,2,2,0,2,24,45,-4.9682440549430495,False,SILVER
32,11,3,5,0,2,0,4,0,0,2,51,38,3.8857869357439867,True,SILVER
33,6,3,1,0,1,0,3,1,0,1,35,26,7.075237426432267,True,SILVER
34,11,2,4,0,1,0,3,1,1,1,33,33,2.6539688587602015,True,SILVER
35,11,8,6,2,1,2,3,3,1,1,43,54,-5.158690139444737,True,SILVER
