,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,11,2,6,0,2,2,4,0,2,50,61,-2.5458134168632114,False,SILVER
1,0,11,0,3,0,0,0,4,0,2,19,55,-14.132301481755952,False,SILVER
2,3,7,0,0,0,2,1,3,0,2,23,28,-6.027965476391856,False,SILVER
3,10,3,2,0,1,0,2,1,1,0,29,19,7.593055859959321,True,SILVER
4,0,11,0,3,0,0,0,3,0,2,19,34,-6.452788763271023,False,SILVER
5,1,11,0,3,0,1,0,2,2,0,11,40,-19.206599570396378,False,SILVER
6,4,10,0,4,1,2,0,5,0,2,36,62,-7.985851069347156,False,SILVER
7,0,10,0,2,0,0,1,1,0,2,22,42,-12.075014755733001,False,SILVER
8,1,11,0,4,0,2,0,4,1,1,25,43,-9.508446701107658,False,SILVER
9,6,10,0,2,0,2,0,4,0,0,36,52,-7.314405947220116,False,SILVER
10,6,8,0,1,1,0,2,2,1,1,33,47,-4.111631903930714,False,SILVER
11,4,8,0,2,1,1,2,3,0,2,30,42,-6.647426735296889,False,SILVER
12,11,8,7,2,4,0,2,4,0,1,56,53,-0.10396442749216561,False,SILVER
13,9,1,2,0,0,0,2,1,0,1,36,19,7.9931905277484105,True,SILVER
14,10,8,2,1,0,1,3,1,1,1,53,30,6.248722513565255,True,SILVER
15,1,11,0,3,0,1,0,4,2,0,9,26,-9.253492794918579,False,SILVER
16,1,10,0,3,0,1,0,3,0,2,19,43,-10.36965134518507,False,SILVER
17,11,5,3,0,2,0,3,2,1,1,30,31,-2.7719784927235054,True,SILVER
18,10,5,3,0,1,0,2,2,1,0,50,36,4.2066557533478175,True,SILVER
19,10,4,2,0,1,0,3,0,0,1,38,23,10.200799125623362,True,SILVER
20,5,6,0,1,0,1,2,2,1,1,29,25,-3.8261659208458667,False,SILVER
21,9,9,2,2,1,2,3,3,0,1,28,29,4.1466190093717685,True,SILVER
22,1,9,0,2,0,1,0,4,0,2,14,36,-11.352886936629801,False,SILVER
23,2,9,0,1,0,1,1,3,0,2,23,33,-2.891462705599146,False,SILVER
24,10,7,2,3,1,1,2,4,1,1,46,37,2.8740451121395907,True,SILVER
25,3,10,0,2,0,1,0,3,1,0,20,46,-13.768418272356634,False,SILVER
26,6,2,1,0,1,0,2,2,2,0,33,24,3.941800740807821,True,SILVER
27,10,4,2,0,1,0,2,3,0,1,29,7,14.845854915458169,True,SILVER
28,1,10,0,2,0,1,0,2,0,1,12,40,-13.893467346059634,False,SILVER
29,6,11,0,3,1,1,3,2,0,2,43,28,5.761790824084812,False,SILVER
30,3,11,0,4,0,1,0,4,1,0,14,34,-11.80799980258891,False,SILVER
31,10,2,3,0,0,1,4,0,1,0,62,41,8.65624271239573,True,SILVER
32,7,5,1,1,0,1,1,2,0,2,31,33,-3.2155333424936643,True,SILVER
33,10,4,3,0,3,0,5,1,2,0,58,30,8.919398433503744,True,SILVER
34,10,2,2,0,0,0,3,1,0,2,38,36,0.6921931445004077,True,SILVER
35,5,11,0,4,0,1,2,3,1,1,49,45,3.8680107545963907,False,SILVER
36,7,9,1,2,1,1,2,4,2,0,46,60,-4.282535533345609,False,SILVER
37,7,8,1,1,2,0,4,1,0,2,46,51,-2.6488411110199763,True,SILVER
38,9,6,2,0,1,0,4,0,1,1,38,26,5.334321441150188,True,SILVER
39,3,7,0,1,0,2,3,1,1,1,28,43,-6.9465136760893955,False,SILVER
