,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,11,1,2,1,1,2,3,0,2,55,59,-0.5565112868299593,False,GOLD
1,10,3,1,0,1,0,3,1,2,0,28,20,8.68084197396923,True,GOLD
2,4,11,0,3,1,1,4,0,0,2,41,28,7.072813987092317,False,GOLD
3,1,8,0,1,0,1,1,2,0,1,15,32,-12.008366766422647,False,GOLD
4,9,3,2,0,1,0,4,0,0,1,39,17,12.495717106142436,True,GOLD
5,9,4,1,0,1,0,2,2,1,1,47,39,2.0010474636101137,True,GOLD
6,3,10,0,2,0,1,2,2,1,0,28,37,-1.3729489173785936,False,GOLD
7,9,5,2,0,1,0,2,2,1,0,46,42,4.176555446771339,True,GOLD
8,5,1,0,0,0,0,2,1,1,0,38,18,14.864829567601802,True,GOLD
9,6,1,1,0,0,0,2,1,1,0,38,25,8.551769085841471,True,GOLD
10,5,11,0,2,0,1,1,3,0,2,23,33,-6.416679227721602,False,GOLD
11,5,11,0,2,0,2,0,3,1,0,25,38,-4.451132321168494,False,GOLD
12,8,3,2,0,1,0,3,1,1,0,46,38,-1.3194520085110995,True,GOLD
13,6,9,0,2,0,2,3,2,0,2,29,57,-10.080718178556303,False,GOLD
14,7,2,1,0,1,0,4,0,1,1,51,36,9.286242533000497,True,GOLD
15,1,11,0,2,0,1,1,2,1,0,14,27,-10.991030034592647,False,GOLD
16,8,4,1,0,1,0,1,3,0,2,44,24,3.132542580432869,True,GOLD
17,9,5,2,0,0,1,3,1,2,0,31,26,3.997131692652104,True,GOLD
18,11,3,3,0,2,0,4,0,0,2,34,28,0.4152262738132535,True,GOLD
19,4,8,1,1,0,1,0,4,2,0,27,31,-3.378037847491271,False,GOLD
20,3,11,0,3,0,1,0,3,0,2,26,35,-1.216454623776258,False,GOLD
21,6,7,1,2,2,1,3,3,1,1,37,47,-4.30894559417672,False,GOLD
22,11,3,3,0,1,0,3,1,1,1,38,24,10.025321493630422,True,GOLD
23,5,9,0,1,0,1,0,4,0,1,24,42,-13.115768757413544,False,GOLD
24,3,11,0,3,0,2,2,3,1,1,30,41,-5.3474537413902326,False,GOLD
25,9,9,1,1,1,1,3,3,0,1,56,56,-4.428334065721806,False,GOLD
26,9,2,2,0,1,0,2,1,2,0,38,32,-0.0954297743709418,True,GOLD
27,9,2,2,0,2,0,1,4,0,2,44,37,2.10685129860736,True,GOLD
28,3,11,0,3,1,2,1,4,1,0,39,57,-5.4351621066699,False,GOLD
29,6,10,1,2,0,1,1,3,0,2,22,31,-3.295778664886818,False,GOLD
30,9,4,2,0,1,0,3,2,2,0,42,23,11.113501493443131,True,GOLD
31,11,2,3,0,1,0,1,2,0,1,34,25,7.129889043068822,True,GOLD
32,6,8,2,1,0,2,1,4,2,0,40,55,-8.224322332086288,False,GOLD
33,11,2,2,0,0,1,3,1,0,2,47,31,6.342051243989559,True,GOLD
34,9,3,2,0,1,0,3,1,1,0,28,17,4.643774498100328,True,GOLD
35,6,10,0,3,1,1,2,2,1,1,18,40,-7.657698661386071,False,GOLD
36,11,1,3,0,0,0,2,0,1,0,36,19,6.807542994527012,True,GOLD
37,11,2,3,0,1,0,2,3,0,1,41,32,3.718438906159278,True,GOLD
38,8,0,1,0,1,0,3,1,2,0,29,10,13.565366679953108,True,GOLD
39,7,8,0,2,1,0,2,3,0,1,40,56,-8.01068954168079,False,GOLD
40,5,11,0,3,0,1,0,4,0,1,40,50,-6.392775867694162,False,GOLD
