,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,7,0,1,0,1,2,2,1,1,22,26,-2.5493961413777555,False,IRON
1,3,8,0,1,0,1,1,4,0,2,32,31,-0.6637810907340551,False,IRON
2,1,7,0,1,0,0,1,2,1,0,17,35,-18.897926625300567,False,IRON
3,4,9,0,1,0,1,1,3,0,1,15,37,-6.526188248826365,False,IRON
4,11,5,3,0,2,1,4,2,2,0,37,32,3.910702125570033,True,IRON
5,2,9,0,3,0,0,1,3,0,2,14,23,-6.866546922840961,False,IRON
6,10,4,1,0,1,0,3,2,0,1,40,15,12.70822734473694,True,IRON
7,1,11,0,3,0,0,1,4,0,1,27,44,-7.146144233744607,False,IRON
8,9,11,1,3,0,1,4,1,1,0,20,29,-5.80380355142546,False,IRON
9,11,6,6,0,0,1,3,2,2,0,39,45,-6.341551977250418,True,IRON
10,3,11,0,2,0,0,2,2,0,2,32,42,2.0097058469522793,False,IRON
11,11,6,3,1,2,0,3,2,0,1,43,25,6.955654680919139,True,IRON
12,1,11,0,3,0,1,0,4,0,1,13,22,-7.527235386503477,False,IRON
13,10,3,2,0,0,0,3,1,0,0,37,25,-0.7654712270482449,True,IRON
14,9,2,2,0,0,0,3,1,1,0,30,9,13.929723869285489,True,IRON
15,0,9,0,2,0,1,0,4,0,2,12,35,-13.157573944969144,False,IRON
16,10,1,2,0,1,0,2,1,1,0,33,14,15.68672389088215,True,IRON
17,6,4,1,1,0,1,3,2,2,0,17,24,-4.56363638494269,False,IRON
18,6,5,1,0,1,0,2,3,2,0,48,28,7.738457755499731,True,IRON
19,10,0,1,0,1,0,3,1,0,0,45,32,4.677077202647816,True,IRON
20,6,0,0,0,0,0,3,0,1,1,19,9,15.936517610266907,True,IRON
21,2,7,0,1,0,0,0,4,0,1,24,33,-7.423117334526786,False,IRON
22,0,11,0,3,0,0,0,3,0,1,8,31,-16.637522539922266,False,IRON
23,2,8,0,2,0,0,0,3,0,1,14,32,-11.657766528789924,False,IRON
24,4,7,0,1,0,0,1,4,0,1,32,36,0.474897912325531,False,IRON
25,7,5,1,0,1,0,3,1,1,0,34,24,10.020563815573752,True,IRON
26,2,10,0,1,0,0,0,1,0,2,15,22,-6.420921180685923,False,IRON
27,2,8,0,1,0,0,2,1,0,1,17,28,-9.177481008750313,False,IRON
28,7,3,1,0,0,0,2,1,2,0,23,16,1.7798995414118224,True,IRON
29,9,6,2,1,2,0,4,3,0,1,61,41,3.122328795098028,True,IRON
30,1,8,0,1,0,0,1,2,0,1,25,20,3.4309244664815495,False,IRON
31,3,3,0,0,0,0,2,1,1,1,31,22,5.0204676165285065,True,IRON
32,0,8,0,1,0,1,2,2,0,1,30,36,0.2783420258733855,False,IRON
33,0,5,0,0,0,0,0,4,1,0,11,20,-9.41993155897405,False,IRON
