,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,2,1,3,0,1,23,47,-9.87593904927985,False,PLATINUM
1,9,9,2,2,1,0,3,1,2,0,35,18,8.357569389227173,True,PLATINUM
2,9,4,1,0,0,0,4,0,2,0,39,23,8.908860088637176,True,PLATINUM
3,2,9,0,3,0,2,2,2,0,2,39,46,-2.826029218759004,False,PLATINUM
4,3,11,0,2,0,2,2,3,0,2,30,55,-7.780331540800809,False,PLATINUM
5,5,9,0,3,0,3,2,4,1,1,43,52,0.5068063680671955,False,PLATINUM
6,6,10,1,3,0,2,3,3,0,1,45,49,-1.5958719998773176,False,PLATINUM
7,4,9,0,2,0,0,2,2,0,2,23,43,-6.864144188582458,False,PLATINUM
8,2,9,0,3,0,1,2,2,0,2,36,51,-6.3177349846915405,False,PLATINUM
9,7,3,2,0,0,0,2,1,2,0,34,19,7.8793736371386345,True,PLATINUM
10,2,11,0,3,0,2,0,5,0,2,15,51,-13.442127709700312,False,PLATINUM
11,3,6,0,1,0,0,1,2,2,0,18,37,-11.578760454262017,False,PLATINUM
12,3,11,0,3,0,1,0,4,1,0,22,42,-11.893702263204233,False,PLATINUM
13,7,2,1,0,1,0,3,1,2,0,31,20,6.897198899135105,True,PLATINUM
14,4,9,0,1,0,1,0,2,0,2,18,32,-9.286943847053358,False,PLATINUM
15,3,11,0,6,0,3,4,1,0,2,32,52,-4.929995266167964,False,PLATINUM
16,10,5,2,0,1,0,3,2,0,2,40,34,3.8252400571890135,True,PLATINUM
17,7,3,1,0,1,0,3,0,2,0,22,7,13.558443095984785,True,PLATINUM
18,3,7,0,1,0,0,2,2,1,0,22,31,-6.431378152142976,False,PLATINUM
19,11,1,1,0,1,0,2,1,1,1,30,16,10.294918702158547,True,PLATINUM
20,3,9,0,1,0,1,0,3,2,0,24,40,-10.490554124661486,False,PLATINUM
21,4,10,0,2,0,1,2,2,1,1,13,42,-15.689281981843678,False,PLATINUM
22,9,2,2,0,1,0,2,0,0,1,36,15,8.746651837652458,True,PLATINUM
23,1,10,0,2,0,1,1,3,1,1,25,40,-10.458006452528629,False,PLATINUM
24,5,6,0,1,1,1,1,3,0,2,18,43,-8.916025649850823,False,PLATINUM
25,2,10,0,1,0,1,0,3,0,2,24,35,-5.242717174663973,False,PLATINUM
26,11,1,4,0,1,0,3,0,2,0,40,24,5.544330397866936,True,PLATINUM
27,9,4,2,0,1,0,2,1,1,1,35,15,13.860328748012762,True,PLATINUM
28,9,6,3,1,1,1,3,3,1,0,45,48,2.8058669361772317,True,PLATINUM
29,2,11,0,5,0,2,2,3,1,1,36,43,-2.9391079102249478,False,PLATINUM
30,1,7,0,1,0,1,1,3,0,2,12,26,-10.113612761982743,False,PLATINUM
31,0,11,0,3,0,1,1,2,1,1,9,26,-14.407728574758124,False,PLATINUM
32,7,8,1,1,1,1,2,4,0,1,38,41,-3.2429117821775577,False,PLATINUM
33,5,1,0,0,1,1,5,0,1,0,36,25,5.155196355395383,True,PLATINUM
34,10,8,2,1,2,0,3,2,1,1,39,46,-0.7271403617574634,True,PLATINUM
