,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,6,0,0,0,0,2,1,0,2,28,39,-2.7175282556639573,False,IRON
1,0,9,0,2,0,1,0,4,0,2,40,46,1.0580031796365148,False,IRON
2,6,5,0,0,1,0,3,3,0,2,53,32,8.48100246895335,True,IRON
3,9,8,1,1,2,0,2,3,2,0,50,46,-0.5011188976329706,False,IRON
4,11,6,2,0,1,0,4,1,2,0,48,34,5.272576237592105,True,IRON
5,2,11,0,3,0,1,1,3,1,1,23,36,-9.923734300283044,False,IRON
6,2,9,0,1,1,0,2,2,0,0,26,34,-3.0238003949792827,False,IRON
7,3,10,0,1,0,0,0,3,0,2,20,38,-7.539404281762245,False,IRON
8,11,3,4,0,2,0,3,1,1,0,53,27,6.1599479367027214,True,IRON
9,7,2,1,0,0,0,3,0,0,1,32,17,6.926340721890234,True,IRON
10,5,0,0,0,1,0,3,0,2,0,25,11,13.120369306799653,True,IRON
11,2,3,0,0,0,0,0,2,1,0,14,20,-6.136631860300767,False,IRON
12,7,11,0,3,0,3,2,4,0,1,45,51,-1.2171910599301015,False,IRON
13,3,10,0,3,0,0,2,3,1,1,28,44,-6.830560659180726,False,IRON
14,3,4,0,0,0,0,1,1,0,1,22,35,-9.939123250360332,False,IRON
15,8,4,1,0,1,0,4,0,2,0,38,28,-4.337538650384232,True,IRON
16,4,7,1,2,0,1,0,4,0,2,12,20,-2.353578908922316,False,IRON
17,4,8,0,1,0,1,2,2,1,0,37,32,1.5541832269213245,False,IRON
18,10,3,2,0,1,0,4,0,2,0,42,27,10.840027509350456,True,IRON
19,11,3,3,0,1,0,3,1,1,0,55,26,11.686886668544332,True,IRON
20,5,10,0,2,1,1,3,2,1,0,27,28,1.6360496349865699,False,IRON
21,3,9,0,2,0,2,1,4,0,2,20,38,-10.038481145083672,False,IRON
22,10,4,2,0,0,0,2,2,1,0,42,24,7.487737831420489,True,IRON
23,2,10,0,2,0,0,0,3,1,1,21,38,-11.6199973111692,False,IRON
24,11,2,3,0,1,0,2,2,2,0,36,30,3.145952339228991,True,IRON
25,8,5,1,0,0,0,3,1,0,2,35,32,-6.5204589564160145,True,IRON
26,3,10,0,2,0,1,2,2,0,1,16,41,-10.789595938318968,False,IRON
27,3,8,0,1,0,1,0,4,0,1,20,33,-9.477593401869857,False,IRON
28,11,1,3,0,1,0,2,1,1,1,42,23,10.053743699197767,True,IRON
29,8,5,1,0,1,0,2,2,1,1,35,28,2.6194268913344203,True,IRON
30,10,4,3,0,1,1,3,2,1,1,46,42,-1.0862408683326592,True,IRON
31,10,7,4,2,2,1,5,1,1,1,64,51,0.2739570391804875,True,IRON
32,4,9,0,1,0,0,2,2,0,2,28,39,-4.418140661149664,False,IRON
33,6,7,0,2,0,1,1,2,2,0,20,38,-11.234581478634503,False,IRON
34,10,5,3,0,2,0,4,1,0,2,35,26,3.5213097708513743,True,IRON
35,9,1,2,0,0,0,1,1,1,0,32,13,13.015591802598298,True,IRON
36,1,6,0,0,0,0,2,2,0,2,21,33,-5.651470880285245,False,IRON
