,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,0,2,0,1,0,4,0,2,22,38,-8.556192395779775,False,GOLD
1,11,6,3,0,1,0,3,1,1,0,50,22,13.261604805190458,True,GOLD
2,8,4,1,0,1,0,3,2,0,1,64,42,8.090556068715124,True,GOLD
3,7,3,1,0,1,0,1,1,0,1,32,18,10.03544381689121,True,GOLD
4,11,3,3,0,1,0,2,1,1,0,39,16,13.22124205348512,True,GOLD
5,9,6,2,1,1,0,3,1,1,0,38,30,3.8359972677954914,True,GOLD
6,8,0,1,0,0,0,3,0,2,0,35,9,16.83027596442978,True,GOLD
7,11,7,4,1,0,1,3,3,1,0,60,45,3.66344581698295,True,GOLD
8,6,7,1,1,0,1,0,4,2,0,33,42,-2.6448144254348875,False,GOLD
9,2,11,0,5,0,1,0,5,0,2,26,41,-4.657205224006525,False,GOLD
10,5,10,0,3,1,1,1,4,2,0,39,53,-4.752069054944982,False,GOLD
11,10,5,3,0,0,0,2,3,1,1,40,37,-0.7579873632084002,True,GOLD
12,10,4,1,0,1,0,1,2,1,0,44,33,3.89779361287691,True,GOLD
13,2,9,0,1,0,1,0,4,0,2,15,39,-10.680921626233157,False,GOLD
14,3,9,0,2,1,0,2,2,0,2,27,33,-0.8526422655838459,False,GOLD
15,5,11,0,4,0,1,0,3,0,2,25,42,-7.740431506411909,False,GOLD
16,3,11,0,3,1,1,1,5,0,2,51,61,-2.755965528748021,False,GOLD
17,9,10,3,4,0,2,5,2,0,1,60,39,7.434724533835279,True,GOLD
18,8,2,2,0,0,0,3,1,2,0,31,21,0.2826320659650108,True,GOLD
19,5,8,0,1,0,1,3,1,1,0,28,35,-9.093174398143105,False,GOLD
20,9,5,3,0,1,1,2,3,0,2,48,38,5.9334624327240775,True,GOLD
21,1,10,0,2,0,1,1,3,2,0,22,49,-10.048704219916786,False,GOLD
22,9,4,1,0,0,0,4,1,0,1,49,30,7.289160494840246,True,GOLD
23,1,9,0,1,0,1,0,3,1,0,15,45,-15.17438976855351,False,GOLD
24,1,11,0,3,0,1,1,3,2,0,25,45,-2.893855199111968,False,GOLD
25,5,11,0,4,0,2,2,4,1,0,23,51,-9.705066054982765,False,GOLD
26,10,7,1,1,1,0,2,2,0,1,48,42,1.683227131374366,True,GOLD
27,2,8,0,1,0,1,1,2,1,1,15,33,-12.138655065666086,False,GOLD
28,10,2,1,0,0,0,2,1,1,1,42,26,5.7567871253805265,True,GOLD
29,4,9,0,2,0,1,1,3,0,1,24,40,-6.079495114699185,False,GOLD
30,10,0,2,0,0,0,3,0,2,0,35,19,9.258142295118127,True,GOLD
31,10,5,1,0,0,1,4,1,1,1,28,23,-2.305641844243141,True,GOLD
32,5,11,0,8,1,1,1,6,2,0,40,63,-5.53992139242601,False,GOLD
33,10,2,2,0,0,0,3,0,2,0,39,27,6.7037702834067545,True,GOLD
34,10,6,2,1,0,1,4,2,1,0,55,49,-0.04981423129636653,True,GOLD
35,6,9,1,3,0,1,0,4,1,1,29,43,-4.900509228543299,False,GOLD
36,10,6,2,0,1,0,3,2,1,0,42,42,-4.2457181498182095,True,GOLD
