,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,0,3,2,0,26,45,-10.720667070208258,False,GOLD
1,7,8,1,1,0,1,2,2,2,0,24,30,-0.7278117402631352,False,GOLD
2,4,8,0,1,0,1,2,2,1,1,27,35,-8.324048917670389,False,GOLD
3,7,0,0,0,0,0,3,0,2,0,18,9,7.076963937958276,True,GOLD
4,3,10,0,2,0,1,0,3,0,2,22,33,-1.5249524412286561,False,GOLD
5,6,11,0,3,0,2,1,5,1,1,40,59,-10.42243874782956,False,GOLD
6,7,10,0,1,0,1,3,2,1,1,40,48,-1.4826399629837184,False,GOLD
7,5,0,0,0,0,0,2,0,2,0,26,20,3.927479174118652,True,GOLD
8,11,4,1,0,1,0,2,1,1,1,29,17,11.19331227631347,True,GOLD
9,3,11,0,2,0,2,0,5,0,2,44,54,-1.6018998223945715,False,GOLD
10,11,2,3,0,1,0,4,0,2,0,30,22,5.915758953617178,True,GOLD
11,6,10,0,3,1,2,3,3,1,1,66,64,0.9796545180632563,False,GOLD
12,2,11,0,3,0,2,1,4,1,1,20,29,-2.298699477199726,False,GOLD
13,8,6,1,0,2,0,3,2,2,0,40,27,9.982741027800834,True,GOLD
14,9,3,1,0,2,0,3,2,1,1,37,27,2.2883743275826873,True,GOLD
15,4,9,0,2,0,1,2,3,1,1,23,37,-6.3212301152901915,False,GOLD
16,3,7,0,1,0,0,0,3,1,1,25,34,-4.709692132213171,False,GOLD
17,1,11,0,3,0,1,0,4,0,2,8,29,-13.972438394824835,False,GOLD
18,9,8,3,1,2,0,4,2,0,1,57,50,1.045376226252948,True,GOLD
19,10,0,2,0,2,0,2,3,1,0,40,34,-1.835000692546835,True,GOLD
20,2,11,0,4,0,2,0,6,1,1,22,39,-6.589564460825024,False,GOLD
21,9,0,1,0,1,0,2,1,1,1,23,13,7.438781505890638,True,GOLD
22,6,9,0,2,0,1,1,4,0,1,36,50,-3.8669790905879324,False,GOLD
23,1,9,0,2,1,0,2,2,0,2,28,35,-2.005455854074796,False,GOLD
24,4,9,0,2,0,1,1,2,0,1,25,48,-12.354766361691887,False,GOLD
25,11,6,3,0,2,0,4,1,1,0,47,31,8.218035059344686,True,GOLD
26,11,7,4,2,1,1,4,2,2,0,68,35,9.973490237334317,True,GOLD
27,9,8,1,1,0,1,3,2,0,1,21,34,-5.795263209986629,False,GOLD
28,5,5,0,1,0,0,2,2,1,1,17,31,-8.699904296370192,False,GOLD
29,2,9,0,1,0,1,0,3,0,1,17,42,-11.336962883807054,False,GOLD
30,2,7,0,1,0,0,0,3,1,1,13,30,-11.617382646251222,False,GOLD
