,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,1,1,0,1,3,2,0,1,25,37,0.9360854421079026,False,IRON
1,6,11,1,2,0,1,1,4,0,1,26,43,-6.664972160013676,False,IRON
2,4,7,0,1,0,1,0,4,1,1,25,33,-5.911274602303941,False,IRON
3,1,11,0,3,0,0,1,2,0,2,13,30,-11.300968866753628,False,IRON
4,10,2,2,0,1,0,2,1,2,0,35,18,7.433859939879454,True,IRON
5,11,1,3,0,1,0,3,2,2,0,40,29,5.296173762087882,True,IRON
6,1,7,0,1,0,0,0,3,0,2,12,34,-15.213857460129315,False,IRON
7,3,9,0,3,0,0,0,3,0,2,18,36,-10.658238072336708,False,IRON
8,4,10,0,2,0,1,1,4,0,2,35,45,-2.356883340043055,False,IRON
9,0,10,0,2,0,0,0,3,0,2,16,31,-9.778397329762456,False,IRON
10,9,11,1,7,2,0,4,2,1,1,50,34,5.580028722979321,True,IRON
11,10,2,2,0,1,0,3,1,0,2,32,8,17.725069350137836,True,IRON
12,9,5,2,0,1,0,3,1,1,0,44,30,6.112835107362422,True,IRON
13,2,8,0,1,0,0,0,3,0,2,23,28,-3.817589275384009,False,IRON
14,6,11,1,3,0,1,0,4,1,1,33,49,-7.020880582675623,False,IRON
15,2,9,0,3,0,1,2,1,0,1,33,35,-0.7009600565480483,False,IRON
16,1,11,0,4,0,1,0,3,0,1,10,27,-13.799029720262936,False,IRON
17,11,11,4,4,0,1,2,4,0,2,48,45,0.9287944903813283,True,IRON
18,5,11,0,2,0,2,1,5,1,1,32,52,-12.877071366331403,False,IRON
19,5,10,1,1,0,1,4,3,1,1,48,44,-3.7468088403771844,False,IRON
20,9,9,3,2,1,1,2,3,0,1,37,43,-8.702518256803963,False,IRON
21,9,11,1,3,0,3,0,5,0,1,28,48,-3.6821186691854777,False,IRON
22,11,9,4,2,1,1,1,5,1,0,47,49,-4.821383804171315,True,IRON
23,0,5,0,0,0,0,0,3,0,1,13,17,-4.436134550095616,False,IRON
24,7,3,1,0,1,0,2,1,0,0,30,16,11.528006592464987,True,IRON
25,6,10,2,2,1,1,2,3,1,1,40,46,-6.309321003478686,False,IRON
26,5,11,0,4,0,0,4,2,0,2,44,38,3.140012478694125,False,IRON
27,2,9,0,1,1,1,1,4,0,2,34,26,2.743428469291871,False,IRON
28,2,9,0,3,0,1,0,4,0,2,10,20,-12.572304320349602,False,IRON
29,10,1,2,0,1,0,3,0,1,0,24,7,11.129508725776958,True,IRON
30,9,6,1,0,1,0,3,2,1,1,42,28,5.18961514242303,True,IRON
31,11,3,3,0,1,0,2,2,1,1,31,23,6.493458082047383,True,IRON
