,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,6,1,1,0,0,1,4,0,2,39,37,-3.3431909708512535,True,IRON
1,6,10,0,3,0,1,2,3,1,1,44,61,-1.9729553459863496,False,IRON
2,11,4,3,0,1,0,1,2,2,0,49,36,4.1067454851140965,True,IRON
3,8,4,1,0,1,0,2,2,2,0,41,29,3.487320665765651,True,IRON
4,6,11,0,2,0,2,1,3,0,2,34,43,-5.512797204664473,False,IRON
5,7,9,0,1,1,1,3,3,1,0,38,70,-8.60226301788314,False,IRON
6,3,8,0,1,0,0,0,4,0,1,17,46,-9.968561802538922,False,IRON
7,4,11,0,3,0,1,2,3,2,0,35,37,0.582578221988733,False,IRON
8,1,9,0,2,0,1,0,4,0,2,18,37,-8.156006651306292,False,IRON
9,2,10,0,3,0,1,0,4,0,2,22,32,-7.327068845011006,False,IRON
10,6,11,2,3,0,2,2,3,0,2,34,39,4.8209498260419394,False,IRON
11,2,10,0,2,0,1,1,2,0,2,27,31,-5.581624541412047,False,IRON
12,6,9,1,1,0,0,0,3,0,1,31,34,-9.996355243779888,True,IRON
13,8,6,0,1,1,0,3,1,1,0,37,42,-5.392047723745357,False,IRON
14,3,10,0,1,0,1,0,4,0,2,19,42,-11.959875335671917,False,IRON
15,9,3,2,0,2,0,1,3,1,1,48,23,12.11790629226413,True,IRON
16,10,0,2,0,1,0,2,1,2,0,45,15,16.994156589485733,True,IRON
17,2,11,0,3,0,1,1,3,1,0,37,51,-8.244651551045152,False,IRON
18,7,5,2,0,0,0,2,2,0,1,61,42,0.03228644517867707,True,IRON
19,3,6,0,1,0,0,0,3,1,1,12,25,-10.326840188417513,False,IRON
20,11,7,3,0,1,1,3,2,0,1,37,15,8.637879577138705,True,IRON
21,1,9,0,2,0,1,2,1,1,1,22,28,-6.134007834143965,False,IRON
22,5,9,1,2,0,0,0,2,0,1,30,36,-2.0099584121074514,False,IRON
23,10,6,1,0,0,0,2,1,1,0,42,30,6.477336059582079,True,IRON
24,9,1,2,0,0,0,3,0,1,0,28,11,14.337403213119881,True,IRON
25,11,0,2,0,1,0,2,0,2,0,37,20,8.096655823514197,True,IRON
26,9,3,1,0,1,0,4,0,0,1,42,23,9.500812523985381,True,IRON
27,8,3,1,0,1,0,3,1,2,0,28,19,6.65386260508199,True,IRON
28,3,9,0,2,0,0,0,3,1,0,31,39,1.8952775137793694,False,IRON
29,3,10,0,2,0,1,1,3,2,0,25,40,-8.622751631566885,False,IRON
30,10,7,2,0,2,0,3,2,1,1,41,31,0.17309886961475485,True,IRON
31,2,9,0,1,0,0,2,2,1,1,22,39,-6.514253673415844,False,IRON
32,10,5,2,1,0,1,4,0,1,1,37,34,0.9428313907851447,True,IRON
33,0,11,0,4,0,1,0,3,0,2,16,38,-12.325091677610544,False,IRON
34,8,3,1,0,0,0,2,1,1,1,23,22,0.1597271437240977,True,IRON
35,10,5,2,1,1,0,1,2,2,0,34,12,8.124629609816981,True,IRON
