,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,3,0,0,0,4,0,2,0,39,20,8.68245123732283,True,IRON
1,3,2,0,0,0,0,3,0,0,1,30,21,6.057538310920933,True,IRON
2,3,9,0,2,0,0,3,2,1,1,32,51,-5.549735714912963,False,IRON
3,7,8,0,1,0,1,0,5,0,1,43,35,5.986977906578801,False,IRON
4,8,10,1,3,1,0,1,4,0,1,50,55,-0.8765009934579098,False,IRON
5,10,0,3,0,0,0,4,0,2,0,38,18,12.985506060500764,True,IRON
6,4,11,0,5,0,0,0,4,1,0,48,62,-3.691988694357576,False,IRON
7,9,10,1,3,0,1,3,2,1,1,44,34,-0.6740365087106852,True,IRON
8,10,5,3,0,0,0,3,3,1,1,65,41,7.996701413380521,True,IRON
9,2,11,0,5,0,1,4,2,0,1,42,55,-1.5910870379986477,False,IRON
10,2,9,0,2,0,1,0,4,0,2,18,29,-14.789426516356318,False,IRON
11,10,3,2,0,0,0,3,1,0,0,39,30,-4.72376297500049,True,IRON
12,9,2,2,0,3,0,5,0,1,1,47,34,4.567901732498989,True,IRON
13,0,10,0,1,0,1,0,4,0,2,22,56,-15.12346812673001,False,IRON
14,4,11,0,2,2,0,2,3,1,0,27,43,-0.8493477939840091,False,IRON
15,6,6,0,1,0,1,2,2,0,0,25,44,-7.36485088074204,False,IRON
16,7,4,1,0,0,0,3,2,1,1,38,27,6.443935505647843,True,IRON
17,7,4,1,0,0,0,2,2,0,2,53,28,12.332865202014222,True,IRON
18,1,11,0,3,0,0,0,4,0,2,9,41,-19.059196426551935,False,IRON
19,0,11,0,3,0,0,1,2,0,0,24,26,2.676357399956622,False,IRON
20,1,6,0,1,0,0,1,2,0,2,11,28,-12.368120421180532,False,IRON
21,3,1,0,0,0,0,2,1,0,2,34,8,15.91637517653118,True,IRON
22,8,2,1,0,0,0,3,0,0,1,24,17,7.94942211232236,True,IRON
23,1,9,0,1,0,1,1,3,1,0,15,47,-15.923356644992797,False,IRON
24,10,2,4,0,0,1,6,0,1,1,64,54,-1.330051067502957,True,IRON
25,2,9,0,2,0,1,3,3,0,1,45,47,2.5611763576546664,False,IRON
26,4,3,1,0,1,0,4,0,1,0,39,18,9.764778735448143,True,IRON
27,10,9,2,1,2,0,3,3,0,1,58,38,5.587749473699425,True,IRON
28,9,10,2,2,0,1,3,1,0,1,47,62,-8.36617335442454,False,IRON
