,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,3,0,2,0,3,1,2,0,36,17,7.451442023383791,True,GOLD
1,4,2,0,0,1,0,3,0,0,1,27,11,9.939400327218955,True,GOLD
2,11,2,4,0,0,0,3,1,1,1,43,26,10.242862418572216,True,GOLD
3,10,8,3,1,1,1,3,3,0,2,43,28,5.015665071578475,True,GOLD
4,4,8,0,1,1,1,4,1,1,1,44,33,4.3153107275780584,False,GOLD
5,8,3,1,0,1,0,3,2,1,0,36,12,14.673816924674753,True,GOLD
6,8,4,1,0,0,0,3,0,2,0,33,14,11.372236056252326,True,GOLD
7,8,8,1,1,1,1,2,3,1,0,48,45,1.8240581996839609,True,GOLD
8,11,4,4,0,2,0,2,2,1,0,39,24,8.98784332622514,True,GOLD
9,4,6,0,0,0,1,1,2,1,1,24,48,-12.268839965358858,False,GOLD
10,4,9,0,1,0,1,0,4,2,0,31,42,-8.469837535195978,False,GOLD
11,10,5,4,0,2,0,3,2,1,0,54,29,6.27960195565452,True,GOLD
12,8,3,1,0,2,0,5,0,1,1,38,17,10.041902732933146,True,GOLD
13,9,6,1,0,0,0,3,2,1,0,41,26,5.191002888080369,True,GOLD
14,1,8,0,1,0,1,1,3,2,0,31,42,-3.6431351327727413,False,GOLD
15,5,11,0,2,0,1,0,4,1,0,40,48,-6.205986587591617,False,GOLD
16,8,5,1,0,0,1,2,1,1,0,44,31,5.623597660093274,True,GOLD
17,7,3,1,0,0,0,2,1,0,1,32,16,10.026774232504287,True,GOLD
18,8,3,1,0,1,0,3,1,0,1,40,29,4.105249380078753,True,GOLD
19,9,2,1,0,1,0,3,0,1,1,38,20,11.403512753029752,True,GOLD
20,3,11,0,1,0,1,4,1,0,2,27,30,0.34213725214397783,False,GOLD
21,10,4,2,0,1,0,4,0,1,1,43,22,15.062029939627479,True,GOLD
22,10,4,2,0,1,0,4,1,1,0,48,29,11.012006844722862,True,GOLD
23,5,1,0,0,1,0,2,2,0,2,28,12,12.224446184814205,True,GOLD
24,8,5,1,0,0,1,3,2,0,2,36,27,3.5981994401495,True,GOLD
25,1,10,0,2,0,1,0,3,0,2,11,25,-15.202837609152514,False,GOLD
26,0,10,0,2,0,0,1,3,0,2,28,47,-10.251823970200057,False,GOLD
27,8,2,1,0,1,0,2,3,1,0,50,34,7.017838456091212,True,GOLD
28,7,4,1,1,1,0,5,0,1,1,45,27,8.23391401064071,True,GOLD
29,9,2,2,0,1,0,4,0,0,1,34,13,12.12801658253045,True,GOLD
30,8,9,2,1,1,1,1,3,0,2,34,41,-4.931754994776675,False,GOLD
31,0,10,0,2,0,1,1,3,0,2,22,26,2.177764983189583,False,GOLD
32,9,3,1,0,1,0,3,0,1,1,48,34,7.557971177217652,True,GOLD
33,10,7,2,0,2,0,5,0,1,1,44,39,2.5267498582178476,True,GOLD
34,9,5,2,0,1,0,2,3,2,0,47,20,10.567495663416238,True,GOLD
35,3,9,0,4,1,1,2,3,0,2,27,34,-3.9484575193139264,False,GOLD
36,10,4,3,0,0,0,2,2,0,2,36,19,10.613818831947334,True,GOLD
37,1,4,0,2,0,0,0,0,0,0,53,53,0.48827532559300835,False,GOLD
38,1,7,0,1,0,0,2,2,1,0,15,16,0.13135027217786188,False,GOLD
39,9,5,2,0,1,0,2,2,1,0,55,28,9.285205162823019,True,GOLD
