,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,5,3,0,0,0,3,2,2,0,47,18,9.798694172999475,True,SILVER
1,2,6,0,1,0,0,1,1,1,1,17,28,-10.846046495495514,False,SILVER
2,5,9,0,2,0,1,0,4,0,1,39,52,-2.1800401133810325,False,SILVER
3,6,10,0,2,1,1,3,2,0,2,50,62,-4.028997466669779,False,SILVER
4,8,1,2,0,0,0,2,1,1,1,40,31,3.2908355042446757,True,SILVER
5,8,8,1,2,0,1,2,4,0,0,47,36,6.609167257778246,True,SILVER
6,9,1,1,0,0,0,3,0,1,0,35,24,2.640569226466539,True,SILVER
7,11,6,2,0,0,0,1,3,0,1,58,43,4.55115132199321,True,SILVER
8,11,2,4,0,1,0,2,1,1,0,40,32,4.164435322699603,True,SILVER
9,9,5,2,1,1,0,4,0,0,1,45,30,9.417643280183448,True,SILVER
10,3,11,0,5,0,2,0,4,0,2,27,28,-1.1935966769961226,False,SILVER
11,6,11,0,3,1,1,3,4,0,2,50,44,-0.8466206224347559,False,SILVER
12,5,9,0,2,0,1,2,2,0,2,31,36,-4.470125851226435,False,SILVER
13,10,8,5,2,1,1,2,4,0,2,38,46,-3.199176366723485,False,SILVER
14,9,4,1,0,1,0,2,3,0,1,41,34,4.685642618715718,True,SILVER
15,5,10,1,3,0,1,2,1,0,2,51,24,11.409471809470535,False,SILVER
16,8,7,1,0,0,0,4,0,0,1,51,42,3.9985607336233073,True,SILVER
17,6,7,0,1,0,1,0,5,2,0,32,37,-1.5401825446726534,False,SILVER
18,4,5,0,0,0,0,3,1,0,1,25,31,-1.8929101419181507,False,SILVER
19,2,8,0,1,0,0,0,3,0,1,27,29,1.8740857006634855,False,SILVER
20,3,10,0,2,0,1,0,4,0,0,21,42,-9.071720601272197,False,SILVER
21,10,2,3,0,1,0,4,1,1,0,48,32,9.1305523986017,True,SILVER
22,5,11,1,3,0,2,3,2,0,1,53,40,5.401548233779032,False,SILVER
23,0,10,0,2,0,1,0,2,1,0,9,29,-11.803543633296346,False,SILVER
24,9,3,1,0,1,0,5,0,1,1,56,35,7.4964306971942705,True,SILVER
25,10,0,2,0,0,0,2,1,2,0,36,23,3.2908626928778375,True,SILVER
26,11,3,4,0,1,0,2,2,1,0,46,15,12.166122528400145,True,SILVER
27,10,3,2,0,1,0,4,1,2,0,45,35,6.101449846885181,True,SILVER
28,7,10,0,2,0,1,2,3,2,0,28,42,-7.945287580788246,False,SILVER
29,4,10,0,2,0,1,2,2,0,2,31,37,-2.5500972741350267,False,SILVER
30,4,11,0,1,0,1,1,2,1,0,16,31,-10.695305309926724,False,SILVER
31,7,4,1,0,1,0,2,1,1,0,42,20,11.43954389254337,True,SILVER
32,4,10,0,3,0,1,3,2,0,0,41,43,-3.004848887195088,False,SILVER
33,7,3,1,0,1,0,3,0,1,0,39,18,11.128414846227841,True,SILVER
34,8,8,2,0,1,0,2,3,2,0,44,51,-0.8530298278028852,True,SILVER
35,11,0,4,0,1,0,3,1,1,0,41,19,9.70000484273016,True,SILVER
36,6,9,0,1,1,0,3,1,1,1,36,34,1.1476172590501648,False,SILVER
37,8,5,2,0,1,0,3,2,2,0,55,51,1.0518408294047745,True,SILVER
38,2,11,0,2,0,1,1,3,1,1,24,45,-8.376625195072364,False,SILVER
