,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,10,0,4,0,1,2,4,0,2,41,49,-1.3030891544216843,False,PLATINUM
1,4,8,0,1,0,1,1,3,1,1,36,47,-1.8641209645298318,False,PLATINUM
2,4,2,2,0,0,0,0,0,0,0,52,50,-0.06522377332189677,True,PLATINUM
3,2,10,0,2,0,2,2,3,0,2,33,44,-4.506245200717288,False,PLATINUM
4,3,9,0,2,0,2,1,3,0,2,27,45,-7.636275648062025,False,PLATINUM
5,9,2,1,0,2,0,3,2,2,0,41,27,3.433800834321893,True,PLATINUM
6,4,2,2,1,0,0,0,0,0,0,71,64,-0.05566197072074175,True,PLATINUM
7,9,2,1,0,1,0,2,2,1,1,33,32,2.9845519646012875,True,PLATINUM
8,9,2,1,0,0,0,4,0,1,1,36,21,10.32509530393262,True,PLATINUM
9,2,8,0,1,0,0,0,3,0,2,12,38,-13.533884639911804,False,PLATINUM
10,7,3,1,0,1,0,3,0,1,0,29,22,0.4823409193728878,True,PLATINUM
11,3,8,0,1,0,1,1,3,1,0,29,38,-6.865144701717462,False,PLATINUM
12,6,9,1,1,0,1,2,3,1,1,21,33,-6.93324241342814,False,PLATINUM
