,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,4,0,1,0,4,0,1,1,69,30,9.35339803139263,True,SILVER
1,2,10,0,2,0,1,1,2,1,1,15,33,-15.615119447383261,False,SILVER
2,4,8,0,1,0,2,1,4,0,1,40,50,-6.247346244183227,False,SILVER
3,8,4,2,0,2,0,2,1,1,1,39,30,3.5822624685276736,True,SILVER
4,7,7,1,2,1,0,3,1,0,1,38,22,9.016608601095605,True,SILVER
5,9,7,2,0,2,0,3,2,2,0,40,46,-2.3480751477762993,True,SILVER
6,2,10,0,3,0,0,1,2,1,1,21,37,-10.87889943892096,False,SILVER
7,8,4,2,0,1,0,2,4,1,0,40,38,1.6458705140439491,True,SILVER
8,9,6,2,1,1,1,3,1,1,0,41,52,-4.440362457991355,False,SILVER
9,11,3,2,0,1,0,1,2,2,0,41,26,5.991588152450177,True,SILVER
10,6,6,0,0,1,2,3,4,1,1,53,68,-7.156634143771875,False,SILVER
11,2,9,0,1,0,0,1,2,0,2,29,38,-4.259903293598995,False,SILVER
12,11,3,4,0,1,1,3,3,2,0,48,35,3.2889430294507846,True,SILVER
13,5,11,0,4,0,2,1,3,0,2,38,41,-1.3011006523318045,False,SILVER
14,11,2,3,0,1,0,4,0,2,0,51,15,15.465694085417425,True,SILVER
15,11,2,2,0,1,0,3,0,1,1,26,16,9.534488411400297,True,SILVER
16,4,10,0,4,0,1,1,3,2,0,12,28,-4.492439167129142,False,SILVER
17,10,3,4,0,1,0,4,0,1,0,58,29,9.339517003537601,True,SILVER
18,4,10,0,3,0,0,1,4,0,1,31,44,-4.900250012172002,False,SILVER
19,5,7,1,2,0,1,1,3,0,1,14,27,-8.072544708944633,False,SILVER
20,7,9,1,2,0,1,2,4,2,0,52,68,-6.4855460422068845,False,SILVER
21,7,9,2,1,0,2,1,5,0,1,43,56,-9.199868532618346,False,SILVER
22,10,3,2,0,2,0,1,4,1,1,43,38,1.340449182628305,True,SILVER
23,2,11,0,3,0,1,1,2,0,1,23,34,-8.261863258665223,False,SILVER
24,11,10,6,2,1,1,4,1,1,0,57,62,-0.8590259210796347,False,SILVER
25,9,4,2,0,1,0,2,2,2,0,28,19,7.9205335727256525,True,SILVER
26,4,11,0,3,0,2,1,3,0,2,26,40,-5.104170060283288,False,SILVER
27,4,11,0,2,0,1,1,3,1,1,25,49,-9.989205045580178,False,SILVER
28,2,11,0,3,0,0,1,2,0,2,15,27,-9.016613224488822,False,SILVER
29,0,10,0,2,0,1,0,3,0,2,25,36,-6.5921342892258465,False,SILVER
30,8,10,2,2,0,1,3,0,0,2,32,42,-6.1259873751542315,False,SILVER
31,10,4,2,0,1,0,3,1,1,1,29,23,3.890866300337187,True,SILVER
32,3,10,0,1,0,1,2,2,0,1,24,39,-6.981017925040803,False,SILVER
33,6,8,1,1,1,1,4,1,0,2,45,42,-1.8329789955806035,False,SILVER
34,2,6,0,2,0,0,3,1,0,2,15,22,-8.584441600790761,False,SILVER
35,8,4,2,0,1,0,2,2,1,1,40,37,7.058495463000838,True,SILVER
36,10,3,3,0,1,0,4,0,2,0,43,27,3.74399719842377,True,SILVER
37,10,4,1,0,2,0,3,2,0,0,44,32,6.529919127148069,True,SILVER
38,1,10,0,2,0,0,1,2,0,2,25,42,-5.765246810291849,False,SILVER
