,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,4,0,0,0,1,3,1,0,37,31,4.060410730010027,True,IRON
1,4,9,0,1,0,1,2,3,0,2,32,45,-6.395762237401236,False,IRON
2,8,8,0,1,1,1,3,4,1,1,32,59,-10.965775554488957,False,IRON
3,7,9,0,1,0,1,1,3,0,2,38,50,-4.932609198612141,False,IRON
4,5,8,0,1,2,0,0,4,2,0,31,46,-5.118436491995212,False,IRON
5,3,8,0,1,0,1,3,2,0,0,28,44,-8.684871783969776,False,IRON
6,10,5,2,0,1,1,3,2,1,1,38,40,0.8491264502881819,True,IRON
7,7,7,1,1,2,0,4,0,1,0,29,26,7.674628253890447,True,IRON
8,1,4,0,1,0,0,0,0,0,0,47,69,-3.297527058690214,False,IRON
9,4,10,0,2,0,1,2,1,2,0,26,36,-3.3800407551984435,False,IRON
10,7,8,1,1,2,0,3,4,0,1,53,57,-5.092833064250556,True,IRON
11,2,10,0,2,0,1,0,4,1,1,20,46,-11.156217685862558,False,IRON
12,9,3,1,0,1,0,4,0,1,0,45,20,11.045718938171696,True,IRON
13,11,4,3,0,1,1,4,1,0,2,42,34,5.008844161992826,True,IRON
14,11,2,3,0,1,0,5,0,2,0,50,30,8.90937084542955,True,IRON
15,9,11,2,2,0,2,3,2,1,0,35,62,-10.89144214746262,False,IRON
16,7,6,1,0,0,0,2,2,1,1,31,27,3.1389655191570682,True,IRON
17,9,11,3,3,0,3,3,4,2,0,52,66,-4.409100599093385,False,IRON
18,8,11,1,4,0,1,1,4,1,0,37,48,-2.6295896262743597,False,IRON
19,8,4,2,0,1,0,4,0,1,0,30,21,7.700512930240059,True,IRON
20,8,7,1,0,1,1,4,2,0,1,47,31,4.720447917704959,True,IRON
21,8,5,1,0,1,0,4,1,0,2,45,33,4.7296954561552695,True,IRON
22,9,6,1,0,0,1,2,2,2,0,36,34,2.060811655816707,True,IRON
23,6,11,0,6,1,2,3,3,1,1,44,53,-4.365085175151428,False,IRON
24,10,7,3,2,1,0,4,1,2,0,61,38,3.431585526489698,True,IRON
25,11,4,3,0,1,0,4,1,2,0,58,30,10.62902506696745,True,IRON
26,10,2,2,0,0,0,3,0,0,2,43,20,14.675198646633863,True,IRON
27,1,11,0,3,0,1,1,2,0,1,27,44,-10.161980253074166,False,IRON
28,9,7,2,0,2,0,2,3,2,0,31,41,-4.0751235482013115,True,IRON
29,2,10,0,2,0,1,1,2,0,2,23,21,-1.479527567235614,False,IRON
30,4,10,0,2,0,1,2,2,0,2,26,45,-5.477726833735751,False,IRON
31,7,11,1,4,0,3,4,3,1,1,45,38,2.365360534917258,False,IRON
32,5,9,0,3,2,0,1,4,2,0,44,44,2.13823305112917,False,IRON
33,10,3,2,0,0,0,2,1,0,1,29,26,1.7970559520849179,True,IRON
34,10,10,4,1,1,2,3,4,0,2,53,62,-3.8417812738266903,False,IRON
35,2,5,0,0,0,0,2,1,2,0,28,25,-0.2803274473244173,True,IRON
36,1,10,0,2,0,0,1,3,1,1,7,43,-19.69240666459867,False,IRON
37,3,11,0,4,0,1,1,4,0,2,56,47,10.160580805211588,False,IRON
38,6,8,0,2,0,1,4,0,0,2,29,54,-9.41226159913991,False,IRON
39,10,4,2,0,0,0,2,3,0,2,57,58,-3.980245346265569,True,IRON
