,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,3,0,1,0,1,3,2,0,22,19,2.59104541503433,True,DIAMOND
1,7,2,1,0,2,0,4,0,1,1,47,37,4.126806221261319,True,DIAMOND
2,2,10,0,2,0,1,2,2,0,2,26,48,-5.892998246187304,False,DIAMOND
3,10,2,2,0,1,0,2,1,2,0,38,22,9.904016819586971,True,DIAMOND
4,11,4,3,1,1,0,2,1,1,0,64,43,4.729267502580413,True,DIAMOND
5,8,6,1,1,1,1,3,1,0,2,41,23,6.905306792928705,True,DIAMOND
6,3,11,0,3,0,1,0,4,0,2,14,46,-13.454327169649304,False,DIAMOND
7,0,9,0,2,0,1,1,1,1,1,16,33,-11.971896655395717,False,DIAMOND
8,2,10,0,2,1,1,1,3,0,2,30,38,-1.5368475758687268,False,DIAMOND
9,3,9,0,2,1,0,1,2,0,2,22,28,-4.675888839681598,False,DIAMOND
10,2,7,0,1,0,1,0,4,1,1,11,24,-13.46919288051792,False,DIAMOND
11,4,8,0,2,0,1,2,2,1,1,35,44,-0.7027163169938007,False,DIAMOND
12,7,7,0,1,0,1,2,2,2,0,30,33,-1.435575268038754,False,DIAMOND
13,8,3,3,0,2,0,3,1,0,1,47,43,-2.235384983728224,True,DIAMOND
14,4,9,0,2,0,1,3,1,1,1,24,38,-8.081034147270302,False,DIAMOND
15,2,11,0,3,0,1,1,2,0,2,20,34,-8.267561455854334,False,DIAMOND
16,7,2,1,0,0,0,3,1,2,0,28,22,2.9377851543629916,True,DIAMOND
17,9,6,1,0,1,0,1,3,0,2,47,42,3.926455240214544,True,DIAMOND
18,7,4,2,0,1,0,1,2,1,1,32,24,5.242470114960987,True,DIAMOND
19,10,4,2,0,2,0,2,3,1,1,42,50,-4.395405826138273,True,DIAMOND
20,1,9,0,1,0,1,0,3,1,1,16,39,-14.217373648673515,False,DIAMOND
21,9,1,2,0,1,0,0,3,2,0,41,19,10.348115581753142,True,DIAMOND
22,1,11,0,3,0,1,1,3,1,1,35,30,-0.8110825552605903,False,DIAMOND
23,3,10,0,1,1,1,1,4,1,1,40,37,-0.7227447639638669,False,DIAMOND
24,1,10,0,2,0,1,1,2,0,2,9,28,-15.354334079001134,False,DIAMOND
25,0,10,0,2,0,2,2,2,0,2,23,31,-4.278445674753712,False,DIAMOND
26,10,5,2,0,2,0,3,2,1,1,30,36,0.23410871947479706,True,DIAMOND
27,11,1,3,0,1,0,2,2,1,1,36,23,2.711313023730213,True,DIAMOND
28,7,8,1,1,2,0,4,0,0,1,24,24,0.3272524663208145,True,DIAMOND
29,11,4,3,0,1,0,1,3,0,2,36,21,7.519287283555876,True,DIAMOND
30,9,1,1,0,1,0,2,2,1,1,16,17,2.588987611903775,True,DIAMOND
31,11,2,3,0,1,0,3,1,2,0,28,21,5.054780815543069,True,DIAMOND
32,1,11,0,3,0,0,1,3,0,2,24,32,-4.328714961505341,False,DIAMOND
33,7,5,1,0,2,0,4,1,1,0,25,20,3.5203713645027364,True,DIAMOND
34,1,9,0,2,0,1,1,3,1,1,19,18,0.9603952071351856,False,DIAMOND
35,3,11,0,3,1,1,3,3,0,2,22,47,-7.169741939245405,False,DIAMOND
36,3,11,0,2,0,2,0,4,1,1,21,37,-7.629249919703405,False,DIAMOND
37,11,2,3,0,1,0,3,1,2,0,38,24,3.0533623369896006,True,DIAMOND
38,10,7,3,0,2,0,5,1,2,0,33,26,3.996294636540199,True,DIAMOND
