,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,10,0,2,0,1,1,2,1,1,26,30,-3.748342833473693,False,SILVER
1,10,8,2,1,1,0,4,2,0,2,58,62,0.3290883223837753,True,SILVER
2,3,9,0,2,0,1,1,2,2,0,11,26,-9.016325431952815,False,SILVER
3,4,9,0,2,0,1,2,3,2,0,21,31,-5.256346162353289,False,SILVER
4,6,7,2,1,2,0,3,2,2,0,36,39,1.5009666274205102,False,SILVER
5,7,2,1,0,1,0,2,1,1,1,34,25,2.524384325833708,True,SILVER
6,11,6,3,0,1,0,3,1,0,2,38,29,4.119177818345861,True,SILVER
7,3,10,0,2,0,1,0,3,0,1,19,34,-14.811451140335922,False,SILVER
8,6,10,1,2,0,2,2,2,0,2,40,46,-1.5614512422742948,False,SILVER
9,5,10,1,1,0,2,2,2,2,0,27,33,-2.762509161630682,False,SILVER
10,0,9,0,2,1,0,0,4,0,1,21,36,-5.596419190492298,False,SILVER
11,8,9,1,2,1,1,4,2,1,1,45,38,4.15321617558331,True,SILVER
12,8,2,1,0,0,0,3,0,1,1,43,23,8.40321978303372,True,SILVER
13,6,9,0,1,0,2,2,4,1,1,49,60,-0.5018515085310895,False,SILVER
14,4,10,0,2,0,1,2,2,1,1,16,26,-7.009773790114053,False,SILVER
15,9,8,2,3,2,1,4,3,2,0,49,66,-3.009413346521157,True,SILVER
16,5,10,1,2,0,1,3,2,0,1,39,48,-1.4945241356864045,False,SILVER
17,10,0,2,0,2,0,2,2,2,0,39,17,12.88733945148277,True,SILVER
18,11,6,5,0,1,0,4,1,1,1,44,32,5.410118523042307,True,SILVER
19,2,5,0,0,0,0,1,2,1,1,19,23,-4.07766971143613,False,SILVER
20,2,10,0,3,1,0,2,3,0,1,41,45,-1.1819266776274446,False,SILVER
21,4,11,2,3,0,1,3,2,1,0,24,41,-9.824914265659267,False,SILVER
22,11,1,3,0,1,0,3,1,2,0,44,17,8.357440605458585,True,SILVER
23,3,11,0,4,0,1,0,5,0,1,26,47,-4.62845904152136,False,SILVER
24,11,4,5,0,2,0,5,3,0,1,51,45,0.8167168865795986,True,SILVER
25,4,10,0,2,0,1,2,3,1,1,30,53,-2.4468340604508043,False,SILVER
26,11,0,1,0,0,0,2,0,1,0,29,15,8.198974857775035,True,SILVER
27,8,3,2,0,0,0,5,0,0,2,38,24,4.057558184495356,True,SILVER
28,9,7,2,1,1,0,4,2,1,0,66,41,10.196281144559855,True,SILVER
29,10,3,2,0,1,1,4,1,2,0,40,36,3.694103485752116,True,SILVER
30,6,2,0,0,1,0,5,0,0,1,41,37,5.554553967849806,True,SILVER
31,5,11,0,2,0,1,1,4,1,1,24,46,-3.3188158733560726,False,SILVER
32,5,5,0,0,0,0,3,0,0,2,31,21,8.79050413919434,True,SILVER
33,11,0,3,0,0,0,1,3,2,0,25,16,6.83846553788306,True,SILVER
34,2,6,0,0,0,0,1,2,1,1,17,26,-7.630009452553246,False,SILVER
35,1,11,0,3,0,2,0,4,0,2,17,27,-4.349433884280842,False,SILVER
